"Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"PLUSconfig.PLUScrop_B1_R1_17.04.2023",394,448,29.0343493165119,459.852580989676,7.44806184352948,4.49796878952942,0.969936590684241,33.2630271402987,53.0587444196203
"PLUSconfig.PLUScrop_B1_R2_17.04.2023",351,361.111111111111,7.19015594174121,371.442424242424,5.02599431557385,4.65944083236342,0.966292981833713,29.6674121414921,49.815380115841
"PLUSconfig.PLUScrop_B1_R3_17.04.2023",391,430.428571428571,22.3641151466269,454.013636363636,5.82262146131164,4.97147651445848,0.983252161148876,59.7091964455406,56.5241945593174
"PLUSconfig.PLUScrop_B1_R4_17.04.2023",358,378,13.5009525650825,388.271604938272,5.76527489521155,4.62336966852312,0.964980321771748,28.5553737382213,50.977160598552
"PLUSconfig.PLUScrop_B1_R5_17.04.2023",436,520.333333333333,54.3745466848255,492.215310126054,5.30940369505914,5.07387907619325,0.978659134618903,46.8584559314907,64.1864314750864
"PLUSconfig.PLUScrop_B2_R1_17.04.2023",441,446.142857142857,4.65270484958121,451.530861865407,4.74515752567225,5.4066684527311,0.991410302577899,116.418536167182,65.0262759625853
"PLUSconfig.PLUScrop_B2_R2_17.04.2023",405,420.166666666667,10.8608233849238,427.414127393307,4.64299067523625,5.27385743758683,0.990107034752424,101.081927912867,58.8503945678948
"PLUSconfig.PLUScrop_B2_R3_17.04.2023",447,528.25,48.7303623781692,494.807723121295,6.37604034436722,4.87908194771441,0.979641276393525,49.1189928862717,61.40086432516
"PLUSconfig.PLUScrop_B2_R4_17.04.2023",378,441.25,39.2466355794023,428.33084344849,5.79571810091986,5.04710545712395,0.987533464916442,80.2147503935455,54.2909313632374
"PLUSconfig.PLUScrop_B2_R5_17.04.2023",464,552,46.1653029095824,542.38637617209,5.85369461402788,5.36537273010578,0.991086948848928,112.195025367915,69.0202206485772
"PLUSconfig.PLUScrop_B3_R1_17.04.2023",317,401.333333333333,54.3691992380472,372.825994217187,6.99220364791598,3.76524525117403,0.91022133652259,11.1385039748517,41.3056467245551
"PLUSconfig.PLUScrop_B3_R2_17.04.2023",359,369.909090909091,7.24603969676123,382.535628647695,4.75327632428303,4.73162410908531,0.97150594898919,35.0950449137824,51.1432024288517
"PLUSconfig.PLUScrop_B3_R3_17.04.2023",365,442,50.225026561587,422.838351961429,5.76359105629896,4.8438014099803,0.976379863237734,42.3367574059745,52.1401898526771
"PLUSconfig.PLUScrop_B3_R4_17.04.2023",369,378,7.61835016649007,400.84731670446,5.95565784668539,4.6927736019455,0.959763182529566,24.8528602127839,52.8270156773443
"PLUSconfig.PLUScrop_B3_R5_17.04.2023",334,346,10.7778741992257,351.583450210379,3.98726679530871,4.61348457140637,0.965441240803702,28.9362240791074,47.0384168870254
"PLUSconfig.PLUStree_B1_R1_17.04.2023",389,441.8,25.5374117167989,472.146197944835,6.63368297041365,4.87366331522768,0.975433458908047,40.7057711648123,56.1632089088764
"PLUSconfig.PLUStree_B1_R2_17.04.2023",403,417.615384615385,8.64721548090326,425.739256976545,6.18095331015591,4.93779656872935,0.980061665482969,50.1546405064995,58.5114587202872
"PLUSconfig.PLUStree_B1_R3_17.04.2023",466,481.833333333333,9.3694442216831,492.237893974158,6.47128384053336,5.42485436652139,0.99083704113343,109.135052831933,69.3721142111415
"PLUSconfig.PLUStree_B1_R4_17.04.2023",426,472.2,28.1817892062089,469.11341563786,5.31089075790315,4.88521989053444,0.963463020796512,27.3695314117411,62.4421835669743
"PLUSconfig.PLUStree_B1_R5_17.04.2023",443,560.166666666667,59.2224007840558,584.399079552926,7.45576628397903,5.26120209050229,0.988626465039007,87.9234119761012,65.3694950039922
"PLUSconfig.PLUStree_B2_R1_17.04.2023",423,480.75,36.3050064184802,477.610701730665,7.22081194197326,4.36992898029746,0.952467145890438,21.0380802653893,57.6152917815822
"PLUSconfig.PLUStree_B2_R2_17.04.2023",399,414.111111111111,9.73581222386124,425.848502626248,4.88462876305209,4.92395325931449,0.973370761708888,37.5527076316628,57.8569894463878
"PLUSconfig.PLUStree_B2_R3_17.04.2023",457,476.25,10.870374530028,502.40283568386,7.31896465672609,5.33422580533952,0.98873872582604,88.799898177807,67.7993752137394
"PLUSconfig.PLUStree_B2_R4_17.04.2023",406,539.2,70.2992262568696,551.9343500885,8.15734817249449,4.5395540630333,0.969590407339945,32.8843602470734,54.9317947654651
"PLUSconfig.PLUStree_B2_R5_17.04.2023",412,423,8.4776123225135,419.434585261659,4.52488358637691,5.26189391779398,0.989088567268272,91.6469930747263,60.0458925734098
"PLUSconfig.PLUStree_B3_R1_17.04.2023",395,451.1,26.8476338375184,489.343997503024,6.83333558569107,5.08260991334948,0.987074681292133,77.3675313237259,57.1559216538279
"PLUSconfig.PLUStree_B3_R2_17.04.2023",437,454,10.6574097640659,455.206167035398,5.91910459481178,5.13281761434434,0.984241346781821,63.4571994290971,64.3309513073594
"PLUSconfig.PLUStree_B3_R3_17.04.2023",417,436,11.615170497882,440.537451683672,5.08753058080608,5.18208625544444,0.986362982362937,73.329816431578,60.9014390791878
"PLUSconfig.PLUStree_B3_R4_17.04.2023",381,546.333333333333,98.7983557722875,480.207811380878,6.25974822113381,4.8209184196609,0.972845056022371,36.8257066125354,54.817373583889
"PLUSconfig.PLUStree_B3_R5_17.04.2023",350,437,48.3878878314314,447.779258864303,7.35551758385408,3.91196771899894,0.910845606143418,11.216497098378,46.3026077591756
"MINUSconfig.PLUScrop_B1_R1_17.04.2023",345,346.875,2.25707520050315,350.533930857875,4.57025971698195,4.62463110100956,0.965696616827745,29.1516435850795,48.8287081436699
"MINUSconfig.PLUScrop_B1_R2_17.04.2023",389,392.5,3.44512038953759,396.143947277142,4.45729971326958,4.89317478860365,0.969740528310158,33.0475036130815,56.1653623376033
"MINUSconfig.PLUScrop_B1_R3_17.04.2023",384,409.5,16.3968521763862,409.298188479544,5.38795688213562,4.45608648044843,0.959919336371444,24.9496866934991,51.5072682873475
"MINUSconfig.PLUScrop_B1_R4_17.04.2023",413,455.75,28.1329957930827,455.682962962963,6.32385918080087,5.30580221779396,0.990102757229938,101.038240976052,60.2122093514332
"MINUSconfig.PLUScrop_B1_R5_17.04.2023",450,459.333333333333,8.86839073384245,457.394490388302,3.48693598458514,5.36786045042068,0.989347831691052,93.8776004092986,66.6067547957689
"MINUSconfig.PLUScrop_B2_R1_17.04.2023",394,411,10.9955018382602,411.23673245614,5.00731261505142,4.85923853797406,0.974461402837249,39.156418562353,56.9851480031017
"MINUSconfig.PLUScrop_B2_R2_17.04.2023",384,401,10.9954738052526,411.458847736626,6.08353217047729,5.03693838252883,0.984099355522445,62.8905326077574,55.3028367080166
"MINUSconfig.PLUScrop_B2_R3_17.04.2023",351,381.6,20.0188217096189,380.294375456538,4.55436206049276,4.8533859451925,0.978991549998262,47.5998943242957,49.8142281139704
"MINUSconfig.PLUScrop_B2_R4_17.04.2023",419,484,37.6398351495147,483.840277777778,5.91006733798664,4.84683588449326,0.970494738893787,33.8922606514213,61.2655652074325
"MINUSconfig.PLUScrop_B2_R5_17.04.2023",346,364,16.162140972785,373.9,3.30093412862805,4.64973886936377,0.961074670896091,25.6902131085534,48.9931731344503
"MINUSconfig.PLUScrop_B3_R1_17.04.2023",363,389,20.0403335090073,407.576530612245,4.03582876123209,4.64948836741473,0.961225408382324,25.7900846477036,51.8287003290634
"MINUSconfig.PLUScrop_B3_R2_17.04.2023",363,405,26.018796624321,400.434002088409,6.1804610887918,4.19628731400117,0.955289195776952,22.3659586844227,48.2814581386829
"MINUSconfig.PLUScrop_B3_R3_17.04.2023",344,374.333333333333,22.7571694739012,372.397585634525,5.04308110898011,4.60613537878109,0.959623610184534,24.7669493129611,48.6591447566936
"MINUSconfig.PLUScrop_B3_R4_17.04.2023",373,454.25,48.7286055948265,457.665651335161,7.99073644881718,4.85484052316045,0.973460554905607,37.6797629507054,53.4740300716914
"MINUSconfig.PLUScrop_B3_R5_17.04.2023",456,478.666666666667,14.9174670017571,485.372625830959,4.9180409617653,4.70783365265737,0.966282355939517,29.6580626512989,62.8391746771008
"MINUSconfig.PLUStree_B1_R1_17.04.2023",338,343.25,5.37479330002803,344.533463287849,4.15600222706284,4.67817862107274,0.96606147172526,29.4650372551446,47.6747310407288
"MINUSconfig.PLUStree_B1_R2_17.04.2023",447,505.5,32.5609449115218,516.053251247023,7.03514558798104,5.17254976504673,0.982833353216399,58.2524946546523,66.090234325658
"MINUSconfig.PLUStree_B1_R3_17.04.2023",485,601.25,66.7135047898756,568.080440340909,7.31948138355477,5.45325233747905,0.990885308658803,109.712985614795,72.7047950111347
"MINUSconfig.PLUStree_B1_R4_17.04.2023",432,465,19.3339801107072,478.291750919118,6.72473131797447,5.10822518235526,0.979450672647199,48.6633933476996,63.4970654272367
"MINUSconfig.PLUStree_B1_R5_17.04.2023",341,346.142857142857,4.65257279400898,348.852386067209,4.45384703939128,4.64497582986128,0.968662783831971,31.9109392052577,48.171732745828
"MINUSconfig.PLUStree_B2_R1_17.04.2023",411,430.125,12.0513357262683,438.085559076505,5.0919004724666,5.08350400170526,0.979638031947669,49.1111663386346,59.8962210271477
"MINUSconfig.PLUStree_B2_R2_17.04.2023",435,481.428571428571,25.5980856584786,493.922077922078,6.85834040616959,5.17384767110092,0.986291877773664,72.9494516819215,63.9870876047437
"MINUSconfig.PLUStree_B2_R3_17.04.2023",383,437.166666666667,30.5124379665438,474.516972608405,8.81751663498525,4.78156997322121,0.965737743122182,29.1866354153516,55.1521471687219
"MINUSconfig.PLUStree_B2_R4_17.04.2023",318,329.666666666667,8.00194771645221,337.064185495627,5.08000391085527,4.04370877764359,0.947837020233116,19.1706839691479,41.4564790723929
"MINUSconfig.PLUStree_B2_R5_17.04.2023",410,429.5,14.7530210398445,423.821395775941,4.83987517895184,5.12554149476511,0.984970036938943,66.5337629864869,59.6992273623774
"MINUSconfig.PLUStree_B3_R1_17.04.2023",443,468.5,16.3971622248734,466.186020976108,4.68214520041295,4.58269253842815,0.962983512477134,27.0149889122322,60.7676653380799
"MINUSconfig.PLUStree_B3_R2_17.04.2023",349,441,58.6756374986932,418.343396226415,5.47275250308718,4.58528668609375,0.961186226207465,25.7640497763792,49.4855522639842
"MINUSconfig.PLUStree_B3_R3_17.04.2023",373,386.2,10.2235130335303,388.341176470588,3.96839949496793,4.96448199961015,0.97807012059517,45.5998859610575,53.4809148774158
"MINUSconfig.PLUStree_B3_R4_17.04.2023",355,367,10.7781062776297,371.665071770335,2.62107334348458,4.0128360762678,0.919799844300867,12.4688037234174,47.0572351611139
"MINUSconfig.PLUStree_B3_R5_17.04.2023",373,413.625,22.0270721520235,428.982619382022,7.71668397543834,4.75449784545035,0.973317454750469,37.4776840308206,53.4573175718487
