"","kingdom","phylum","class","order","family","genus","species","abr_1_guild_level_2_AND","abr_2_guild_level_3_AND","abr_3_guild_level_4_AND","abr_4_guild_level_5_AND","abr_all_guild_level_AND","consumer","potential","interaction_matchName","resource_matchName"
"Aleocharinae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","het_carnivoreANDhet_decomposerANDhet_microbivoreANDhet_unassigned","car_predatorANDdec_detritivoreANDmic_microphytophageANDuna_unassigned","det_unassignedANDmic_fungivoreANDpre_unassignedANDuna_unassigned","fun_unassignedANDuna_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_mic_mic_fun_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Alopecosa","Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","Alopecosa","unassigned","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Alticini","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","het_herbivoreANDhet_unassigned","her_unassignedANDuna_unassigned","una_unassigned","una_unassigned","het_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Anthicinae","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","unassigned","unassigned","het_carnivoreANDhet_decomposerANDhet_unassigned","car_predatorANDdec_detritivoreANDuna_unassigned","det_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Aphidoidea","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Apion","Metazoa","Arthropoda","Insecta","Coleoptera","Apionidae","Apion","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","untargeted","any","not observed","not observed"
"Araneae","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","che_chemoheterotrophANDche_unassignedANDhet_unassignedANDmic_unassigned","che_unassignedANDuna_unassigned","una_unassigned","una_unassigned","che_che_una_una_unaANDche_una_una_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","untargeted","any","not observed","not observed"
"Armadillidium","Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","unassigned","het_decomposerANDhet_unassigned","dec_detritivoreANDuna_unassigned","det_unassignedANDuna_unassigned","una_unassigned","het_dec_det_una_unaANDhet_una_una_una_una","untargeted","any","not observed","not observed"
"Armadillidium vulgare","Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium vulgare","het_decomposerANDhet_unassigned","dec_detritivoreANDuna_unassigned","det_unassignedANDuna_unassigned","una_unassigned","het_dec_det_una_unaANDhet_una_una_una_una","untargeted","any","not observed","not observed"
"Asagena","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Asagena","unassigned","het_carnivoreANDhet_unassigned","car_predatorANDuna_unassigned","pre_insectivoreANDpre_springtail feederANDuna_unassigned","ins_unassignedANDspr_unassignedANDuna_unassigned","het_car_pre_ins_unaANDhet_car_pre_spr_unaANDhet_una_una_una_una","secondary","auxil.","observed","not observed"
"Atheta","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Atheta","unassigned","het_carnivoreANDhet_decomposerANDhet_microbivoreANDhet_unassigned","car_predatorANDdec_detritivoreANDmic_microphytophageANDuna_unassigned","det_unassignedANDmic_fungivoreANDpre_unassignedANDuna_unassigned","fun_unassignedANDuna_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_mic_mic_fun_unaANDhet_una_una_una_una","secondary","auxil.","not observed","not observed"
"Athous","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","Athous","unassigned","het_carnivoreANDhet_decomposerANDhet_herbivoreANDhet_unassigned","car_predatorANDdec_detritivoreANDher_unassignedANDuna_unassigned","det_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_dec_det_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","observed","crop"
"Basalys","Metazoa","Arthropoda","Insecta","Hymenoptera","Diapriidae","Basalys","unassigned","het_exudativoreANDhet_herbivoreANDhet_parasitoidANDhet_unassigned","exu_plant exudate feederANDher_nectarivoreANDpar_unassignedANDuna_unassigned","nec_unassignedANDpla_unassignedANDuna_unassigned","una_unassigned","het_exu_pla_una_unaANDhet_her_nec_una_unaANDhet_par_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Calathus fuscipes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus fuscipes","het_carnivoreANDhet_herbivoreANDhet_unassigned","car_predatorANDher_unassignedANDuna_unassigned","pre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Carpophilus","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Carpophilus","unassigned","het_decomposerANDhet_microbivoreANDhet_unassigned","dec_detritivoreANDmic_microphytophageANDuna_unassigned","det_unassignedANDmic_fungivoreANDuna_unassigned","fun_unassignedANDuna_unassigned","het_dec_det_una_unaANDhet_mic_mic_fun_unaANDhet_una_una_una_una","untargeted","any","not observed","not observed"
"Cataglyphis pallidula","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Cataglyphis","Cataglyphis pallidula","het_carnivoreANDhet_exudativoreANDhet_herbivoreANDhet_unassignedANDmic_unassigned","car_predatorANDexu_plant exudate feederANDher_nectarivoreANDuna_unassigned","nec_unassignedANDpla_unassignedANDpre_unassignedANDuna_unassigned","una_unassigned","het_car_pre_una_unaANDhet_exu_pla_una_unaANDhet_her_nec_una_unaANDhet_una_una_una_unaANDmic_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Ceraphronidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Ceraphronidae","unassigned","unassigned","het_exudativoreANDhet_herbivoreANDhet_parasitoidANDhet_unassigned","exu_plant exudate feederANDher_nectarivoreANDpar_unassignedANDuna_unassigned","nec_unassignedANDpla_unassignedANDuna_unassigned","una_unassigned","het_exu_pla_una_unaANDhet_her_nec_una_unaANDhet_par_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","het_herbivoreANDhet_unassigned","her_unassignedANDuna_unassigned","una_unassigned","una_unassigned","het_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
"Cicadellidae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","het_herbivoreANDhet_unassigned","her_unassignedANDuna_unassigned","una_unassigned","una_unassigned","het_her_una_una_unaANDhet_una_una_una_una","primary","bioag. and auxil.","not observed","not observed"
