"queryName","community","fun","version","best_level"
"Carabidae","macrofauna_surface","guilds","queryName","family"
"Formicidae","macrofauna_surface","guilds","queryName","family"
"Gnaphosidae","macrofauna_surface","guilds","queryName","family"
"Staphylinidae","macrofauna_surface","guilds","queryName","family"
"Linyphiidae","macrofauna_surface","guilds","queryName","family"
"Nitidulidae","macrofauna_surface","guilds","queryName","family"
"Anthicidae","macrofauna_surface","guilds","queryName","family"
"Cicadellidae","macrofauna_surface","guilds","queryName","family"
"Cryptophagidae","macrofauna_surface","guilds","queryName","family"
"Chrysomelidae","macrofauna_surface","guilds","queryName","family"
"Enchytraeidae","macrofauna_surface","guilds","queryName","family"
"Elateridae","macrofauna_surface","guilds","queryName","family"
"Julidae","macrofauna_surface","guilds","queryName","family"
"Lycosidae","macrofauna_surface","guilds","queryName","family"
"Zodariidae","macrofauna_surface","guilds","queryName","family"
"Armadillidiidae","macrofauna_surface","guilds","queryName","family"
"Coccinellidae","macrofauna_surface","guilds","queryName","family"
"Salticidae","macrofauna_surface","guilds","queryName","family"
"Pyrrhocoridae","macrofauna_surface","guilds","queryName","family"
"Apionidae","macrofauna_surface","guilds","queryName","family"
"Arionidae","macrofauna_surface","guilds","queryName","family"
"Theridiidae","macrofauna_surface","guilds","queryName","family"
"Histeridae","macrofauna_surface","guilds","queryName","family"
"Thomisidae","macrofauna_surface","guilds","queryName","family"
"Dermestidae","macrofauna_surface","guilds","queryName","family"
"Pisauridae","macrofauna_surface","guilds","queryName","family"
"Porcellionidae","macrofauna_surface","guilds","queryName","family"
"Rhyparochromidae","macrofauna_surface","guilds","queryName","family"
"Corylophidae","macrofauna_surface","guilds","queryName","family"
"Araneidae","macrofauna_surface","guilds","queryName","family"
"Oligotomidae","macrofauna_surface","guilds","queryName","family"
"Scarabaeidae","macrofauna_surface","guilds","queryName","family"
"Thripidae","macrofauna_surface","guilds","queryName","family"
"Apidae","macrofauna_surface","guilds","queryName","family"
"Latridiidae","macrofauna_surface","guilds","queryName","family"
"Anisolabididae","macrofauna_surface","guilds","queryName","family"
"Curculionidae","macrofauna_surface","guilds","queryName","family"
"Nabidae","macrofauna_surface","guilds","queryName","family"
"Chloropidae","macrofauna_surface","guilds","queryName","family"
