"community","level","assignation","abundance"
"bacteria","any_level","assigned",407556
"fungi","any_level","assigned",833115
"macrofauna_aerial","any_level","assigned",8022
"macrofauna_foliar","any_level","assigned",13776
"macrofauna_surface","any_level","assigned",4442
"micro_arthropodes","any_level","assigned",4112
"nematodes","any_level","assigned",675648
"protists","any_level","assigned",178802
"bacteria","family","assigned",37365
"macrofauna_aerial","family","assigned",8019
"macrofauna_foliar","family","assigned",13775
"macrofauna_surface","family","assigned",4442
"micro_arthropodes","family","assigned",4112
"protists","family","assigned",178802
"bacteria","genus","assigned",363703
"fungi","genus","assigned",833115
"macrofauna_aerial","genus","assigned",350
"macrofauna_foliar","genus","assigned",1895
"macrofauna_surface","genus","assigned",1934
"micro_arthropodes","genus","assigned",1051
"nematodes","genus","assigned",675648
"protists","genus","assigned",45925
"bacteria","order","assigned",123006
"bacteria","species","assigned",7965
"fungi","species","assigned",1171
"macrofauna_aerial","species","assigned",165
"macrofauna_foliar","species","assigned",91
"macrofauna_surface","species","assigned",1163
"micro_arthropodes","species","assigned",759
"protists","species","assigned",12915
"bacteria","any_level","unassigned",772298
"fungi","any_level","unassigned",330567
"macrofauna_aerial","any_level","unassigned",14725
"macrofauna_foliar","any_level","unassigned",15078
"macrofauna_surface","any_level","unassigned",14393
"micro_arthropodes","any_level","unassigned",17468
"nematodes","any_level","unassigned",255569
"protists","any_level","unassigned",923948
"bacteria","family","unassigned",1142489
"fungi","family","unassigned",1163682
"macrofauna_aerial","family","unassigned",14728
"macrofauna_foliar","family","unassigned",15079
"macrofauna_surface","family","unassigned",14393
"micro_arthropodes","family","unassigned",17468
"nematodes","family","unassigned",931217
"protists","family","unassigned",923948
"bacteria","genus","unassigned",816151
"fungi","genus","unassigned",330567
"macrofauna_aerial","genus","unassigned",22397
"macrofauna_foliar","genus","unassigned",26959
"macrofauna_surface","genus","unassigned",16901
"micro_arthropodes","genus","unassigned",20529
"nematodes","genus","unassigned",255569
"protists","genus","unassigned",1056825
"bacteria","order","unassigned",1056848
"fungi","order","unassigned",1163682
"macrofauna_aerial","order","unassigned",22747
"macrofauna_foliar","order","unassigned",28854
"macrofauna_surface","order","unassigned",18835
"micro_arthropodes","order","unassigned",21580
"nematodes","order","unassigned",931217
"protists","order","unassigned",1102750
"bacteria","species","unassigned",1171889
"fungi","species","unassigned",1162511
"macrofauna_aerial","species","unassigned",22582
"macrofauna_foliar","species","unassigned",28763
"macrofauna_surface","species","unassigned",17672
"micro_arthropodes","species","unassigned",20821
"nematodes","species","unassigned",931217
"protists","species","unassigned",1089835
