"community","level","assignation","abundance"
"bacteria","any_level","assigned",118050
"fungi","any_level","assigned",86337
"macrofauna_aerial","any_level","assigned",10
"macrofauna_foliar","any_level","assigned",3
"macrofauna_surface","any_level","assigned",34
"micro_arthropodes","any_level","assigned",9
"nematodes","any_level","assigned",675648
"protists","any_level","assigned",112025
"macrofauna_aerial","family","assigned",8
"macrofauna_foliar","family","assigned",3
"macrofauna_surface","family","assigned",33
"micro_arthropodes","family","assigned",9
"protists","family","assigned",112025
"fungi","genus","assigned",85439
"macrofauna_aerial","genus","assigned",5
"macrofauna_surface","genus","assigned",21
"nematodes","genus","assigned",675648
"bacteria","order","assigned",118050
"fungi","species","assigned",898
"macrofauna_aerial","species","assigned",2
"bacteria","any_level","unassigned",1061804
"fungi","any_level","unassigned",1077345
"macrofauna_aerial","any_level","unassigned",22737
"macrofauna_foliar","any_level","unassigned",28851
"macrofauna_surface","any_level","unassigned",18801
"micro_arthropodes","any_level","unassigned",21571
"nematodes","any_level","unassigned",255569
"protists","any_level","unassigned",990725
"bacteria","family","unassigned",1179854
"fungi","family","unassigned",1163682
"macrofauna_aerial","family","unassigned",22739
"macrofauna_foliar","family","unassigned",28851
"macrofauna_surface","family","unassigned",18802
"micro_arthropodes","family","unassigned",21571
"nematodes","family","unassigned",931217
"protists","family","unassigned",990725
"bacteria","genus","unassigned",1179854
"fungi","genus","unassigned",1078243
"macrofauna_aerial","genus","unassigned",22742
"macrofauna_foliar","genus","unassigned",28854
"macrofauna_surface","genus","unassigned",18814
"micro_arthropodes","genus","unassigned",21580
"nematodes","genus","unassigned",255569
"protists","genus","unassigned",1102750
"bacteria","order","unassigned",1061804
"fungi","order","unassigned",1163682
"macrofauna_aerial","order","unassigned",22747
"macrofauna_foliar","order","unassigned",28854
"macrofauna_surface","order","unassigned",18835
"micro_arthropodes","order","unassigned",21580
"nematodes","order","unassigned",931217
"protists","order","unassigned",1102750
"bacteria","species","unassigned",1179854
"fungi","species","unassigned",1162784
"macrofauna_aerial","species","unassigned",22745
"macrofauna_foliar","species","unassigned",28854
"macrofauna_surface","species","unassigned",18835
"micro_arthropodes","species","unassigned",21580
"nematodes","species","unassigned",931217
"protists","species","unassigned",1102750
