"community","level","assignation","n_distinct_finest_name"
"bacteria","any_level","assigned",66
"bacteria","any_level","unassigned",1425
"bacteria","family","unassigned",1491
"bacteria","genus","unassigned",1491
"bacteria","order","assigned",66
"bacteria","order","unassigned",1425
"bacteria","species","unassigned",1491
"fungi","any_level","assigned",23
"fungi","any_level","unassigned",835
"fungi","family","unassigned",858
"fungi","genus","assigned",19
"fungi","genus","unassigned",839
"fungi","order","unassigned",858
"fungi","species","assigned",4
"fungi","species","unassigned",854
"macrofauna_aerial","any_level","assigned",3
"macrofauna_aerial","any_level","unassigned",265
"macrofauna_aerial","family","assigned",2
"macrofauna_aerial","family","unassigned",266
"macrofauna_aerial","genus","assigned",1
"macrofauna_aerial","genus","unassigned",267
"macrofauna_aerial","order","unassigned",268
"macrofauna_aerial","species","assigned",1
"macrofauna_aerial","species","unassigned",267
"macrofauna_foliar","any_level","assigned",2
"macrofauna_foliar","any_level","unassigned",96
"macrofauna_foliar","family","assigned",2
"macrofauna_foliar","family","unassigned",96
"macrofauna_foliar","genus","unassigned",98
"macrofauna_foliar","order","unassigned",98
"macrofauna_foliar","species","unassigned",98
"macrofauna_surface","any_level","assigned",5
"macrofauna_surface","any_level","unassigned",212
"macrofauna_surface","family","assigned",4
"macrofauna_surface","family","unassigned",213
"macrofauna_surface","genus","assigned",2
"macrofauna_surface","genus","unassigned",215
"macrofauna_surface","order","unassigned",217
"macrofauna_surface","species","unassigned",217
"micro_arthropodes","any_level","assigned",1
"micro_arthropodes","any_level","unassigned",70
"micro_arthropodes","family","assigned",1
"micro_arthropodes","family","unassigned",70
"micro_arthropodes","genus","unassigned",71
"micro_arthropodes","order","unassigned",71
"micro_arthropodes","species","unassigned",71
"nematodes","any_level","assigned",20
"nematodes","any_level","unassigned",10
"nematodes","family","unassigned",30
"nematodes","genus","assigned",20
"nematodes","genus","unassigned",10
"nematodes","order","unassigned",30
"nematodes","species","unassigned",30
"protists","any_level","assigned",91
"protists","any_level","unassigned",969
"protists","family","assigned",91
"protists","family","unassigned",969
"protists","genus","unassigned",1060
"protists","order","unassigned",1060
"protists","species","unassigned",1060
