"community","level","assignation","n_distinct_finest_name"
"bacteria","class","assigned",1482
"bacteria","class","unassigned",9
"bacteria","family","assigned",1282
"bacteria","family","unassigned",209
"bacteria","genus","assigned",902
"bacteria","genus","unassigned",589
"bacteria","kingdom","assigned",1491
"bacteria","order","assigned",1446
"bacteria","order","unassigned",45
"bacteria","phylum","assigned",1489
"bacteria","phylum","unassigned",2
"bacteria","species","assigned",83
"bacteria","species","unassigned",1408
"fungi","class","assigned",700
"fungi","class","unassigned",158
"fungi","family","assigned",562
"fungi","family","unassigned",296
"fungi","genus","assigned",431
"fungi","genus","unassigned",427
"fungi","kingdom","assigned",858
"fungi","order","assigned",678
"fungi","order","unassigned",180
"fungi","phylum","assigned",763
"fungi","phylum","unassigned",95
"fungi","species","assigned",301
"fungi","species","unassigned",557
"macrofauna_aerial","class","assigned",268
"macrofauna_aerial","family","assigned",246
"macrofauna_aerial","family","unassigned",22
"macrofauna_aerial","genus","assigned",168
"macrofauna_aerial","genus","unassigned",100
"macrofauna_aerial","kingdom","assigned",268
"macrofauna_aerial","order","assigned",267
"macrofauna_aerial","order","unassigned",1
"macrofauna_aerial","phylum","assigned",268
"macrofauna_aerial","species","assigned",73
"macrofauna_aerial","species","unassigned",195
"macrofauna_foliar","class","assigned",98
"macrofauna_foliar","family","assigned",73
"macrofauna_foliar","family","unassigned",25
"macrofauna_foliar","genus","assigned",41
"macrofauna_foliar","genus","unassigned",57
"macrofauna_foliar","kingdom","assigned",98
"macrofauna_foliar","order","assigned",94
"macrofauna_foliar","order","unassigned",4
"macrofauna_foliar","phylum","assigned",98
"macrofauna_foliar","species","assigned",16
"macrofauna_foliar","species","unassigned",82
"macrofauna_surface","class","assigned",217
"macrofauna_surface","family","assigned",190
"macrofauna_surface","family","unassigned",27
"macrofauna_surface","genus","assigned",130
"macrofauna_surface","genus","unassigned",87
"macrofauna_surface","kingdom","assigned",217
"macrofauna_surface","order","assigned",213
"macrofauna_surface","order","unassigned",4
"macrofauna_surface","phylum","assigned",217
"macrofauna_surface","species","assigned",67
"macrofauna_surface","species","unassigned",150
"micro_arthropodes","class","assigned",71
"micro_arthropodes","family","assigned",52
"micro_arthropodes","family","unassigned",19
"micro_arthropodes","genus","assigned",41
"micro_arthropodes","genus","unassigned",30
"micro_arthropodes","kingdom","assigned",71
"micro_arthropodes","order","assigned",65
"micro_arthropodes","order","unassigned",6
"micro_arthropodes","phylum","assigned",71
"micro_arthropodes","species","assigned",32
"micro_arthropodes","species","unassigned",39
"nematodes","class","assigned",30
"nematodes","family","assigned",30
"nematodes","genus","assigned",26
"nematodes","genus","unassigned",4
"nematodes","kingdom","assigned",30
"nematodes","order","assigned",30
"nematodes","phylum","assigned",30
"nematodes","species","unassigned",30
"protists","class","assigned",879
"protists","class","unassigned",181
"protists","family","assigned",146
"protists","family","unassigned",914
"protists","genus","assigned",552
"protists","genus","unassigned",508
"protists","kingdom","assigned",1060
"protists","order","assigned",47
"protists","order","unassigned",1013
"protists","phylum","assigned",1060
"protists","species","assigned",181
"protists","species","unassigned",879
