"community","level","n_distinct_guildName","fun","step"
"bacteria","family",42,"guilds","step_C"
"bacteria","genus",31,"guilds","step_C"
"bacteria","order",44,"guilds","step_C"
"bacteria","species",4,"guilds","step_C"
"fungi","family",52,"guilds","step_C"
"fungi","genus",25,"guilds","step_C"
"fungi","order",54,"guilds","step_C"
"fungi","species",5,"guilds","step_C"
"macrofauna_aerial","family",48,"guilds","step_C"
"macrofauna_aerial","genus",19,"guilds","step_C"
"macrofauna_aerial","species",10,"guilds","step_C"
"macrofauna_foliar","family",47,"guilds","step_C"
"macrofauna_foliar","genus",16,"guilds","step_C"
"macrofauna_foliar","species",13,"guilds","step_C"
"macrofauna_surface","family",44,"guilds","step_C"
"macrofauna_surface","genus",24,"guilds","step_C"
"macrofauna_surface","species",16,"guilds","step_C"
"micro_arthropodes","family",43,"guilds","step_C"
"micro_arthropodes","genus",10,"guilds","step_C"
"micro_arthropodes","species",10,"guilds","step_C"
"nematodes","family",15,"guilds","step_C"
"nematodes","genus",15,"guilds","step_C"
"protists","family",17,"guilds","step_C"
"protists","genus",18,"guilds","step_C"
"protists","order",10,"guilds","step_C"
"protists","species",15,"guilds","step_C"
