"community","level","n_distinct_interactionName","n_distinct_resourceName","fun","step"
"bacteria","order",1,1,"interactions","step_C"
"fungi","family",3,156,"interactions","step_C"
"fungi","genus",3,143,"interactions","step_C"
"fungi","order",3,163,"interactions","step_C"
"fungi","species",1,14,"interactions","step_C"
"macrofauna_aerial","family",2,111,"interactions","step_C"
"macrofauna_aerial","genus",1,9,"interactions","step_C"
"macrofauna_aerial","species",1,2,"interactions","step_C"
"macrofauna_foliar","family",2,24,"interactions","step_C"
"macrofauna_surface","family",2,31,"interactions","step_C"
"macrofauna_surface","genus",1,12,"interactions","step_C"
"micro_arthropodes","family",2,16,"interactions","step_C"
"nematodes","family",2,14,"interactions","step_C"
"nematodes","genus",2,14,"interactions","step_C"
"protists","family",1,7,"interactions","step_C"
"protists","genus",1,17,"interactions","step_C"
"protists","species",1,18,"interactions","step_C"
