"community","level","n_distinct_name"
"bacteria","class",40
"bacteria","family",136
"bacteria","genus",204
"bacteria","kingdom",1
"bacteria","order",94
"bacteria","phylum",21
"bacteria","species",73
"fungi","class",18
"fungi","family",123
"fungi","genus",203
"fungi","kingdom",1
"fungi","order",51
"fungi","phylum",7
"fungi","species",223
"macrofauna_aerial","class",2
"macrofauna_aerial","family",84
"macrofauna_aerial","genus",148
"macrofauna_aerial","kingdom",1
"macrofauna_aerial","order",9
"macrofauna_aerial","phylum",1
"macrofauna_aerial","species",73
"macrofauna_foliar","class",4
"macrofauna_foliar","family",47
"macrofauna_foliar","genus",38
"macrofauna_foliar","kingdom",2
"macrofauna_foliar","order",13
"macrofauna_foliar","phylum",3
"macrofauna_foliar","species",17
"macrofauna_surface","class",8
"macrofauna_surface","family",63
"macrofauna_surface","genus",103
"macrofauna_surface","kingdom",1
"macrofauna_surface","order",23
"macrofauna_surface","phylum",3
"macrofauna_surface","species",68
"micro_arthropodes","class",11
"micro_arthropodes","family",26
"micro_arthropodes","genus",36
"micro_arthropodes","kingdom",1
"micro_arthropodes","order",21
"micro_arthropodes","phylum",2
"micro_arthropodes","species",34
"nematodes","class",2
"nematodes","family",23
"nematodes","genus",27
"nematodes","kingdom",1
"nematodes","order",7
"nematodes","phylum",1
"nematodes","species",1
"protists","class",14
"protists","family",5
"protists","genus",31
"protists","kingdom",1
"protists","order",6
"protists","phylum",1
"protists","species",68
