"community","level","n_distinct_queryName","n_distinct_matchName","n_distinct_exact_match","fun","step"
"bacteria","family",95,1823,10,"guilds","step_C"
"bacteria","genus",126,620,87,"guilds","step_C"
"bacteria","order",50,1975,6,"guilds","step_C"
"bacteria","species",11,12,10,"guilds","step_C"
"fungi","family",109,2387,0,"guilds","step_C"
"fungi","genus",193,217,193,"guilds","step_C"
"fungi","order",48,4284,0,"guilds","step_C"
"fungi","species",2,2,2,"guilds","step_C"
"macrofauna_aerial","family",81,3455,78,"guilds","step_C"
"macrofauna_aerial","genus",67,307,27,"guilds","step_C"
"macrofauna_aerial","species",22,26,22,"guilds","step_C"
"macrofauna_foliar","family",46,1692,44,"guilds","step_C"
"macrofauna_foliar","genus",23,145,14,"guilds","step_C"
"macrofauna_foliar","species",10,12,10,"guilds","step_C"
"macrofauna_surface","family",57,2893,54,"guilds","step_C"
"macrofauna_surface","genus",67,494,35,"guilds","step_C"
"macrofauna_surface","species",40,41,40,"guilds","step_C"
"micro_arthropodes","family",21,1520,21,"guilds","step_C"
"micro_arthropodes","genus",8,92,8,"guilds","step_C"
"micro_arthropodes","species",3,3,3,"guilds","step_C"
"nematodes","family",21,59,0,"guilds","step_C"
"nematodes","genus",21,21,21,"guilds","step_C"
"protists","family",3,32,2,"guilds","step_C"
"protists","genus",27,61,25,"guilds","step_C"
"protists","order",3,11,1,"guilds","step_C"
"protists","species",24,24,24,"guilds","step_C"
"bacteria","order",1,1,1,"interactions","step_C"
"fungi","family",13,22,0,"interactions","step_C"
"fungi","genus",9,11,5,"interactions","step_C"
"fungi","order",10,56,0,"interactions","step_C"
"fungi","species",1,1,1,"interactions","step_C"
"macrofauna_aerial","family",9,881,1,"interactions","step_C"
"macrofauna_aerial","genus",3,4,1,"interactions","step_C"
"macrofauna_aerial","species",1,1,1,"interactions","step_C"
"macrofauna_foliar","family",7,12,1,"interactions","step_C"
"macrofauna_surface","family",7,16,2,"interactions","step_C"
"macrofauna_surface","genus",3,3,2,"interactions","step_C"
"micro_arthropodes","family",4,5,1,"interactions","step_C"
"nematodes","family",21,59,0,"interactions","step_C"
"nematodes","genus",21,21,21,"interactions","step_C"
"protists","family",2,6,1,"interactions","step_C"
"protists","genus",1,1,0,"interactions","step_C"
"protists","species",2,2,2,"interactions","step_C"
