"","method","Id_campaign","Year","usage_bloc","rang","arbre","id_sample","Valid.Name","abundance","name","rankName","fullName","genusName","familyName","orderName","className","phylumName"
"1","dissection inflo",191,2023,"AF_1_rang1_arbre17",NA,NA,"ANI-23-0501","thripidae",121,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"2","dissection inflo",191,2023,"AF_1_rang1_arbre17",NA,NA,"ANI-23-0501","thripidae",17,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"3","dissection inflo",191,2023,"AF_1_rang1_arbre17",NA,NA,"ANI-23-0501","Hemiptera",1,"Hemiptera","Ordre","Hemiptera",NA,NA,"Hemiptera","Insecta","Arthropoda"
"4","dissection inflo",191,2023,"AF_1_rang1_arbre17",NA,NA,"ANI-23-0501","Omophlus ",1,"Omophlus","Genre","Omophlus Dejean, 1834","Omophlus","Tenebrionidae","Coleoptera","Insecta","Arthropoda"
"5","dissection inflo",191,2023,"AF_1_rang1_arbre5",NA,NA,"ANI-23-0499","thripidae",91,"Thripinae","Sous-Famille","Thripinae Stephens, 1829",NA,"Thripidae","Thysanoptera","Insecta","Arthropoda"
"6","dissection inflo",191,2023,"AF_1_rang1_arbre5",NA,NA,"ANI-23-0499","thripidae",2,"Thrips","Genre","Thrips Linnaeus, 1758","Thrips","Thripidae","Thysanoptera","Insecta","Arthropoda"
"7","dissection inflo",191,2023,"AF_1_rang1_arbre5",NA,NA,"ANI-23-0499","Macrosiphoniella ",2,"Macrosiphoniella","Genre","Macrosiphoniella Del Guercio, 1911","Macrosiphoniella","Aphididae","Hemiptera","Insecta","Arthropoda"
"8","dissection inflo",191,2023,"AF_1_rang1_arbre5",NA,NA,"ANI-23-0499","Bruchinae",1,"Megabruchidius","Genre","Megabruchidius Borowiec, 1984","Megabruchidius","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"9","dissection inflo",191,2023,"AF_1_rang1_arbre5",NA,NA,"ANI-23-0499","Hymenoptera",1,"Hymenoptera","Ordre","Hymenoptera Linnaeus, 1758",NA,NA,"Hymenoptera","Insecta","Arthropoda"
"10","dissection inflo",191,2023,"AF_1_rang1_arbre5",NA,NA,"ANI-23-0499","Dasytini",1,"Dasytes","Genre","Dasytes Paykull, 1799","Dasytes","Melyridae","Coleoptera","Insecta","Arthropoda"
