;usage;bloc;treatment;habitat;rep;Year;id_sample;abundance;Species;Family;Class;stade;mass;name;rankName;fullName;genusName;familyName;orderName;className;phylumName
1;C;1;C;Cult;1;2023;ANI-23-0244;1;distinguendus;Carabidae;Insecta;adulte;0.03553;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
2;C;1;C;Cult;1;2023;ANI-23-0244;1;NA;NA;Insecta;NA;NA;Hymenoptera;Ordre;Hymenoptera Linnaeus, 1758;NA;NA;Hymenoptera;Insecta;Arthropoda
3;C;1;C;Cult;1;2023;ANI-23-0244;1;NA;Formicidae;Insecta;adulte;NA;Messor;Genre;Messor Forel, 1890;Messor;Formicidae;Hymenoptera;Insecta;Arthropoda
4;C;1;C;Cult;1;2023;ANI-23-0244;1;braccatus;Gnaphosidae;Arachnida;adulte;NA;Phaeocedus braccatus;Espèce;Phaeocedus braccatus (L.Koch, 1866);Phaeocedus;Gnaphosidae;Araneae;Arachnida;Arthropoda
5;C;1;C;Cult;1;2023;ANI-23-0244;1;NA;Staphylinidae;Insecta;NA;NA;Oxytelini;Tribu;Oxytelini Fleming, 1821;NA;Staphylinidae;Coleoptera;Insecta;Arthropoda
6;C;1;C;Cult;1;2023;ANI-23-0244;5;NA;Staphylinidae;Insecta;NA;NA;Oligota;Genre;Oligota Mannerheim, 1830;Oligota;Staphylinidae;Coleoptera;Insecta;Arthropoda
7;C;1;C;Cult;1;2023;ANI-23-0244;1;NA;NA;Arachnida;NA;NA;Linyphiidae;Famille;Linyphiidae Blackwall, 1859;NA;Linyphiidae;Araneae;Arachnida;Arthropoda
8;C;1;C;Cult;1;2023;ANI-23-0244;2;NA;Staphylinidae;Insecta;NA;NA;Oxypoda;Genre;Oxypoda Mannerheim, 1830;Oxypoda;Staphylinidae;Coleoptera;Insecta;Arthropoda
9;C;1;C;Cult;1;2023;ANI-23-0244;4;NA;Nitidulidae;Insecta;NA;NA;Carpophilus;Genre;Carpophilus Stephens, 1829;Carpophilus;Nitidulidae;Coleoptera;Insecta;Arthropoda
10;C;1;C;Cult;2;2023;ANI-23-0245;2;NA;NA;Arachnida;NA;NA;Araneae;Ordre;Araneae;NA;NA;Araneae;Arachnida;Arthropoda
11;C;1;C;Cult;2;2023;ANI-23-0245;1;NA;NA;Insecta;larve;NA;Coleoptera;Ordre;Coleoptera;NA;NA;Coleoptera;Insecta;Arthropoda
12;C;1;C;Cult;2;2023;ANI-23-0245;1;NA;NA;Insecta;NA;NA;Hymenoptera;Ordre;Hymenoptera Linnaeus, 1758;NA;NA;Hymenoptera;Insecta;Arthropoda
13;C;1;C;Cult;2;2023;ANI-23-0245;3;NA;Staphylinidae;Insecta;adulte;NA;Staphylinidae;Famille;Staphylinidae Latreille, 1802;NA;Staphylinidae;Coleoptera;Insecta;Arthropoda
14;C;1;C;Cult;3;2023;ANI-23-0246;2;NA;Formicidae;Insecta;adulte;NA;Messor;Genre;Messor Forel, 1890;Messor;Formicidae;Hymenoptera;Insecta;Arthropoda
15;C;1;C;Cult;3;2023;ANI-23-0246;1;NA;Staphylinidae;Insecta;adulte;NA;Oxytelini;Tribu;Oxytelini Fleming, 1821;NA;Staphylinidae;Coleoptera;Insecta;Arthropoda
16;C;1;C;Cult;3;2023;ANI-23-0246;1;NA;Anthicidae;Insecta;adulte;NA;Leptaleus rodriguesi;Espèce;Leptaleus rodriguesi (Latreille, 1804);Leptaleus;Anthicidae;Coleoptera;Insecta;Arthropoda
17;C;1;C;Cult;3;2023;ANI-23-0246;3;NA;NA;Arachnida;NA;NA;Linyphiidae;Famille;Linyphiidae Blackwall, 1859;NA;Linyphiidae;Araneae;Arachnida;Arthropoda
18;C;1;C;Cult;3;2023;ANI-23-0246;2;NA;Nitidulidae;Insecta;adulte;NA;Carpophilus;Genre;Carpophilus Stephens, 1829;Carpophilus;Nitidulidae;Coleoptera;Insecta;Arthropoda
19;C;1;C;Cult;4;2023;ANI-23-0247;3;NA;NA;Insecta;NA;NA;Hymenoptera;Ordre;Hymenoptera Linnaeus, 1758;NA;NA;Hymenoptera;Insecta;Arthropoda
20;C;1;C;Cult;4;2023;ANI-23-0247;1;NA;Formicidae;Insecta;adulte;NA;Messor;Genre;Messor Forel, 1890;Messor;Formicidae;Hymenoptera;Insecta;Arthropoda
21;C;1;C;Cult;4;2023;ANI-23-0247;1;NA;Staphylinidae;Insecta;adulte;NA;Atheta;Genre;Atheta C.G.Thomson, 1858;Atheta;Staphylinidae;Coleoptera;Insecta;Arthropoda
22;C;1;C;Cult;4;2023;ANI-23-0247;2;NA;Staphylinidae;Insecta;adulte;NA;Oligota;Genre;Oligota Mannerheim, 1830;Oligota;Staphylinidae;Coleoptera;Insecta;Arthropoda
23;C;1;C;Cult;4;2023;ANI-23-0247;1;NA;Anthicidae;Insecta;adulte;NA;Leptaleus rodriguesi;Espèce;Leptaleus rodriguesi (Latreille, 1804);Leptaleus;Anthicidae;Coleoptera;Insecta;Arthropoda
24;C;1;C;Cult;4;2023;ANI-23-0247;3;NA;NA;Arachnida;NA;NA;Linyphiidae;Famille;Linyphiidae Blackwall, 1859;NA;Linyphiidae;Araneae;Arachnida;Arthropoda
25;C;1;C;Cult;4;2023;ANI-23-0247;2;NA;Staphylinidae;Insecta;adulte;NA;Aleocharinae;Sous-Famille;Aleocharinae Fleming, 1821;NA;Staphylinidae;Coleoptera;Insecta;Arthropoda
26;C;1;C;Cult;4;2023;ANI-23-0247;3;NA;Nitidulidae;Insecta;adulte;NA;Carpophilus;Genre;Carpophilus Stephens, 1829;Carpophilus;Nitidulidae;Coleoptera;Insecta;Arthropoda
27;C;1;C;Cult;5;2023;ANI-23-0248;1;NA;NA;Insecta;NA;NA;Hymenoptera;Ordre;Hymenoptera Linnaeus, 1758;NA;NA;Hymenoptera;Insecta;Arthropoda
28;C;1;C;Cult;5;2023;ANI-23-0248;3;NA;Formicidae;Insecta;adulte;NA;Messor;Genre;Messor Forel, 1890;Messor;Formicidae;Hymenoptera;Insecta;Arthropoda
29;C;1;C;Cult;5;2023;ANI-23-0248;2;pallidula;Formicidae;Insecta;adulte;NA;Pheidole pallidula;Espèce;Pheidole pallidula (Nylander, 1849);Pheidole;Formicidae;Hymenoptera;Insecta;Arthropoda
30;C;1;C;Cult;5;2023;ANI-23-0248;1;NA;NA;Insecta;NA;NA;Psocoptera;Ordre;Psocoptera;NA;NA;Psocodea;Insecta;Arthropoda
31;C;1;C;Cult;5;2023;ANI-23-0248;1;NA;Staphylinidae;Insecta;adulte;NA;Coprochara;Sous-Genre;Coprochara Mulsant & Rey, 1874;Aleochara;Staphylinidae;Coleoptera;Insecta;Arthropoda
32;C;1;C;Cult;5;2023;ANI-23-0248;1;NA;Staphylinidae;Insecta;adulte;NA;Alaobia scapularis;Espèce;Alaobia scapularis (C.R.Sahlberg, 1831);Atheta;Staphylinidae;Coleoptera;Insecta;Arthropoda
33;C;1;C;Cult;5;2023;ANI-23-0248;1;NA;Anthicidae;Insecta;adulte;NA;Leptaleus rodriguesi;Espèce;Leptaleus rodriguesi (Latreille, 1804);Leptaleus;Anthicidae;Coleoptera;Insecta;Arthropoda
34;C;1;C;Cult;5;2023;ANI-23-0248;2;NA;NA;Arachnida;NA;NA;Linyphiidae;Famille;Linyphiidae Blackwall, 1859;NA;Linyphiidae;Araneae;Arachnida;Arthropoda
35;C;1;C;Cult;5;2023;ANI-23-0248;1;NA;Nitidulidae;Insecta;adulte;NA;Carpophilus;Genre;Carpophilus Stephens, 1829;Carpophilus;Nitidulidae;Coleoptera;Insecta;Arthropoda
36;C;2;C;Cult;1;2023;ANI-23-0264;1;NA;NA;Arachnida;juvénile;NA;Araneae;Ordre;Araneae;NA;NA;Araneae;Arachnida;Arthropoda
37;C;2;C;Cult;1;2023;ANI-23-0264;1;NA;NA;Insecta;larve;NA;Coleoptera;Ordre;Coleoptera;NA;NA;Coleoptera;Insecta;Arthropoda
38;C;2;C;Cult;1;2023;ANI-23-0264;1;distinguendus;Carabidae;Insecta;adulte;0.02589;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
39;C;2;C;Cult;1;2023;ANI-23-0264;1;distinguendus;Carabidae;Insecta;adulte;0.02609;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
40;C;2;C;Cult;1;2023;ANI-23-0264;1;distinguendus;Carabidae;Insecta;adulte;0.02765;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
41;C;2;C;Cult;1;2023;ANI-23-0264;1;distinguendus;Carabidae;Insecta;adulte;0.02964;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
42;C;2;C;Cult;1;2023;ANI-23-0264;1;distinguendus;Carabidae;Insecta;adulte;0.03058;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
43;C;2;C;Cult;1;2023;ANI-23-0264;1;distinguendus;Carabidae;Insecta;adulte;0.0306;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
44;C;2;C;Cult;1;2023;ANI-23-0264;1;distinguendus;Carabidae;Insecta;adulte;0.03174;Harpalus distinguendus;Espèce;Harpalus distinguendus (Duftschmid, 1812);Harpalus;Carabidae;Coleoptera;Insecta;Arthropoda
