"","name","year","usage","bloc","treatment","habitat","rep","id_sample","INat","abundance","stade","genusName","modalite","month","code","rankName","fullName","familyName","orderName","className","phylumName"
"1","Abia nitens",2023,"C",3,"C","Cult",3,"ANI-23-0346","ANI-23-0346-hym1",1,"Ad","Abia","C","04/23","3C3","Espèce","Abia nitens (Linnaeus, 1758)","Cimbicidae","Hymenoptera","Insecta","Arthropoda"
"2","Acanthoscelides",2023,"AF",3,"C","LSA",5,"ANI-23-0217","ANI-23-0217-bru1",1,"Ad","Acanthoscelides","AF_LSA","03/23","3AF_LSA5","Genre","Acanthoscelides Schilsky, 1905","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"3","Acrididae",2023,"F",3,"C","Forest",2,"ANI-23-0340","ANI-23-0340-ortho1",1,"Ad",NA,"F","04/23","3F2","Famille","Acrididae MacLeay, 1821","Acrididae","Orthoptera","Insecta","Arthropoda"
"4","Aglaostigma aucupariae",2023,"F",1,"C","Forest",5,"ANI-23-0183","ANI-23-0183-symph1",1,"Ad","Aglaostigma","F","03/23","1F5","Espèce","Aglaostigma aucupariae (Klug, 1817)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"5","Aglaostigma aucupariae",2023,"F",2,"C","Forest",2,"ANI-23-0200","ANI-23-0194-symph1",2,"Ad","Aglaostigma","F","03/23","2F2","Espèce","Aglaostigma aucupariae (Klug, 1817)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"6","Aglaostigma aucupariae",2023,"AF",2,"C","cult",3,"ANI-23-0194","ANI-23-0194-symph1",1,"Ad","Aglaostigma","AF_C","03/23","2AF_C3","Espèce","Aglaostigma aucupariae (Klug, 1817)","Tenthredinidae","Hymenoptera","Insecta","Arthropoda"
"7","Agriotes",2023,"C",2,"C","Cult",2,"ANI-23-0325","ANI-23-0291-taup1",1,"Ad","Agriotes","C","04/23","2C2","Genre","Agriotes Eschscholtz, 1829","Elateridae","Coleoptera","Insecta","Arthropoda"
"8","Agriotes",2023,"C",3,"C","Cult",1,"ANI-23-0344","ANI-23-0291-taup1",1,"Ad","Agriotes","C","04/23","3C1","Genre","Agriotes Eschscholtz, 1829","Elateridae","Coleoptera","Insecta","Arthropoda"
"9","Agriotes",2023,"F",1,"C","Forest",1,"ANI-23-0299","ANI-23-0299-taup1",1,"Ad","Agriotes","F","04/23","1F1","Genre","Agriotes Eschscholtz, 1829","Elateridae","Coleoptera","Insecta","Arthropoda"
"10","Agriotes",2023,"AF",1,"C","LSA",2,"ANI-23-0291","ANI-23-0291-taup1",1,"Ad","Agriotes","AF_LSA","04/23","1AF_LSA2","Genre","Agriotes Eschscholtz, 1829","Elateridae","Coleoptera","Insecta","Arthropoda"
"11","Agriotes",2023,"AF",2,"C","LSA",5,"ANI-23-0317","ANI-23-0299-taup1",1,"Ad","Agriotes","AF_LSA","04/23","2AF_LSA5","Genre","Agriotes Eschscholtz, 1829","Elateridae","Coleoptera","Insecta","Arthropoda"
"12","Allograpta",2023,"AF",3,"C","cult",4,"ANI-23-0336","ANI-23-0336-syrph1",1,"Ad","Allograpta","AF_C","04/23","3AF_C4","Genre","Allograpta Osten Sacken, 1875","Syrphidae","Diptera","Insecta","Arthropoda"
"13","Altica",2023,"AF",1,"C","cult",3,"ANI-23-0174","ANI-23-0174-alt1",1,"Ad","Altica","AF_C","03/23","1AF_C3","Genre","Altica Geoffroy, 1762","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
"14","Alticini",2023,"AF",3,"C","cult",5,"ANI-23-0218","ANI-23-0218-alt1",1,"Ad",NA,"AF_C","03/23","3AF_C5","Tribu","Alticini Newman, 1834","Chrysomelidae","Coleoptera","Insecta","Arthropoda"
