queryName;queryId;matchName;matchId;trophicGroupId;trophicGroupName;reference;graph
Plectosphaerellaceae;NA;Verticillium;"c(""NCBITaxon:1036719"", ""IF:10400"", ""NCBITaxon:5106"", ""GBIF:2513784"", ""NCBI:1036719"", ""https://tree.opentreeoflife.org/opentree/ottol@365693"", ""NCBI:5106"")";SFWO:0000409;Fungi.pathotrophs;NA;onto:implicit
Plectosphaerellaceae;NA;Verticillium;"c(""NCBITaxon:1036719"", ""IF:10400"", ""NCBITaxon:5106"", ""GBIF:2513784"", ""NCBI:1036719"", ""https://tree.opentreeoflife.org/opentree/ottol@365693"", ""NCBI:5106"")";SFWO:0000410;Fungi.all;NA;onto:implicit
Plectosphaerellaceae;NA;Verticillium;"c(""NCBITaxon:1036719"", ""IF:10400"", ""NCBITaxon:5106"", ""GBIF:2513784"", ""NCBI:1036719"", ""https://tree.opentreeoflife.org/opentree/ottol@365693"", ""NCBI:5106"")";SFWO:0000412;Fungi.symbiotrophs;NA;onto:implicit
Plectosphaerellaceae;NA;Verticillium;"c(""NCBITaxon:1036719"", ""IF:10400"", ""NCBITaxon:5106"", ""GBIF:2513784"", ""NCBI:1036719"", ""https://tree.opentreeoflife.org/opentree/ottol@365693"", ""NCBI:5106"")";SFWO:0000418;Fungi.plant_pathogens;NA;onto:implicit
Plectosphaerellaceae;NA;Brunneomyces;"c(""NCBITaxon:2082604"", ""IF:811471"", ""NCBI:2082604"")";SFWO:0000410;Fungi.all;NA;onto:implicit
Plectosphaerellaceae;NA;Brunneomyces;"c(""NCBITaxon:2082604"", ""IF:811471"", ""NCBI:2082604"")";SFWO:0000411;Fungi.saprotrophs;NA;onto:implicit
Plectosphaerellaceae;NA;Brunneomyces;"c(""NCBITaxon:2082604"", ""IF:811471"", ""NCBI:2082604"")";SFWO:0000415;Fungi.litter_saprotrophs;NA;onto:implicit
Plectosphaerellaceae;NA;Plectosphaerella;"c(""NCBITaxon:40657"", ""IF:4197"", ""NCBI:40657"", ""GBIF:2574420"", ""https://tree.opentreeoflife.org/opentree/ottol@193224"")";SFWO:0000409;Fungi.pathotrophs;NA;onto:implicit
Plectosphaerellaceae;NA;Plectosphaerella;"c(""NCBITaxon:40657"", ""IF:4197"", ""NCBI:40657"", ""GBIF:2574420"", ""https://tree.opentreeoflife.org/opentree/ottol@193224"")";SFWO:0000410;Fungi.all;NA;onto:implicit
Plectosphaerellaceae;NA;Plectosphaerella;"c(""NCBITaxon:40657"", ""IF:4197"", ""NCBI:40657"", ""GBIF:2574420"", ""https://tree.opentreeoflife.org/opentree/ottol@193224"")";SFWO:0000412;Fungi.symbiotrophs;NA;onto:implicit
Plectosphaerellaceae;NA;Plectosphaerella;"c(""NCBITaxon:40657"", ""IF:4197"", ""NCBI:40657"", ""GBIF:2574420"", ""https://tree.opentreeoflife.org/opentree/ottol@193224"")";SFWO:0000418;Fungi.plant_pathogens;NA;onto:implicit
Plectosphaerellaceae;NA;Lectera;"c(""NCBITaxon:1208924"", ""IF:550041"", ""https://tree.opentreeoflife.org/opentree/ottol@683083"", ""GBIF:7747754"", ""NCBI:1208924"")";SFWO:0000409;Fungi.pathotrophs;NA;onto:implicit
Plectosphaerellaceae;NA;Lectera;"c(""NCBITaxon:1208924"", ""IF:550041"", ""https://tree.opentreeoflife.org/opentree/ottol@683083"", ""GBIF:7747754"", ""NCBI:1208924"")";SFWO:0000410;Fungi.all;NA;onto:implicit
Plectosphaerellaceae;NA;Lectera;"c(""NCBITaxon:1208924"", ""IF:550041"", ""https://tree.opentreeoflife.org/opentree/ottol@683083"", ""GBIF:7747754"", ""NCBI:1208924"")";SFWO:0000412;Fungi.symbiotrophs;NA;onto:implicit
Plectosphaerellaceae;NA;Lectera;"c(""NCBITaxon:1208924"", ""IF:550041"", ""https://tree.opentreeoflife.org/opentree/ottol@683083"", ""GBIF:7747754"", ""NCBI:1208924"")";SFWO:0000418;Fungi.plant_pathogens;NA;onto:implicit
Plectosphaerellaceae;NA;Paragibellulopsis;"c(""NCBITaxon:2716912"", ""IF:828060"", ""NCBI:2716912"")";SFWO:0000410;Fungi.all;NA;onto:implicit
