queryName;queryId;matchName;matchId;interactionId;interactionName;resourceId;resourceName;reference;graph
Pleosporaceae;NA;Alternaria;"c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")";RO:0002444;parasite of;NCBI:58023;Tracheophyta;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:3543;Mesembryanthemum;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:4527;Oryza;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:3884;Phaseolus lunatus;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:53836;Bituminaria bituminosa;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:74647;Rosa multiflora;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:3649;Carica papaya;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:43178;Ipomoea hederacea;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:71633;Pinus halepensis;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:3879;Medicago sativa;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:129213;Polytrichum juniperinum;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:38873;Fraxinus excelsior;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:13427;Cichorium intybus;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:4039;Daucus carota;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:47036;Alhagi;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:305353;Setaria pumila;NA;gratin:hedde_misc1
Didymellaceae;NA;Phoma herbarum;"c(""NCBITaxon:73001"", ""NCBI:73001"", ""https://tree.opentreeoflife.org/opentree/ottol@437937"", ""GBIF:5262297"")";RO:0002444;parasite of;NCBI:4513;Hordeum vulgare;NA;gratin:hedde_misc1
