"","queryName","queryId","matchName","matchId","guildId","guildName","reference","graph"
"1","Cimbicidae","NA","Cimbicidae","c(""NCBITaxon:85775"", ""NCBI:85775"", ""GBIF:7904"", ""https://tree.opentreeoflife.org/opentree/ottol@1048652"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"2","Cimbicidae","NA","Cimbicidae","c(""NCBITaxon:85775"", ""NCBI:85775"", ""GBIF:7904"", ""https://tree.opentreeoflife.org/opentree/ottol@1048652"")","ECOCORE:00000019","herbivore","NA","gratin:rainford_hexapoda"
"3","Cimbicidae","NA","Cimbicidae","c(""NCBITaxon:85775"", ""NCBI:85775"", ""GBIF:7904"", ""https://tree.opentreeoflife.org/opentree/ottol@1048652"")","ECOCORE:00000019","herbivore","NA","onto:implicit"
"4","Cimbicidae","NA","Cimbicidae","c(""NCBITaxon:85775"", ""NCBI:85775"", ""GBIF:7904"", ""https://tree.opentreeoflife.org/opentree/ottol@1048652"")","ECOCORE:00000140","nectarivore","NA","gratin:rainford_hexapoda"
"5","Cimbicidae","NA","Cimbicidae","c(""NCBITaxon:85775"", ""NCBI:85775"", ""GBIF:7904"", ""https://tree.opentreeoflife.org/opentree/ottol@1048652"")","SFWO:0000068","plant exudate feeder","NA","onto:implicit"
"6","Cimbicidae","NA","Cimbicidae","c(""NCBITaxon:85775"", ""NCBI:85775"", ""GBIF:7904"", ""https://tree.opentreeoflife.org/opentree/ottol@1048652"")","SFWO:0000009","exudativore","NA","onto:implicit"
"7","Cimbicidae","NA","Cimbicidae","c(""NCBITaxon:85775"", ""NCBI:85775"", ""GBIF:7904"", ""https://tree.opentreeoflife.org/opentree/ottol@1048652"")","ECOCORE:00000015","fungivore","NA","gratin:rainford_hexapoda"
"8","Cimbicidae","NA","Cimbicidae","c(""NCBITaxon:85775"", ""NCBI:85775"", ""GBIF:7904"", ""https://tree.opentreeoflife.org/opentree/ottol@1048652"")","SFWO:0000512","microphytophage","NA","onto:implicit"
"9","Cimbicidae","NA","Cimbicidae","c(""NCBITaxon:85775"", ""NCBI:85775"", ""GBIF:7904"", ""https://tree.opentreeoflife.org/opentree/ottol@1048652"")","SFWO:0000061","microbivore","NA","onto:implicit"
"10","Chrysomelidae","NA","Chrysomelidae","c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"11","Chrysomelidae","NA","Chrysomelidae","c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")","ECOCORE:00000019","herbivore","NA","gratin:rainford_hexapoda"
"12","Chrysomelidae","NA","Chrysomelidae","c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")","ECOCORE:00000015","fungivore","NA","gratin:rainford_hexapoda"
"13","Chrysomelidae","NA","Chrysomelidae","c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")","SFWO:0000512","microphytophage","NA","onto:implicit"
"14","Chrysomelidae","NA","Chrysomelidae","c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")","SFWO:0000061","microbivore","NA","onto:implicit"
"15","Chrysomelidae","NA","Clytra laeviuscula","c(""NCBITaxon:1075297"", ""NCBI:1075297"", ""https://tree.opentreeoflife.org/opentree/ottol@447125"", ""GBIF:4462027"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"16","Chrysomelidae","NA","Clytra laeviuscula","c(""NCBITaxon:1075297"", ""NCBI:1075297"", ""https://tree.opentreeoflife.org/opentree/ottol@447125"", ""GBIF:4462027"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"17","Chrysomelidae","NA","Cryptocephalus aureolus","c(""NCBITaxon:1091351"", ""NCBI:1091351"", ""https://tree.opentreeoflife.org/opentree/ottol@146508"", ""GBIF:6097760"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"18","Chrysomelidae","NA","Cryptocephalus aureolus","c(""NCBITaxon:1091351"", ""NCBI:1091351"", ""https://tree.opentreeoflife.org/opentree/ottol@146508"", ""GBIF:6097760"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"19","Chrysomelidae","NA","Cryptocephalus flavipes","c(""NCBITaxon:1091367"", ""NCBI:1091367"", ""https://tree.opentreeoflife.org/opentree/ottol@669165"", ""GBIF:6097755"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"20","Chrysomelidae","NA","Cryptocephalus flavipes","c(""NCBITaxon:1091367"", ""NCBI:1091367"", ""https://tree.opentreeoflife.org/opentree/ottol@669165"", ""GBIF:6097755"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"21","Chrysomelidae","NA","Cryptocephalus sericeus","c(""NCBITaxon:1091381"", ""NCBI:1091381"", ""https://tree.opentreeoflife.org/opentree/ottol@616241"", ""GBIF:6097745"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"22","Chrysomelidae","NA","Cryptocephalus sericeus","c(""NCBITaxon:1091381"", ""NCBI:1091381"", ""https://tree.opentreeoflife.org/opentree/ottol@616241"", ""GBIF:6097745"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"23","Chrysomelidae","NA","Galeruca tanaceti","c(""NCBITaxon:428704"", ""NCBI:428704"", ""https://tree.opentreeoflife.org/opentree/ottol@387771"", ""GBIF:5752087"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"24","Chrysomelidae","NA","Galeruca tanaceti","c(""NCBITaxon:428704"", ""NCBI:428704"", ""https://tree.opentreeoflife.org/opentree/ottol@387771"", ""GBIF:5752087"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"25","Chrysomelidae","NA","Cassida nebulosa","c(""NCBITaxon:1254966"", ""NCBI:1254966"", ""GBIF:4990525"", ""https://tree.opentreeoflife.org/opentree/ottol@943857"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"26","Chrysomelidae","NA","Cassida nebulosa","c(""NCBITaxon:1254966"", ""NCBI:1254966"", ""GBIF:4990525"", ""https://tree.opentreeoflife.org/opentree/ottol@943857"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"27","Chrysomelidae","NA","Longitarsus atricillus","c(""NCBITaxon:1383031"", ""NCBI:1383031"", ""https://tree.opentreeoflife.org/opentree/ottol@3370931"", ""GBIF:5752619"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"28","Chrysomelidae","NA","Longitarsus atricillus","c(""NCBITaxon:1383031"", ""NCBI:1383031"", ""https://tree.opentreeoflife.org/opentree/ottol@3370931"", ""GBIF:5752619"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"29","Chrysomelidae","NA","Altica helianthemi","c(""NCBITaxon:1390107"", ""NCBI:1390107"", ""GBIF:4462348"", ""https://tree.opentreeoflife.org/opentree/ottol@3371164"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"30","Chrysomelidae","NA","Altica helianthemi","c(""NCBITaxon:1390107"", ""NCBI:1390107"", ""GBIF:4462348"", ""https://tree.opentreeoflife.org/opentree/ottol@3371164"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"31","Chrysomelidae","NA","Longitarsus lycopi","c(""NCBITaxon:1425523"", ""NCBI:1425523"", ""https://tree.opentreeoflife.org/opentree/ottol@3370950"", ""GBIF:5752536"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"32","Chrysomelidae","NA","Longitarsus lycopi","c(""NCBITaxon:1425523"", ""NCBI:1425523"", ""https://tree.opentreeoflife.org/opentree/ottol@3370950"", ""GBIF:5752536"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"33","Chrysomelidae","NA","Cassida denticollis","c(""NCBITaxon:1425537"", ""NCBI:1425537"", ""GBIF:6097775"", ""https://tree.opentreeoflife.org/opentree/ottol@3371817"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"34","Chrysomelidae","NA","Cassida denticollis","c(""NCBITaxon:1425537"", ""NCBI:1425537"", ""GBIF:6097775"", ""https://tree.opentreeoflife.org/opentree/ottol@3371817"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"35","Chrysomelidae","NA","Cryptocephalus vittatus","c(""NCBITaxon:1425562"", ""NCBI:1425562"", ""https://tree.opentreeoflife.org/opentree/ottol@3373229"", ""GBIF:6097754"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"36","Chrysomelidae","NA","Cryptocephalus vittatus","c(""NCBITaxon:1425562"", ""NCBI:1425562"", ""https://tree.opentreeoflife.org/opentree/ottol@3373229"", ""GBIF:6097754"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"37","Chrysomelidae","NA","Dibolia occultans","c(""NCBITaxon:1425563"", ""NCBI:1425563"", ""GBIF:6097790"", ""https://tree.opentreeoflife.org/opentree/ottol@3371336"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"38","Chrysomelidae","NA","Dibolia occultans","c(""NCBITaxon:1425563"", ""NCBI:1425563"", ""GBIF:6097790"", ""https://tree.opentreeoflife.org/opentree/ottol@3371336"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"39","Chrysomelidae","NA","Longitarsus melanocephalus","c(""NCBITaxon:1425582"", ""NCBI:1425582"", ""GBIF:5752499"", ""https://tree.opentreeoflife.org/opentree/ottol@3371008"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"40","Chrysomelidae","NA","Longitarsus melanocephalus","c(""NCBITaxon:1425582"", ""NCBI:1425582"", ""GBIF:5752499"", ""https://tree.opentreeoflife.org/opentree/ottol@3371008"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"41","Chrysomelidae","NA","Longitarsus pratensis","c(""NCBITaxon:1425584"", ""NCBI:1425584"", ""GBIF:4990831"", ""https://tree.opentreeoflife.org/opentree/ottol@3370995"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"42","Chrysomelidae","NA","Longitarsus pratensis","c(""NCBITaxon:1425584"", ""NCBI:1425584"", ""GBIF:4990831"", ""https://tree.opentreeoflife.org/opentree/ottol@3370995"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"43","Chrysomelidae","NA","Oulema gallaeciana","c(""NCBITaxon:1425590"", ""NCBI:1425590"", ""GBIF:4461547"", ""https://tree.opentreeoflife.org/opentree/ottol@5825108"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"44","Chrysomelidae","NA","Oulema gallaeciana","c(""NCBITaxon:1425590"", ""NCBI:1425590"", ""GBIF:4461547"", ""https://tree.opentreeoflife.org/opentree/ottol@5825108"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
