"","queryName","queryId","matchName","matchId","interactionId","interactionName","resourceId","resourceName","reference","graph"
"1","Carabidae","NA","Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7088","Lepidoptera","NA","gratin:hedde_misc1"
"2","Carabidae","NA","Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:30001","Collembola","NA","gratin:hedde_misc1"
"3","Carabidae","NA","Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7055","Scarabaeidae","NA","gratin:hedde_misc1"
"4","Carabidae","NA","Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7147","Diptera","NA","gratin:hedde_misc1"
"5","Carabidae","NA","Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"", ""GBIF:9161145"")","RO:0002470","eats","NCBI:66551","Oribatida","NA","gratin:hedde_misc1"
"6","Carabidae","NA","Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"", ""GBIF:9161145"")","RO:0002470","eats","NCBI:6951","Astigmata","NA","gratin:hedde_misc1"
"7","Carabidae","NA","Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"", ""GBIF:9161145"")","RO:0002470","eats","NCBI:6893","Araneae","NA","gratin:hedde_misc1"
"8","Carabidae","NA","Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"", ""GBIF:9161145"")","RO:0002470","eats","NCBI:83136","Trombidiformes","NA","gratin:hedde_misc1"
"9","Carabidae","NA","Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"", ""GBIF:9161145"")","RO:0002470","eats","NCBI:66547","Endeostigmata","NA","gratin:hedde_misc1"
"10","Carabidae","NA","Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"", ""GBIF:9161145"")","RO:0002470","eats","NCBI:7147","Diptera","NA","gratin:hedde_misc1"
"11","Carabidae","NA","Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"", ""GBIF:9161145"")","RO:0002470","eats","NCBI:30001","Collembola","NA","gratin:hedde_misc1"
"12","Carabidae","NA","Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"", ""GBIF:9161145"")","RO:0002470","eats","NCBI:6388","Enchytraeidae","NA","gratin:hedde_misc1"
"13","Carabidae","NA","Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"", ""GBIF:9161145"")","RO:0002470","eats","NCBI:34634","Mesostigmata","NA","gratin:hedde_misc1"
