queryName;queryId;matchName;matchId;interactionId;interactionName;resourceId;resourceName;reference;graph
Cephalobidae;NA;Acrobeles;"c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Cephalobidae;NA;Acrobeles;"c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Cephalobidae;NA;Acrobeles;"c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")";RO:0002470;eats;NCBI:2;Bacteria;NA;gratin:hedde_misc1
Cephalobidae;NA;Acrobeles;"c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")";RO:0002470;eats;NCBI:2157;Archaea;NA;gratin:hedde_misc1
Cephalobidae;NA;Cephalobus;"c(""NCBITaxon:70199"", ""NCBI:70199"", ""GBIF:2283209"", ""https://tree.opentreeoflife.org/opentree/ottol@562808"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Cephalobidae;NA;Cephalobus;"c(""NCBITaxon:70199"", ""NCBI:70199"", ""GBIF:2283209"", ""https://tree.opentreeoflife.org/opentree/ottol@562808"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Cephalobidae;NA;Cephalobus;"c(""NCBITaxon:70199"", ""NCBI:70199"", ""GBIF:2283209"", ""https://tree.opentreeoflife.org/opentree/ottol@562808"")";RO:0002470;eats;NCBI:2;Bacteria;NA;gratin:hedde_misc1
Cephalobidae;NA;Cephalobus;"c(""NCBITaxon:70199"", ""NCBI:70199"", ""GBIF:2283209"", ""https://tree.opentreeoflife.org/opentree/ottol@562808"")";RO:0002470;eats;NCBI:2157;Archaea;NA;gratin:hedde_misc1
Cephalobidae;NA;Cervidellus;"c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Cephalobidae;NA;Cervidellus;"c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Cephalobidae;NA;Acrobeloides;"c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")";RO:0002470;eats;GBIF:2;Archaea;NA;gratin:nematrait
Cephalobidae;NA;Acrobeloides;"c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")";RO:0002470;eats;GBIF:3;Bacteria;NA;gratin:nematrait
Cephalobidae;NA;Acrobeloides;"c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")";RO:0002470;eats;NCBI:2;Bacteria;NA;gratin:hedde_misc1
