"queryName","queryId","matchName","matchId","guildId","guildName","reference","graph","level","community"
"Archangium gephyra","NA","Archangium gephyra","c(""NCBITaxon:48"", ""NCBI:48"", ""https://tree.opentreeoflife.org/opentree/ottol@872653"", ""GBIF:3220571"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Archangium gephyra","NA","Archangium gephyra","c(""NCBITaxon:48"", ""NCBI:48"", ""https://tree.opentreeoflife.org/opentree/ottol@872653"", ""GBIF:3220571"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","bacteria"
"Archangium gephyra","NA","Archangium gephyra","c(""NCBITaxon:48"", ""NCBI:48"", ""https://tree.opentreeoflife.org/opentree/ottol@872653"", ""GBIF:3220571"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:faprotax","species","bacteria"
"Archangium gephyra","NA","Archangium gephyra","c(""NCBITaxon:48"", ""NCBI:48"", ""https://tree.opentreeoflife.org/opentree/ottol@872653"", ""GBIF:3220571"")","SFWO:0000000","chemotroph","NA","onto:implicit","species","bacteria"
"Flavobacterium johnsoniae","NA","Flavobacterium johnsoniae","c(""NCBITaxon:986"", ""NCBI:986"", ""GBIF:7414839"", ""https://tree.opentreeoflife.org/opentree/ottol@5254502"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Actinosynnema pretiosum","NA","Actinosynnema pretiosum","c(""NCBITaxon:42197"", ""NCBI:42197"", ""GBIF:3225207"", ""https://tree.opentreeoflife.org/opentree/ottol@362044"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Chitinophaga pinensis","NA","Chitinophaga pinensis","c(""NCBITaxon:79329"", ""NCBI:79329"", ""GBIF:3228831"", ""https://tree.opentreeoflife.org/opentree/ottol@900436"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Chitinophaga pinensis","NA","Chitinophaga pinensis","c(""NCBITaxon:79329"", ""NCBI:79329"", ""GBIF:3228831"", ""https://tree.opentreeoflife.org/opentree/ottol@900436"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","bacteria"
"Chitinophaga pinensis","NA","Chitinophaga pinensis","c(""NCBITaxon:79329"", ""NCBI:79329"", ""GBIF:3228831"", ""https://tree.opentreeoflife.org/opentree/ottol@900436"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:faprotax","species","bacteria"
"Chitinophaga pinensis","NA","Chitinophaga pinensis","c(""NCBITaxon:79329"", ""NCBI:79329"", ""GBIF:3228831"", ""https://tree.opentreeoflife.org/opentree/ottol@900436"")","SFWO:0000000","chemotroph","NA","onto:implicit","species","bacteria"
"Chitinophaga filiformis","NA","Chitinophaga filiformis","c(""NCBITaxon:104663"", ""NCBI:104663"", ""https://tree.opentreeoflife.org/opentree/ottol@855591"", ""GBIF:3228829"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Chitinophaga filiformis","NA","Chitinophaga filiformis","c(""NCBITaxon:104663"", ""NCBI:104663"", ""https://tree.opentreeoflife.org/opentree/ottol@855591"", ""GBIF:3228829"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","bacteria"
"Chitinophaga filiformis","NA","Chitinophaga filiformis","c(""NCBITaxon:104663"", ""NCBI:104663"", ""https://tree.opentreeoflife.org/opentree/ottol@855591"", ""GBIF:3228829"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:faprotax","species","bacteria"
"Chitinophaga filiformis","NA","Chitinophaga filiformis","c(""NCBITaxon:104663"", ""NCBI:104663"", ""https://tree.opentreeoflife.org/opentree/ottol@855591"", ""GBIF:3228829"")","SFWO:0000000","chemotroph","NA","onto:implicit","species","bacteria"
"Oxalophagus oxalicus","NA","Oxalophagus oxalicus","c(""NCBITaxon:36848"", ""NCBI:36848"", ""GBIF:3227536"", ""https://tree.opentreeoflife.org/opentree/ottol@910341"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","bacteria"
"Oxalophagus oxalicus","NA","Oxalophagus oxalicus","c(""NCBITaxon:36848"", ""NCBI:36848"", ""GBIF:3227536"", ""https://tree.opentreeoflife.org/opentree/ottol@910341"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Oxalophagus oxalicus","NA","Oxalophagus oxalicus","c(""NCBITaxon:36848"", ""NCBI:36848"", ""GBIF:3227536"", ""https://tree.opentreeoflife.org/opentree/ottol@910341"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:faprotax","species","bacteria"
"Oxalophagus oxalicus","NA","Oxalophagus oxalicus","c(""NCBITaxon:36848"", ""NCBI:36848"", ""GBIF:3227536"", ""https://tree.opentreeoflife.org/opentree/ottol@910341"")","SFWO:0000000","chemotroph","NA","onto:implicit","species","bacteria"
"Streptomyces albiaxialis","NA","Streptomyces albiaxialis","c(""NCBITaxon:329523"", ""NCBI:329523"", ""GBIF:3223621"", ""https://tree.opentreeoflife.org/opentree/ottol@494067"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","bacteria"
"Streptomyces albiaxialis","NA","Streptomyces albiaxialis","c(""NCBITaxon:329523"", ""NCBI:329523"", ""GBIF:3223621"", ""https://tree.opentreeoflife.org/opentree/ottol@494067"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Streptomyces albiaxialis","NA","Streptomyces albiaxialis","c(""NCBITaxon:329523"", ""NCBI:329523"", ""GBIF:3223621"", ""https://tree.opentreeoflife.org/opentree/ottol@494067"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:faprotax","species","bacteria"
"Streptomyces albiaxialis","NA","Streptomyces albiaxialis","c(""NCBITaxon:329523"", ""NCBI:329523"", ""GBIF:3223621"", ""https://tree.opentreeoflife.org/opentree/ottol@494067"")","SFWO:0000000","chemotroph","NA","onto:implicit","species","bacteria"
"Bacillus benzoevorans","NA","Bacillus benzoevorans","c(""NCBITaxon:1456"", ""NCBI:1456"", ""GBIF:5428049"", ""https://tree.opentreeoflife.org/opentree/ottol@715423"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","bacteria"
"Bacillus benzoevorans","NA","Bacillus benzoevorans","c(""NCBITaxon:1456"", ""NCBI:1456"", ""GBIF:5428049"", ""https://tree.opentreeoflife.org/opentree/ottol@715423"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Bacillus benzoevorans","NA","Bacillus benzoevorans","c(""NCBITaxon:1456"", ""NCBI:1456"", ""GBIF:5428049"", ""https://tree.opentreeoflife.org/opentree/ottol@715423"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:faprotax","species","bacteria"
"Bacillus benzoevorans","NA","Bacillus benzoevorans","c(""NCBITaxon:1456"", ""NCBI:1456"", ""GBIF:5428049"", ""https://tree.opentreeoflife.org/opentree/ottol@715423"")","SFWO:0000000","chemotroph","NA","onto:implicit","species","bacteria"
"Arthrobacter crystallopoietes","NA","Arthrobacter crystallopoietes","c(""NCBITaxon:37928"", ""NCBI:37928"", ""GBIF:3224705"", ""https://tree.opentreeoflife.org/opentree/ottol@314227"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Domibacillus robiginosus","NA","Domibacillus robiginosus","c(""NCBITaxon:1071054"", ""NCBI:1071054"", ""GBIF:7372245"", ""https://tree.opentreeoflife.org/opentree/ottol@1006648"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Domibacillus robiginosus","NA","Domibacillus robiginosus","c(""NCBITaxon:1071054"", ""NCBI:1071054"", ""GBIF:7372245"", ""https://tree.opentreeoflife.org/opentree/ottol@1006648"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","bacteria"
"Domibacillus robiginosus","NA","Domibacillus robiginosus","c(""NCBITaxon:1071054"", ""NCBI:1071054"", ""GBIF:7372245"", ""https://tree.opentreeoflife.org/opentree/ottol@1006648"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:faprotax","species","bacteria"
"Domibacillus robiginosus","NA","Domibacillus robiginosus","c(""NCBITaxon:1071054"", ""NCBI:1071054"", ""GBIF:7372245"", ""https://tree.opentreeoflife.org/opentree/ottol@1006648"")","SFWO:0000000","chemotroph","NA","onto:implicit","species","bacteria"
"Agromyces cerinus","NA","Agromyces cerinus subsp. nitratus","c(""NCBITaxon:231391"", ""https://tree.opentreeoflife.org/opentree/ottol@931602"", ""GBIF:3225276"")","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Agromyces cerinus","NA","Agromyces cerinus nitratus","NCBI:231391","SFWO:0000062","microorganism","NA","onto:implicit","species","bacteria"
"Sphingomonas","NA","Sphingomonas","c(""NCBITaxon:13687"", ""NCBI:13687"", ""GBIF:3221354"", ""https://tree.opentreeoflife.org/opentree/ottol@489855"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas","c(""NCBITaxon:13687"", ""NCBI:13687"", ""GBIF:3221354"", ""https://tree.opentreeoflife.org/opentree/ottol@489855"")","SFWO:0000062","microorganism","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas","c(""NCBITaxon:13687"", ""NCBI:13687"", ""GBIF:3221354"", ""https://tree.opentreeoflife.org/opentree/ottol@489855"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:faprotax","genus","bacteria"
"Sphingomonas","NA","Sphingomonas","c(""NCBITaxon:13687"", ""NCBI:13687"", ""GBIF:3221354"", ""https://tree.opentreeoflife.org/opentree/ottol@489855"")","SFWO:0000000","chemotroph","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas melonis","c(""NCBITaxon:152682"", ""NCBI:152682"", ""https://tree.opentreeoflife.org/opentree/ottol@19829"", ""GBIF:3221378"")","SFWO:0000062","microorganism","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas azotifigens","c(""NCBITaxon:330920"", ""NCBI:330920"", ""GBIF:3221357"", ""https://tree.opentreeoflife.org/opentree/ottol@496889"")","SFWO:0000062","microorganism","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas paucimobilis","c(""NCBITaxon:13689"", ""NCBI:13689"", ""https://tree.opentreeoflife.org/opentree/ottol@489830"", ""GBIF:3221384"")","SFWO:0000062","microorganism","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas paucimobilis","c(""NCBITaxon:13689"", ""NCBI:13689"", ""https://tree.opentreeoflife.org/opentree/ottol@489830"", ""GBIF:3221384"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas paucimobilis","c(""NCBITaxon:13689"", ""NCBI:13689"", ""https://tree.opentreeoflife.org/opentree/ottol@489830"", ""GBIF:3221384"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:faprotax","genus","bacteria"
"Sphingomonas","NA","Sphingomonas paucimobilis","c(""NCBITaxon:13689"", ""NCBI:13689"", ""https://tree.opentreeoflife.org/opentree/ottol@489830"", ""GBIF:3221384"")","SFWO:0000000","chemotroph","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""GBIF:9330746"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"")","SFWO:0000062","microorganism","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""GBIF:9330746"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"")","SFWO:0000001","organotroph","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""GBIF:9330746"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"")","SFWO:0000571","chemoorganotroph","NA","gratin:bacdive","genus","bacteria"
"Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""GBIF:9330746"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"")","SFWO:0000000","chemotroph","NA","onto:implicit","genus","bacteria"
"Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""GBIF:9330746"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"")","SFWO:0000001","organotroph","NA","gratin:bactotraits","genus","bacteria"
"Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""GBIF:9330746"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"")","SFWO:0000571","chemoorganotroph","NA","onto:implicit","genus","bacteria"
