"queryName","queryId","matchName","matchId","interactionId","interactionName","resourceId","resourceName","reference","graph","level","community"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","NCBI:28909","Cynodon dactylon","NA","gratin:hedde_misc1","species","fungi"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","NCBI:204232","Agrostis capillaris","NA","gratin:hedde_misc1","species","fungi"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","NCBI:3900","Trifolium subterraneum","NA","gratin:hedde_misc1","species","fungi"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","NCBI:4555","Setaria italica","NA","gratin:hedde_misc1","species","fungi"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","NCBI:158149","Paspalum vaginatum","NA","gratin:hedde_misc1","species","fungi"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","NCBI:89684","Poa trivialis","NA","gratin:hedde_misc1","species","fungi"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","NCBI:4545","Poa pratensis","NA","gratin:hedde_misc1","species","fungi"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","NCBI:63632","Agrostis stolonifera","NA","gratin:hedde_misc1","species","fungi"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","NCBI:93036","Poa annua","NA","gratin:hedde_misc1","species","fungi"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","NCBI:38727","Panicum virgatum","NA","gratin:hedde_misc1","species","fungi"
"Waitea circinata","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"", ""GBIF:5249953"")","RO:0002444","parasite of","https://tree.opentreeoflife.org/opentree/ottol@105576","Festuca arundinacea","NA","gratin:hedde_misc1","species","fungi"
