"queryName","queryId","matchName","matchId","guildId","guildName","reference","graph","level","community"
"Amara aenea",NA,"Amara aenea","c(""NCBITaxon:585988"", ""NCBI:585988"", ""https://tree.opentreeoflife.org/opentree/ottol@842543"", ""GBIF:1035185"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Amara aenea",NA,"Amara aenea","c(""NCBITaxon:585988"", ""NCBI:585988"", ""https://tree.opentreeoflife.org/opentree/ottol@842543"", ""GBIF:1035185"")","ECOCORE:00000019","herbivore",NA,"onto:implicit","species","macrofauna_aerial"
"Amara aenea",NA,"Amara aenea","c(""NCBITaxon:585988"", ""NCBI:585988"", ""https://tree.opentreeoflife.org/opentree/ottol@842543"", ""GBIF:1035185"")","ECOCORE:00000143","granivore",NA,"onto:implicit","species","macrofauna_aerial"
"Amara aenea",NA,"Amara aenea","c(""NCBITaxon:585988"", ""NCBI:585988"", ""https://tree.opentreeoflife.org/opentree/ottol@842543"", ""GBIF:1035185"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_aerial"
"Amara aenea",NA,"Amara aenea","c(""NCBITaxon:585988"", ""NCBI:585988"", ""https://tree.opentreeoflife.org/opentree/ottol@842543"", ""GBIF:1035185"")","ECOCORE:00000137","palynivore",NA,"onto:implicit","species","macrofauna_aerial"
"Amara aenea",NA,"Amara aenea","c(""NCBITaxon:585988"", ""NCBI:585988"", ""https://tree.opentreeoflife.org/opentree/ottol@842543"", ""GBIF:1035185"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Amara aenea",NA,"Amara aenea","c(""NCBITaxon:585988"", ""NCBI:585988"", ""https://tree.opentreeoflife.org/opentree/ottol@842543"", ""GBIF:1035185"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Apis mellifera",NA,"Apis mellifera","c(""NCBITaxon:7460"", ""NCBI:7460"", ""https://tree.opentreeoflife.org/opentree/ottol@461645"", ""GBIF:1341976"")","SFWO:0000062","microorganism",NA,"onto:implicit","species","macrofauna_aerial"
"Apis mellifera",NA,"Apis mellifera unicolor","c(""NCBITaxon:428024"", ""NCBI:428024"", ""GBIF:9515934"")","SFWO:0000062","microorganism",NA,"onto:implicit","species","macrofauna_aerial"
"Apis mellifera",NA,"Apis mellifera mellifera","c(""NCBITaxon:44477"", ""NCBI:44477"", ""https://tree.opentreeoflife.org/opentree/ottol@13206"", ""GBIF:7868270"")","SFWO:0000062","microorganism",NA,"onto:implicit","species","macrofauna_aerial"
"Carcharodus alceae",NA,"Carcharodus alceae","c(""NCBITaxon:509358"", ""NCBI:509358"", ""https://tree.opentreeoflife.org/opentree/ottol@299070"", ""GBIF:1943420"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Carcharodus alceae",NA,"Carcharodus alceae","c(""NCBITaxon:509358"", ""NCBI:509358"", ""https://tree.opentreeoflife.org/opentree/ottol@299070"", ""GBIF:1943420"")","ECOCORE:00000019","herbivore",NA,"onto:implicit","species","macrofauna_aerial"
"Ceutorhynchus pallidactylus",NA,"Ceutorhynchus pallidactylus","c(""NCBITaxon:201858"", ""NCBI:201858"", ""GBIF:4464262"", ""https://tree.opentreeoflife.org/opentree/ottol@444293"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Ceutorhynchus pallidactylus",NA,"Ceutorhynchus pallidactylus","c(""NCBITaxon:201858"", ""NCBI:201858"", ""GBIF:4464262"", ""https://tree.opentreeoflife.org/opentree/ottol@444293"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Coccinella septempunctata",NA,"Coccinella septempunctata","c(""NCBITaxon:41139"", ""NCBI:41139"", ""https://tree.opentreeoflife.org/opentree/ottol@343294"", ""GBIF:4990191"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Coccinella septempunctata",NA,"Coccinella septempunctata","c(""NCBITaxon:41139"", ""NCBI:41139"", ""https://tree.opentreeoflife.org/opentree/ottol@343294"", ""GBIF:4990191"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Dolichosoma lineare",NA,"Dolichosoma lineare","c(""NCBITaxon:433218"", ""NCBI:433218"", ""GBIF:5716418"", ""https://tree.opentreeoflife.org/opentree/ottol@296610"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Dolichosoma lineare",NA,"Dolichosoma lineare","c(""NCBITaxon:433218"", ""NCBI:433218"", ""GBIF:5716418"", ""https://tree.opentreeoflife.org/opentree/ottol@296610"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Dolichosoma lineare",NA,"Dolichosoma lineare","c(""NCBITaxon:433218"", ""NCBI:433218"", ""GBIF:5716418"", ""https://tree.opentreeoflife.org/opentree/ottol@296610"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Euophrys herbigrada",NA,"Euophrys herbigrada","c(""NCBITaxon:2747066"", ""NCBI:2747066"", ""GBIF:5172073"", ""https://tree.opentreeoflife.org/opentree/ottol@3545421"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Euophrys herbigrada",NA,"Euophrys herbigrada","c(""NCBITaxon:2747066"", ""NCBI:2747066"", ""GBIF:5172073"", ""https://tree.opentreeoflife.org/opentree/ottol@3545421"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_aerial"
"Euophrys herbigrada",NA,"Euophrys herbigrada","c(""NCBITaxon:2747066"", ""NCBI:2747066"", ""GBIF:5172073"", ""https://tree.opentreeoflife.org/opentree/ottol@3545421"")","ECOCORE:00000089","predator",NA,"onto:implicit","species","macrofauna_aerial"
"Gastrophysa polygoni",NA,"Gastrophysa polygoni","c(""NCBITaxon:878018"", ""NCBI:878018"", ""GBIF:1048335"", ""https://tree.opentreeoflife.org/opentree/ottol@1091637"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Gastrophysa polygoni",NA,"Gastrophysa polygoni","c(""NCBITaxon:878018"", ""NCBI:878018"", ""GBIF:1048335"", ""https://tree.opentreeoflife.org/opentree/ottol@1091637"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Harmonia axyridis",NA,"Harmonia axyridis","c(""NCBITaxon:115357"", ""NCBI:115357"", ""https://tree.opentreeoflife.org/opentree/ottol@258281"", ""GBIF:4989904"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Harmonia axyridis",NA,"Harmonia axyridis","c(""NCBITaxon:115357"", ""NCBI:115357"", ""https://tree.opentreeoflife.org/opentree/ottol@258281"", ""GBIF:4989904"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Hippodamia variegata",NA,"Hippodamia variegata","c(""NCBITaxon:703264"", ""NCBI:703264"", ""https://tree.opentreeoflife.org/opentree/ottol@892547"", ""GBIF:1043082"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Hippodamia variegata",NA,"Hippodamia variegata","c(""NCBITaxon:703264"", ""NCBI:703264"", ""https://tree.opentreeoflife.org/opentree/ottol@892547"", ""GBIF:1043082"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Mecinus pyraster",NA,"Mecinus pyraster","c(""NCBITaxon:878137"", ""NCBI:878137"", ""GBIF:1197449"", ""https://tree.opentreeoflife.org/opentree/ottol@1069918"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Mecinus pyraster",NA,"Mecinus pyraster","c(""NCBITaxon:878137"", ""NCBI:878137"", ""GBIF:1197449"", ""https://tree.opentreeoflife.org/opentree/ottol@1069918"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Oulema melanopus",NA,"Oulema melanopus","c(""NCBITaxon:294584"", ""NCBI:294584"", ""https://tree.opentreeoflife.org/opentree/ottol@599618"", ""GBIF:1048319"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Oulema melanopus",NA,"Oulema melanopus","c(""NCBITaxon:294584"", ""NCBI:294584"", ""https://tree.opentreeoflife.org/opentree/ottol@599618"", ""GBIF:1048319"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Piezodorus lituratus",NA,"Piezodorus lituratus","c(""NCBITaxon:305495"", ""NCBI:305495"", ""GBIF:2078821"", ""https://tree.opentreeoflife.org/opentree/ottol@682695"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Piezodorus lituratus",NA,"Piezodorus lituratus","c(""NCBITaxon:305495"", ""NCBI:305495"", ""GBIF:2078821"", ""https://tree.opentreeoflife.org/opentree/ottol@682695"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Platynaspis luteorubra",NA,"Platynaspis luteorubra","c(""NCBITaxon:115359"", ""NCBI:115359"", ""GBIF:4452301"", ""https://tree.opentreeoflife.org/opentree/ottol@56277"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Platynaspis luteorubra",NA,"Platynaspis luteorubra","c(""NCBITaxon:115359"", ""NCBI:115359"", ""GBIF:4452301"", ""https://tree.opentreeoflife.org/opentree/ottol@56277"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Propylea quattuordecimpunctata",NA,"Propylea quatuordecimpunctata","c(""NCBITaxon:558720"", ""NCBI:558720"", ""GBIF:4452216"", ""https://tree.opentreeoflife.org/opentree/ottol@276219"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Propylea quattuordecimpunctata",NA,"Propylea quatuordecimpunctata","c(""NCBITaxon:558720"", ""NCBI:558720"", ""GBIF:4452216"", ""https://tree.opentreeoflife.org/opentree/ottol@276219"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Propylea quattuordecimpunctata",NA,"Propylea quattuordecimpunctata","NCBITaxon:558720","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Propylea quattuordecimpunctata",NA,"Propylea quattuordecimpunctata","NCBITaxon:558720","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Propylea quattuordecimpunctata",NA,"Propylaea quatuordecimpunctata","GBIF:1043572","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Propylea quattuordecimpunctata",NA,"Propylaea quatuordecimpunctata","GBIF:1043572","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Protapion fulvipes",NA,"Protapion fulvipes","c(""NCBITaxon:202145"", ""NCBI:202145"", ""https://tree.opentreeoflife.org/opentree/ottol@864207"", ""GBIF:4463745"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Protapion fulvipes",NA,"Protapion fulvipes","c(""NCBITaxon:202145"", ""NCBI:202145"", ""https://tree.opentreeoflife.org/opentree/ottol@864207"", ""GBIF:4463745"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Rhinocyllus conicus",NA,"Rhinocyllus conicus","c(""NCBITaxon:202166"", ""NCBI:202166"", ""GBIF:4291199"", ""https://tree.opentreeoflife.org/opentree/ottol@1087312"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Rhinocyllus conicus",NA,"Rhinocyllus conicus","c(""NCBITaxon:202166"", ""NCBI:202166"", ""GBIF:4291199"", ""https://tree.opentreeoflife.org/opentree/ottol@1087312"")","ECOCORE:00000019","herbivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Runcinia grammica",NA,"Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""GBIF:2165513"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Runcinia grammica",NA,"Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""GBIF:2165513"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","macrofauna_aerial"
"Runcinia grammica",NA,"Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""GBIF:2165513"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"")","ECOCORE:00000089","predator",NA,"onto:implicit","species","macrofauna_aerial"
"Scymnus frontalis",NA,"Scymnus frontalis","c(""NCBITaxon:619630"", ""NCBI:619630"", ""GBIF:5749504"", ""https://tree.opentreeoflife.org/opentree/ottol@236193"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
"Scymnus frontalis",NA,"Scymnus frontalis","c(""NCBITaxon:619630"", ""NCBI:619630"", ""GBIF:5749504"", ""https://tree.opentreeoflife.org/opentree/ottol@236193"")","ECOCORE:00000088","carnivore",NA,"gratin:gossner_arthropoda","species","macrofauna_aerial"
"Synema globosum",NA,"Synema globosum","c(""NCBITaxon:1112488"", ""NCBI:1112488"", ""https://tree.opentreeoflife.org/opentree/ottol@219969"", ""GBIF:5171516"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","macrofauna_aerial"
