"queryName","queryId","matchName","matchId","interactionId","interactionName","resourceId","resourceName","reference","graph","level","community"
"Carcharodus alceae",NA,"Carcharodus alceae","c(""NCBITaxon:509358"", ""NCBI:509358"", ""https://tree.opentreeoflife.org/opentree/ottol@299070"", ""GBIF:1943420"")","RO:0002470","eats","NCBI:3977","Euphorbiaceae",NA,"gratin:leptraits","species","macrofauna_aerial"
"Carcharodus alceae",NA,"Carcharodus alceae","c(""NCBITaxon:509358"", ""NCBI:509358"", ""https://tree.opentreeoflife.org/opentree/ottol@299070"", ""GBIF:1943420"")","RO:0002470","eats","NCBI:3629","Malvaceae",NA,"gratin:leptraits","species","macrofauna_aerial"
"Agriotes",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:3803","Fabaceae",NA,"gratin:hedde_misc1","genus","macrofauna_aerial"
"Agriotes",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:3700","Brassicaceae",NA,"gratin:hedde_misc1","genus","macrofauna_aerial"
"Agriotes",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:1804623","Chenopodiaceae",NA,"gratin:hedde_misc1","genus","macrofauna_aerial"
"Agriotes",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4070","Solanaceae",NA,"gratin:hedde_misc1","genus","macrofauna_aerial"
"Agriotes",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4210","Asteraceae",NA,"gratin:hedde_misc1","genus","macrofauna_aerial"
"Agriotes",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4677","Liliaceae",NA,"gratin:hedde_misc1","genus","macrofauna_aerial"
"Agriotes",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4479","Poaceae",NA,"gratin:hedde_misc1","genus","macrofauna_aerial"
"Carcharodus",NA,"Carcharodus tripolina","c(""NCBITaxon:1107551"", ""NCBI:1107551"", ""GBIF:1943421"", ""https://tree.opentreeoflife.org/opentree/ottol@3065987"")","RO:0002470","eats","NCBI:3629","Malvaceae",NA,"gratin:leptraits","genus","macrofauna_aerial"
"Carcharodus",NA,"Carcharodus alceae","c(""NCBITaxon:509358"", ""NCBI:509358"", ""https://tree.opentreeoflife.org/opentree/ottol@299070"", ""GBIF:1943420"")","RO:0002470","eats","NCBI:3977","Euphorbiaceae",NA,"gratin:leptraits","genus","macrofauna_aerial"
"Carcharodus",NA,"Carcharodus alceae","c(""NCBITaxon:509358"", ""NCBI:509358"", ""https://tree.opentreeoflife.org/opentree/ottol@299070"", ""GBIF:1943420"")","RO:0002470","eats","NCBI:3629","Malvaceae",NA,"gratin:leptraits","genus","macrofauna_aerial"
"Sitona",NA,"Sitona lineatus","c(""NCBITaxon:202195"", ""NCBI:202195"", ""https://tree.opentreeoflife.org/opentree/ottol@238839"", ""GBIF:1181282"")","RO:0002470","eats","NCBI:3803","Fabaceae",NA,"gratin:hedde_misc1","genus","macrofauna_aerial"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:3803","Fabaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:3700","Brassicaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:1804623","Chenopodiaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4070","Solanaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4210","Asteraceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4677","Liliaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4479","Poaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Elateridae","c(""NCBITaxon:30009"", ""NCBI:30009"", ""GBIF:7825"", ""https://tree.opentreeoflife.org/opentree/ottol@506408"")","RO:0002470","eats","NCBI:58023","Tracheophyta",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:3700","Brassicaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4479","Poaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4070","Solanaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4677","Liliaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:3745","Rosaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4210","Asteraceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:1804623","Chenopodiaceae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Braconidae",NA,"Aphidius ervi","c(""NCBITaxon:37627"", ""NCBI:37627"", ""https://tree.opentreeoflife.org/opentree/ottol@472057"", ""GBIF:1269085"")","RO:0002444","parasite of","NCBI:13164","Myzus persicae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Braconidae",NA,"Aphidius ervi","c(""NCBITaxon:37627"", ""NCBI:37627"", ""https://tree.opentreeoflife.org/opentree/ottol@472057"", ""GBIF:1269085"")","RO:0002444","parasite of","NCBI:202456","Aulacorthum solani",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Braconidae",NA,"Aphidius ervi","c(""NCBITaxon:37627"", ""NCBI:37627"", ""https://tree.opentreeoflife.org/opentree/ottol@472057"", ""GBIF:1269085"")","RO:0002444","parasite of","NCBI:7029","Acyrthosiphon pisum",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7088","Lepidoptera",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7147","Diptera",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:30001","Collembola",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7055","Scarabaeidae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:66547","Endeostigmata",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:7147","Diptera",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:34634","Mesostigmata",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:6893","Araneae",NA,"gratin:hedde_misc1","family","macrofauna_aerial"
