"queryName","queryId","matchName","matchId","guildId","guildName","reference","graph","level","community"
"Harpalus distinguendus","NA","Harpalus distinguendus","c(""NCBITaxon:247290"", ""NCBI:247290"", ""https://tree.opentreeoflife.org/opentree/ottol@754010"", ""GBIF:5873223"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","macrofauna_surface"
"Harpalus distinguendus","NA","Harpalus distinguendus","c(""NCBITaxon:247290"", ""NCBI:247290"", ""https://tree.opentreeoflife.org/opentree/ottol@754010"", ""GBIF:5873223"")","ECOCORE:00000019","herbivore","NA","onto:implicit","species","macrofauna_surface"
"Harpalus distinguendus","NA","Harpalus distinguendus","c(""NCBITaxon:247290"", ""NCBI:247290"", ""https://tree.opentreeoflife.org/opentree/ottol@754010"", ""GBIF:5873223"")","ECOCORE:00000143","granivore","NA","onto:implicit","species","macrofauna_surface"
"Harpalus distinguendus","NA","Harpalus distinguendus","c(""NCBITaxon:247290"", ""NCBI:247290"", ""https://tree.opentreeoflife.org/opentree/ottol@754010"", ""GBIF:5873223"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","macrofauna_surface"
"Phaeocedus braccatus","NA","Phaeocedus braccatus","c(""NCBITaxon:1872073"", ""NCBI:1872073"", ""GBIF:2133275"", ""https://tree.opentreeoflife.org/opentree/ottol@4694040"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","macrofauna_surface"
"Phaeocedus braccatus","NA","Phaeocedus braccatus","c(""NCBITaxon:1872073"", ""NCBI:1872073"", ""GBIF:2133275"", ""https://tree.opentreeoflife.org/opentree/ottol@4694040"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","macrofauna_surface"
"Phaeocedus braccatus","NA","Phaeocedus braccatus","c(""NCBITaxon:1872073"", ""NCBI:1872073"", ""GBIF:2133275"", ""https://tree.opentreeoflife.org/opentree/ottol@4694040"")","ECOCORE:00000089","predator","NA","onto:implicit","species","macrofauna_surface"
"Pheidole pallidula","NA","Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","macrofauna_surface"
"Pheidole pallidula","NA","Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000019","herbivore","NA","onto:implicit","species","macrofauna_surface"
"Pheidole pallidula","NA","Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","SFWO:0000062","microorganism","NA","onto:implicit","species","macrofauna_surface"
"Pheidole pallidula","NA","Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000143","granivore","NA","onto:implicit","species","macrofauna_surface"
"Pheidole pallidula","NA","Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","macrofauna_surface"
"Pheidole pallidula","NA","Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000054","decomposer","NA","onto:implicit","species","macrofauna_surface"
"Pheidole pallidula","NA","Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000055","detritivore","NA","onto:implicit","species","macrofauna_surface"
"Pheidole pallidula","NA","Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000056","saprotroph","NA","onto:implicit","species","macrofauna_surface"
"Pheidole pallidula","NA","Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000090","scavenger","NA","onto:implicit","species","macrofauna_surface"
"Calathus fuscipes","NA","Calathus fuscipes","c(""NCBITaxon:127480"", ""NCBI:127480"", ""GBIF:4988363"", ""https://tree.opentreeoflife.org/opentree/ottol@795134"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","macrofauna_surface"
"Calathus fuscipes","NA","Calathus fuscipes","c(""NCBITaxon:127480"", ""NCBI:127480"", ""GBIF:4988363"", ""https://tree.opentreeoflife.org/opentree/ottol@795134"")","ECOCORE:00000019","herbivore","NA","onto:implicit","species","macrofauna_surface"
"Calathus fuscipes","NA","Calathus fuscipes","c(""NCBITaxon:127480"", ""NCBI:127480"", ""GBIF:4988363"", ""https://tree.opentreeoflife.org/opentree/ottol@795134"")","ECOCORE:00000136","frugivore","NA","onto:implicit","species","macrofauna_surface"
"Calathus fuscipes","NA","Calathus fuscipes","c(""NCBITaxon:127480"", ""NCBI:127480"", ""GBIF:4988363"", ""https://tree.opentreeoflife.org/opentree/ottol@795134"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","macrofauna_surface"
"Calathus fuscipes","NA","Calathus fuscipes","c(""NCBITaxon:127480"", ""NCBI:127480"", ""GBIF:4988363"", ""https://tree.opentreeoflife.org/opentree/ottol@795134"")","ECOCORE:00000143","granivore","NA","onto:implicit","species","macrofauna_surface"
"Calathus fuscipes","NA","Calathus fuscipes","c(""NCBITaxon:127480"", ""NCBI:127480"", ""GBIF:4988363"", ""https://tree.opentreeoflife.org/opentree/ottol@795134"")","ECOCORE:00000137","palynivore","NA","onto:implicit","species","macrofauna_surface"
"Armadillidium vulgare","NA","Armadillidium vulgare","c(""NCBITaxon:13347"", ""NCBI:13347"", ""GBIF:2203611"", ""https://tree.opentreeoflife.org/opentree/ottol@776700"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","macrofauna_surface"
"Armadillidium vulgare","NA","Armadillidium vulgare","c(""NCBITaxon:13347"", ""NCBI:13347"", ""GBIF:2203611"", ""https://tree.opentreeoflife.org/opentree/ottol@776700"")","ECOCORE:00000054","decomposer","NA","onto:implicit","species","macrofauna_surface"
"Armadillidium vulgare","NA","Armadillidium vulgare","c(""NCBITaxon:13347"", ""NCBI:13347"", ""GBIF:2203611"", ""https://tree.opentreeoflife.org/opentree/ottol@776700"")","ECOCORE:00000055","detritivore","NA","onto:implicit","species","macrofauna_surface"
"Armadillidium vulgare","NA","Armadillidium vulgare","c(""NCBITaxon:13347"", ""NCBI:13347"", ""GBIF:2203611"", ""https://tree.opentreeoflife.org/opentree/ottol@776700"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","macrofauna_surface"
"Armadillidium vulgare","NA","Armadillidium vulgare","c(""NCBITaxon:13347"", ""NCBI:13347"", ""GBIF:2203611"", ""https://tree.opentreeoflife.org/opentree/ottol@776700"")","ECOCORE:00000090","scavenger","NA","onto:implicit","species","macrofauna_surface"
"Armadillidium vulgare","NA","Armadillidium vulgare","c(""NCBITaxon:13347"", ""NCBI:13347"", ""GBIF:2203611"", ""https://tree.opentreeoflife.org/opentree/ottol@776700"")","ECOCORE:00000019","herbivore","NA","onto:implicit","species","macrofauna_surface"
"Armadillidium vulgare","NA","Armadillidium vulgare","c(""NCBITaxon:13347"", ""NCBI:13347"", ""GBIF:2203611"", ""https://tree.opentreeoflife.org/opentree/ottol@776700"")","ECOCORE:00000143","granivore","NA","onto:implicit","species","macrofauna_surface"
"Licinus punctatulus","NA","Licinus punctatulus","c(""NCBITaxon:1068929"", ""NCBI:1068929"", ""https://tree.opentreeoflife.org/opentree/ottol@91557"", ""GBIF:4475846"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","macrofauna_surface"
"Licinus punctatulus","NA","Licinus punctatulus","c(""NCBITaxon:1068929"", ""NCBI:1068929"", ""https://tree.opentreeoflife.org/opentree/ottol@91557"", ""GBIF:4475846"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","macrofauna_surface"
"Harpalus attenuatus","NA","Harpalus attenuatus","c(""NCBITaxon:247285"", ""NCBI:247285"", ""https://tree.opentreeoflife.org/opentree/ottol@179867"", ""GBIF:5873214"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","macrofauna_surface"
"Harpalus attenuatus","NA","Harpalus attenuatus","c(""NCBITaxon:247285"", ""NCBI:247285"", ""https://tree.opentreeoflife.org/opentree/ottol@179867"", ""GBIF:5873214"")","ECOCORE:00000019","herbivore","NA","onto:implicit","species","macrofauna_surface"
"Harpalus attenuatus","NA","Harpalus attenuatus","c(""NCBITaxon:247285"", ""NCBI:247285"", ""https://tree.opentreeoflife.org/opentree/ottol@179867"", ""GBIF:5873214"")","ECOCORE:00000137","palynivore","NA","onto:implicit","species","macrofauna_surface"
"Pisaura mirabilis","NA","Pisaura mirabilis","c(""NCBITaxon:1155755"", ""NCBI:1155755"", ""https://tree.opentreeoflife.org/opentree/ottol@963013"", ""GBIF:2150764"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","macrofauna_surface"
"Pisaura mirabilis","NA","Pisaura mirabilis","c(""NCBITaxon:1155755"", ""NCBI:1155755"", ""https://tree.opentreeoflife.org/opentree/ottol@963013"", ""GBIF:2150764"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","macrofauna_surface"
"Pisaura mirabilis","NA","Pisaura mirabilis","c(""NCBITaxon:1155755"", ""NCBI:1155755"", ""https://tree.opentreeoflife.org/opentree/ottol@963013"", ""GBIF:2150764"")","ECOCORE:00000089","predator","NA","onto:implicit","species","macrofauna_surface"
