"queryName","queryId","matchName","matchId","interactionId","interactionName","resourceId","resourceName","reference","graph","level","community"
"Athous",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:3700","Brassicaceae",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Athous",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4479","Poaceae",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Athous",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4070","Solanaceae",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Athous",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4677","Liliaceae",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Athous",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:3745","Rosaceae",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Athous",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4210","Asteraceae",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Athous",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:1804623","Chenopodiaceae",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Tachyporus",NA,"Tachyporus hypnorum","c(""NCBITaxon:346861"", ""NCBI:346861"", ""GBIF:4438583"", ""https://tree.opentreeoflife.org/opentree/ottol@641965"")","RO:0002470","eats","NCBI:4751","Fungi",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Trechus",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7088","Lepidoptera",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Trechus",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7147","Diptera",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Trechus",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:30001","Collembola",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Trechus",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7055","Scarabaeidae",NA,"gratin:hedde_misc1","genus","macrofauna_surface"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7088","Lepidoptera",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7147","Diptera",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:30001","Collembola",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7055","Scarabaeidae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:66547","Endeostigmata",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:7147","Diptera",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:34634","Mesostigmata",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:6893","Araneae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:6951","Astigmata",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:83136","Trombidiformes",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:6388","Enchytraeidae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:66551","Oribatida",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:30001","Collembola",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Staphylinidae",NA,"Tachyporus hypnorum","c(""NCBITaxon:346861"", ""NCBI:346861"", ""GBIF:4438583"", ""https://tree.opentreeoflife.org/opentree/ottol@641965"")","RO:0002470","eats","NCBI:4751","Fungi",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:3803","Fabaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:3700","Brassicaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:1804623","Chenopodiaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4070","Solanaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4210","Asteraceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4677","Liliaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Agriotes","c(""NCBITaxon:292457"", ""NCBI:292457"", ""GBIF:1162125"", ""https://tree.opentreeoflife.org/opentree/ottol@640462"")","RO:0002470","eats","NCBI:4479","Poaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Elateridae","c(""NCBITaxon:30009"", ""NCBI:30009"", ""GBIF:7825"", ""https://tree.opentreeoflife.org/opentree/ottol@506408"")","RO:0002470","eats","NCBI:58023","Tracheophyta",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:3700","Brassicaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4479","Poaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4070","Solanaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4677","Liliaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:3745","Rosaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:4210","Asteraceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Elateridae",NA,"Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"", ""GBIF:3261301"")","RO:0002470","eats","NCBI:1804623","Chenopodiaceae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Theridiidae",NA,"Theridiidae","c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")","RO:0002470","eats","NCBI:7088","Lepidoptera",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Theridiidae",NA,"Theridiidae","c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")","RO:0002470","eats","NCBI:6893","Araneae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Theridiidae",NA,"Theridiidae","c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")","RO:0002470","eats","NCBI:6388","Enchytraeidae",NA,"gratin:hedde_misc1","family","macrofauna_surface"
"Theridiidae",NA,"Theridiidae","c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")","RO:0002470","eats","NCBI:30001","Collembola",NA,"gratin:hedde_misc1","family","macrofauna_surface"
