"queryName","queryId","matchName","matchId","guildId","guildName","reference","graph","level","community"
"Microctenonyx subitaneus",NA,"Microctenonyx subitaneus","c(""NCBITaxon:1872057"", ""NCBI:1872057"", ""GBIF:2135187"", ""https://tree.opentreeoflife.org/opentree/ottol@3567440"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","micro_arthropodes"
"Microctenonyx subitaneus",NA,"Microctenonyx subitaneus","c(""NCBITaxon:1872057"", ""NCBI:1872057"", ""GBIF:2135187"", ""https://tree.opentreeoflife.org/opentree/ottol@3567440"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","micro_arthropodes"
"Microctenonyx subitaneus",NA,"Microctenonyx subitaneus","c(""NCBITaxon:1872057"", ""NCBI:1872057"", ""GBIF:2135187"", ""https://tree.opentreeoflife.org/opentree/ottol@3567440"")","ECOCORE:00000089","predator",NA,"onto:implicit","species","micro_arthropodes"
"Pheidole pallidula",NA,"Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","species","micro_arthropodes"
"Pheidole pallidula",NA,"Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000019","herbivore",NA,"onto:implicit","species","micro_arthropodes"
"Pheidole pallidula",NA,"Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","SFWO:0000062","microorganism",NA,"onto:implicit","species","micro_arthropodes"
"Pheidole pallidula",NA,"Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000143","granivore",NA,"onto:implicit","species","micro_arthropodes"
"Pheidole pallidula",NA,"Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","species","micro_arthropodes"
"Pheidole pallidula",NA,"Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000054","decomposer",NA,"onto:implicit","species","micro_arthropodes"
"Pheidole pallidula",NA,"Pheidole pallidula","c(""NCBITaxon:190770"", ""NCBI:190770"", ""GBIF:1322537"", ""https://tree.opentreeoflife.org/opentree/ottol@100327"")","ECOCORE:00000055","detritivore",NA,"onto:implicit","species","micro_arthropodes"
