"queryName","queryId","matchName","matchId","guildId","guildName","reference","graph","level","community"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","ECOCORE:00000098","bacterivore",NA,"onto:implicit","genus","nematodes"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","nematodes"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","nematodes"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","SFWO:0000063","omnivore",NA,"onto:implicit","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","ECOCORE:00000098","bacterivore",NA,"onto:implicit","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","SFWO:0000063","omnivore",NA,"onto:implicit","genus","nematodes"
"Aprutides",NA,"Aprutides","c(""NCBITaxon:211416"", ""NCBI:211416"", ""GBIF:4406376"", ""https://tree.opentreeoflife.org/opentree/ottol@1059785"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Aprutides",NA,"Aprutides","c(""NCBITaxon:211416"", ""NCBI:211416"", ""GBIF:4406376"", ""https://tree.opentreeoflife.org/opentree/ottol@1059785"")","ECOCORE:00000015","fungivore",NA,"onto:implicit","genus","nematodes"
"Aprutides",NA,"Aprutides","c(""NCBITaxon:211416"", ""NCBI:211416"", ""GBIF:4406376"", ""https://tree.opentreeoflife.org/opentree/ottol@1059785"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Aprutides",NA,"Aprutides","c(""NCBITaxon:211416"", ""NCBI:211416"", ""GBIF:4406376"", ""https://tree.opentreeoflife.org/opentree/ottol@1059785"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Cervidellus",NA,"Cervidellus","c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Cervidellus",NA,"Cervidellus","c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Cervidellus",NA,"Cervidellus","c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","nematodes"
"Cervidellus",NA,"Cervidellus","c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","nematodes"
"Cervidellus",NA,"Cervidellus","c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")","ECOCORE:00000098","bacterivore",NA,"onto:implicit","genus","nematodes"
"Cervidellus",NA,"Cervidellus","c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Cervidellus",NA,"Cervidellus","c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")","SFWO:0000063","omnivore",NA,"onto:implicit","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","ECOCORE:00000098","bacterivore",NA,"onto:implicit","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","SFWO:0000063","omnivore",NA,"onto:implicit","genus","nematodes"
"Anaplectus",NA,"Anaplectus","c(""NCBITaxon:211402"", ""NCBI:211402"", ""GBIF:2283130"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Anaplectus",NA,"Anaplectus","c(""NCBITaxon:211402"", ""NCBI:211402"", ""GBIF:2283130"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Anaplectus",NA,"Anaplectus","c(""NCBITaxon:211402"", ""NCBI:211402"", ""GBIF:2283130"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"")","ECOCORE:00000098","bacterivore",NA,"onto:implicit","genus","nematodes"
"Anaplectus",NA,"Anaplectus","c(""NCBITaxon:211402"", ""NCBI:211402"", ""GBIF:2283130"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Anaplectus",NA,"Anaplectus","c(""NCBITaxon:211402"", ""NCBI:211402"", ""GBIF:2283130"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","nematodes"
"Anaplectus",NA,"Anaplectus","c(""NCBITaxon:211402"", ""NCBI:211402"", ""GBIF:2283130"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","nematodes"
"Anaplectus",NA,"Anaplectus","c(""NCBITaxon:211402"", ""NCBI:211402"", ""GBIF:2283130"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"")","SFWO:0000063","omnivore",NA,"onto:implicit","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","ECOCORE:00000098","bacterivore",NA,"onto:implicit","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","SFWO:0000063","omnivore",NA,"onto:implicit","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","ECOCORE:00000098","bacterivore",NA,"onto:implicit","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","SFWO:0000063","omnivore",NA,"onto:implicit","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","ECOCORE:00000098","bacterivore",NA,"onto:implicit","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","SFWO:0000063","omnivore",NA,"onto:implicit","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","ECOCORE:00000098","bacterivore",NA,"onto:implicit","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","SFWO:0000063","omnivore",NA,"onto:implicit","genus","nematodes"
"Aphelenchus",NA,"Aphelenchus","c(""NCBITaxon:70225"", ""NCBI:70225"", ""GBIF:2284394"", ""https://tree.opentreeoflife.org/opentree/ottol@966923"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Aphelenchus",NA,"Aphelenchus","c(""NCBITaxon:70225"", ""NCBI:70225"", ""GBIF:2284394"", ""https://tree.opentreeoflife.org/opentree/ottol@966923"")","ECOCORE:00000015","fungivore",NA,"onto:implicit","genus","nematodes"
"Aphelenchus",NA,"Aphelenchus","c(""NCBITaxon:70225"", ""NCBI:70225"", ""GBIF:2284394"", ""https://tree.opentreeoflife.org/opentree/ottol@966923"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Aphelenchus",NA,"Aphelenchus","c(""NCBITaxon:70225"", ""NCBI:70225"", ""GBIF:2284394"", ""https://tree.opentreeoflife.org/opentree/ottol@966923"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Aphelenchoides",NA,"Aphelenchoides","c(""NCBITaxon:90723"", ""NCBI:90723"", ""https://tree.opentreeoflife.org/opentree/ottol@631059"", ""GBIF:2284354"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Aphelenchoides",NA,"Aphelenchoides","c(""NCBITaxon:90723"", ""NCBI:90723"", ""https://tree.opentreeoflife.org/opentree/ottol@631059"", ""GBIF:2284354"")","ECOCORE:00000015","fungivore",NA,"onto:implicit","genus","nematodes"
"Aphelenchoides",NA,"Aphelenchoides","c(""NCBITaxon:90723"", ""NCBI:90723"", ""https://tree.opentreeoflife.org/opentree/ottol@631059"", ""GBIF:2284354"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Aphelenchoides",NA,"Aphelenchoides","c(""NCBITaxon:90723"", ""NCBI:90723"", ""https://tree.opentreeoflife.org/opentree/ottol@631059"", ""GBIF:2284354"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Diphtherophora",NA,"Diphtherophora","c(""NCBITaxon:211190"", ""NCBI:211190"", ""GBIF:2282793"", ""https://tree.opentreeoflife.org/opentree/ottol@1074605"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Diphtherophora",NA,"Diphtherophora","c(""NCBITaxon:211190"", ""NCBI:211190"", ""GBIF:2282793"", ""https://tree.opentreeoflife.org/opentree/ottol@1074605"")","ECOCORE:00000015","fungivore",NA,"onto:implicit","genus","nematodes"
"Diphtherophora",NA,"Diphtherophora","c(""NCBITaxon:211190"", ""NCBI:211190"", ""GBIF:2282793"", ""https://tree.opentreeoflife.org/opentree/ottol@1074605"")","SFWO:0000512","microphytophage",NA,"onto:implicit","genus","nematodes"
"Diphtherophora",NA,"Diphtherophora","c(""NCBITaxon:211190"", ""NCBI:211190"", ""GBIF:2282793"", ""https://tree.opentreeoflife.org/opentree/ottol@1074605"")","SFWO:0000061","microbivore",NA,"onto:implicit","genus","nematodes"
"Mononchus",NA,"Mononchus","c(""NCBITaxon:211392"", ""NCBI:211392"", ""https://tree.opentreeoflife.org/opentree/ottol@79656"", ""GBIF:2282524"")","ECOCORE:00000010","heterotroph",NA,"onto:implicit","genus","nematodes"
"Mononchus",NA,"Mononchus","c(""NCBITaxon:211392"", ""NCBI:211392"", ""https://tree.opentreeoflife.org/opentree/ottol@79656"", ""GBIF:2282524"")","ECOCORE:00000088","carnivore",NA,"onto:implicit","genus","nematodes"
"Mononchus",NA,"Mononchus","c(""NCBITaxon:211392"", ""NCBI:211392"", ""https://tree.opentreeoflife.org/opentree/ottol@79656"", ""GBIF:2282524"")","ECOCORE:00000089","predator",NA,"onto:implicit","genus","nematodes"
