"queryName","queryId","matchName","matchId","interactionId","interactionName","resourceId","resourceName","reference","graph","level","community"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","RO:0002470","eats","NCBI:2","Bacteria",NA,"gratin:hedde_misc1","genus","nematodes"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","RO:0002470","eats","NCBI:2157","Archaea",NA,"gratin:hedde_misc1","genus","nematodes"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","RO:0002470","eats","GBIF:2","Archaea",NA,"gratin:nematrait","genus","nematodes"
"Acrobeles",NA,"Acrobeles","c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")","RO:0002470","eats","GBIF:3","Bacteria",NA,"gratin:nematrait","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","RO:0002470","eats","NCBI:2","Bacteria",NA,"gratin:hedde_misc1","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","RO:0002470","eats","NCBI:2157","Archaea",NA,"gratin:hedde_misc1","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","RO:0002470","eats","GBIF:2","Archaea",NA,"gratin:nematrait","genus","nematodes"
"Acrobeloides",NA,"Acrobeloides","c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")","RO:0002470","eats","GBIF:3","Bacteria",NA,"gratin:nematrait","genus","nematodes"
"Aprutides",NA,"Aprutides","c(""NCBITaxon:211416"", ""NCBI:211416"", ""GBIF:4406376"", ""https://tree.opentreeoflife.org/opentree/ottol@1059785"")","RO:0002470","eats","GBIF:5","Fungi",NA,"gratin:nematrait","genus","nematodes"
"Cervidellus",NA,"Cervidellus","c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")","RO:0002470","eats","GBIF:2","Archaea",NA,"gratin:nematrait","genus","nematodes"
"Cervidellus",NA,"Cervidellus","c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")","RO:0002470","eats","GBIF:3","Bacteria",NA,"gratin:nematrait","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","RO:0002470","eats","NCBI:2","Bacteria",NA,"gratin:hedde_misc1","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","RO:0002470","eats","NCBI:2157","Archaea",NA,"gratin:hedde_misc1","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","RO:0002470","eats","GBIF:3","Bacteria",NA,"gratin:nematrait","genus","nematodes"
"Eumonhystera",NA,"Eumonhystera","c(""NCBITaxon:288545"", ""NCBI:288545"", ""https://tree.opentreeoflife.org/opentree/ottol@304048"", ""GBIF:4348568"")","RO:0002470","eats","GBIF:2","Archaea",NA,"gratin:nematrait","genus","nematodes"
"Anaplectus",NA,"Anaplectus","c(""NCBITaxon:211402"", ""NCBI:211402"", ""GBIF:2283130"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"")","RO:0002470","eats","GBIF:3","Bacteria",NA,"gratin:nematrait","genus","nematodes"
"Anaplectus",NA,"Anaplectus","c(""NCBITaxon:211402"", ""NCBI:211402"", ""GBIF:2283130"", ""https://tree.opentreeoflife.org/opentree/ottol@533542"")","RO:0002470","eats","GBIF:2","Archaea",NA,"gratin:nematrait","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","RO:0002470","eats","NCBI:2","Bacteria",NA,"gratin:hedde_misc1","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","RO:0002470","eats","NCBI:2157","Archaea",NA,"gratin:hedde_misc1","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","RO:0002470","eats","GBIF:2","Archaea",NA,"gratin:nematrait","genus","nematodes"
"Plectus",NA,"Plectus","c(""NCBITaxon:49353"", ""NCBI:49353"", ""GBIF:2283075"", ""https://tree.opentreeoflife.org/opentree/ottol@1054683"")","RO:0002470","eats","GBIF:3","Bacteria",NA,"gratin:nematrait","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","RO:0002470","eats","NCBI:2","Bacteria",NA,"gratin:hedde_misc1","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","RO:0002470","eats","NCBI:2157","Archaea",NA,"gratin:hedde_misc1","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","RO:0002470","eats","GBIF:3","Bacteria",NA,"gratin:nematrait","genus","nematodes"
"Panagrolaimus",NA,"Panagrolaimus","c(""NCBITaxon:55784"", ""NCBI:55784"", ""https://tree.opentreeoflife.org/opentree/ottol@70804"", ""GBIF:2283711"")","RO:0002470","eats","GBIF:2","Archaea",NA,"gratin:nematrait","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","RO:0002470","eats","NCBI:2","Bacteria",NA,"gratin:hedde_misc1","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","RO:0002470","eats","NCBI:2157","Archaea",NA,"gratin:hedde_misc1","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","RO:0002470","eats","GBIF:3","Bacteria",NA,"gratin:nematrait","genus","nematodes"
"Rhabdolaimus",NA,"Rhabdolaimus","c(""NCBITaxon:452275"", ""NCBI:452275"", ""GBIF:2283127"", ""https://tree.opentreeoflife.org/opentree/ottol@893537"")","RO:0002470","eats","GBIF:2","Archaea",NA,"gratin:nematrait","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","RO:0002470","eats","NCBI:2","Bacteria",NA,"gratin:hedde_misc1","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","RO:0002470","eats","NCBI:2157","Archaea",NA,"gratin:hedde_misc1","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","RO:0002470","eats","GBIF:3","Bacteria",NA,"gratin:nematrait","genus","nematodes"
"Prismatolaimus",NA,"Prismatolaimus","c(""NCBITaxon:70238"", ""NCBI:70238"", ""https://tree.opentreeoflife.org/opentree/ottol@455831"", ""GBIF:2279885"")","RO:0002470","eats","GBIF:2","Archaea",NA,"gratin:nematrait","genus","nematodes"
"Aphelenchus",NA,"Aphelenchus","c(""NCBITaxon:70225"", ""NCBI:70225"", ""GBIF:2284394"", ""https://tree.opentreeoflife.org/opentree/ottol@966923"")","RO:0002470","eats","NCBI:4751","Fungi",NA,"gratin:hedde_misc1","genus","nematodes"
"Aphelenchus",NA,"Aphelenchus","c(""NCBITaxon:70225"", ""NCBI:70225"", ""GBIF:2284394"", ""https://tree.opentreeoflife.org/opentree/ottol@966923"")","RO:0002470","eats","GBIF:5","Fungi",NA,"gratin:nematrait","genus","nematodes"
"Aphelenchoides",NA,"Aphelenchoides","c(""NCBITaxon:90723"", ""NCBI:90723"", ""https://tree.opentreeoflife.org/opentree/ottol@631059"", ""GBIF:2284354"")","RO:0002470","eats","NCBI:4751","Fungi",NA,"gratin:hedde_misc1","genus","nematodes"
"Aphelenchoides",NA,"Aphelenchoides","c(""NCBITaxon:90723"", ""NCBI:90723"", ""https://tree.opentreeoflife.org/opentree/ottol@631059"", ""GBIF:2284354"")","RO:0002470","eats","GBIF:5","Fungi",NA,"gratin:nematrait","genus","nematodes"
"Diphtherophora",NA,"Diphtherophora","c(""NCBITaxon:211190"", ""NCBI:211190"", ""GBIF:2282793"", ""https://tree.opentreeoflife.org/opentree/ottol@1074605"")","RO:0002470","eats","GBIF:5","Fungi",NA,"gratin:nematrait","genus","nematodes"
"Mononchus",NA,"Mononchus","c(""NCBITaxon:211392"", ""NCBI:211392"", ""https://tree.opentreeoflife.org/opentree/ottol@79656"", ""GBIF:2282524"")","RO:0002470","eats","GBIF:4","Chromista",NA,"gratin:nematrait","genus","nematodes"
"Mononchus",NA,"Mononchus","c(""NCBITaxon:211392"", ""NCBI:211392"", ""https://tree.opentreeoflife.org/opentree/ottol@79656"", ""GBIF:2282524"")","RO:0002470","eats","GBIF:7","Protozoa",NA,"gratin:nematrait","genus","nematodes"
"Mononchus",NA,"Mononchus","c(""NCBITaxon:211392"", ""NCBI:211392"", ""https://tree.opentreeoflife.org/opentree/ottol@79656"", ""GBIF:2282524"")","RO:0002470","eats","GBIF:5967481","Nematoda",NA,"gratin:nematrait","genus","nematodes"
