"queryName","queryId","matchName","matchId","guildId","guildName","reference","graph","level","community"
"Proleptomonas faecicola","NA","Proleptomonas faecicola","c(""NCBITaxon:149084"", ""NCBI:149084"", ""GBIF:8069294"", ""https://tree.opentreeoflife.org/opentree/ottol@150945"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","protists"
"Proleptomonas faecicola","NA","Proleptomonas faecicola","c(""NCBITaxon:149084"", ""NCBI:149084"", ""GBIF:8069294"", ""https://tree.opentreeoflife.org/opentree/ottol@150945"")","SFWO:0000512","microphytophage","NA","onto:implicit","species","protists"
"Proleptomonas faecicola","NA","Proleptomonas faecicola","c(""NCBITaxon:149084"", ""NCBI:149084"", ""GBIF:8069294"", ""https://tree.opentreeoflife.org/opentree/ottol@150945"")","SFWO:0000062","microorganism","NA","onto:implicit","species","protists"
"Proleptomonas faecicola","NA","Proleptomonas faecicola","c(""NCBITaxon:149084"", ""NCBI:149084"", ""GBIF:8069294"", ""https://tree.opentreeoflife.org/opentree/ottol@150945"")","ECOCORE:00000098","bacterivore","NA","gratin:fioredonno_cercozoa","species","protists"
"Proleptomonas faecicola","NA","Proleptomonas faecicola","c(""NCBITaxon:149084"", ""NCBI:149084"", ""GBIF:8069294"", ""https://tree.opentreeoflife.org/opentree/ottol@150945"")","SFWO:0000064","protist","NA","onto:implicit","species","protists"
"Proleptomonas faecicola","NA","Proleptomonas faecicola","c(""NCBITaxon:149084"", ""NCBI:149084"", ""GBIF:8069294"", ""https://tree.opentreeoflife.org/opentree/ottol@150945"")","SFWO:0000061","microbivore","NA","onto:implicit","species","protists"
"Proleptomonas faecicola","NA","Proleptomonas faecicola","c(""NCBITaxon:149084"", ""NCBI:149084"", ""GBIF:8069294"", ""https://tree.opentreeoflife.org/opentree/ottol@150945"")","SFWO:0000599","heterotrophic protist","NA","onto:implicit","species","protists"
"Cercomonas parincurva","NA","Cercomonas parincurva","c(""NCBITaxon:686733"", ""NCBI:686733"", ""https://tree.opentreeoflife.org/opentree/ottol@823105"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","protists"
"Cercomonas parincurva","NA","Cercomonas parincurva","c(""NCBITaxon:686733"", ""NCBI:686733"", ""https://tree.opentreeoflife.org/opentree/ottol@823105"")","SFWO:0000062","microorganism","NA","onto:implicit","species","protists"
"Cercomonas parincurva","NA","Cercomonas parincurva","c(""NCBITaxon:686733"", ""NCBI:686733"", ""https://tree.opentreeoflife.org/opentree/ottol@823105"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","protists"
"Cercomonas parincurva","NA","Cercomonas parincurva","c(""NCBITaxon:686733"", ""NCBI:686733"", ""https://tree.opentreeoflife.org/opentree/ottol@823105"")","ECOCORE:00000089","predator","NA","onto:implicit","species","protists"
"Cercomonas parincurva","NA","Cercomonas parincurva","c(""NCBITaxon:686733"", ""NCBI:686733"", ""https://tree.opentreeoflife.org/opentree/ottol@823105"")","SFWO:0000064","protist","NA","onto:implicit","species","protists"
"Cercomonas parincurva","NA","Cercomonas parincurva","c(""NCBITaxon:686733"", ""NCBI:686733"", ""https://tree.opentreeoflife.org/opentree/ottol@823105"")","SFWO:0000063","omnivore","NA","gratin:fioredonno_cercozoa","species","protists"
"Cercomonas parincurva","NA","Cercomonas parincurva","c(""NCBITaxon:686733"", ""NCBI:686733"", ""https://tree.opentreeoflife.org/opentree/ottol@823105"")","SFWO:0000599","heterotrophic protist","NA","onto:implicit","species","protists"
"Cercomonas plasmodialis","NA","Cercomonas plasmodialis","c(""NCBITaxon:188953"", ""NCBI:188953"", ""https://tree.opentreeoflife.org/opentree/ottol@644461"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","protists"
"Cercomonas plasmodialis","NA","Cercomonas plasmodialis","c(""NCBITaxon:188953"", ""NCBI:188953"", ""https://tree.opentreeoflife.org/opentree/ottol@644461"")","SFWO:0000062","microorganism","NA","onto:implicit","species","protists"
"Cercomonas plasmodialis","NA","Cercomonas plasmodialis","c(""NCBITaxon:188953"", ""NCBI:188953"", ""https://tree.opentreeoflife.org/opentree/ottol@644461"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","protists"
"Cercomonas plasmodialis","NA","Cercomonas plasmodialis","c(""NCBITaxon:188953"", ""NCBI:188953"", ""https://tree.opentreeoflife.org/opentree/ottol@644461"")","ECOCORE:00000089","predator","NA","onto:implicit","species","protists"
"Cercomonas plasmodialis","NA","Cercomonas plasmodialis","c(""NCBITaxon:188953"", ""NCBI:188953"", ""https://tree.opentreeoflife.org/opentree/ottol@644461"")","SFWO:0000064","protist","NA","onto:implicit","species","protists"
"Cercomonas plasmodialis","NA","Cercomonas plasmodialis","c(""NCBITaxon:188953"", ""NCBI:188953"", ""https://tree.opentreeoflife.org/opentree/ottol@644461"")","SFWO:0000063","omnivore","NA","gratin:fioredonno_cercozoa","species","protists"
"Cercomonas plasmodialis","NA","Cercomonas plasmodialis","c(""NCBITaxon:188953"", ""NCBI:188953"", ""https://tree.opentreeoflife.org/opentree/ottol@644461"")","SFWO:0000599","heterotrophic protist","NA","onto:implicit","species","protists"
"Spongomonas minima","NA","Spongomonas minima","c(""NCBITaxon:188973"", ""NCBI:188973"", ""https://tree.opentreeoflife.org/opentree/ottol@696942"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","protists"
"Spongomonas minima","NA","Spongomonas minima","c(""NCBITaxon:188973"", ""NCBI:188973"", ""https://tree.opentreeoflife.org/opentree/ottol@696942"")","SFWO:0000512","microphytophage","NA","onto:implicit","species","protists"
"Spongomonas minima","NA","Spongomonas minima","c(""NCBITaxon:188973"", ""NCBI:188973"", ""https://tree.opentreeoflife.org/opentree/ottol@696942"")","SFWO:0000062","microorganism","NA","onto:implicit","species","protists"
"Spongomonas minima","NA","Spongomonas minima","c(""NCBITaxon:188973"", ""NCBI:188973"", ""https://tree.opentreeoflife.org/opentree/ottol@696942"")","ECOCORE:00000098","bacterivore","NA","gratin:fioredonno_cercozoa","species","protists"
"Spongomonas minima","NA","Spongomonas minima","c(""NCBITaxon:188973"", ""NCBI:188973"", ""https://tree.opentreeoflife.org/opentree/ottol@696942"")","SFWO:0000064","protist","NA","onto:implicit","species","protists"
