"","queryName","queryId","matchName","matchId","guildId","guildName","reference","graph"
"1","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","SFWO:0000062","microorganism","NA","onto:implicit"
"2","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000010","heterotroph","NA","gratin:bactotraits"
"3","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000023","autotroph","NA","gratin:bactotraits"
"4","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000121","photoorganoautotroph","NA","onto:implicit"
"5","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000130","photoautotroph","NA","onto:implicit"
"6","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","SFWO:0000001","organotroph","NA","gratin:bactotraits"
"7","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000122","photolithoautotroph","NA","onto:implicit"
"8","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","SFWO:0000002","lithotroph","NA","gratin:bactotraits"
"9","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000123","chemoorganoautotroph","NA","onto:implicit"
"10","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000129","chemoautotroph","NA","onto:implicit"
"11","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000124","chemolithoautotroph","NA","onto:implicit"
"12","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000125","photoorganoheterotroph","NA","onto:implicit"
"13","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000131","photoheterotroph","NA","onto:implicit"
"14","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000126","photolithoheterotroph","NA","onto:implicit"
"15","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000127","chemoorganoheterotroph","NA","onto:implicit"
"16","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000132","chemoheterotroph","NA","onto:implicit"
"17","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","ECOCORE:00000128","chemolithoheterotroph","NA","onto:implicit"
"18","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","SFWO:0000000","chemotroph","NA","gratin:bactotraits"
"19","Sphingomonas","NA","Sphingomonas piscinae","c(""NCBITaxon:1664572"", ""NCBI:1664572"", ""https://tree.opentreeoflife.org/opentree/ottol@5635131"", ""GBIF:9330746"")","SFWO:0000007","phototroph","NA","gratin:bactotraits"
"20","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"21","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","SFWO:0000062","microorganism","NA","onto:implicit"
"22","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:bacdive"
