"","queryName","queryId","matchName","matchId","trophicGroupId","trophicGroupName","reference","graph"
"1","Omophlus","NA","Omophlus","c(""NCBITaxon:432903"", ""NCBI:432903"", ""https://tree.opentreeoflife.org/opentree/ottol@372393"", ""GBIF:4454944"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"2","Dasytes","NA","Dasytes virens","c(""NCBITaxon:1587230"", ""NCBI:1587230"", ""GBIF:4449929"", ""https://tree.opentreeoflife.org/opentree/ottol@3356427"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"3","Dasytes","NA","Dasytes aeratus","c(""NCBITaxon:433036"", ""NCBI:433036"", ""GBIF:4449953"", ""https://tree.opentreeoflife.org/opentree/ottol@387619"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"4","Dasytes","NA","Dasytes plumbeus","c(""NCBITaxon:433038"", ""NCBI:433038"", ""GBIF:4449948"", ""https://tree.opentreeoflife.org/opentree/ottol@387624"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"5","Aphis","NA","Aphis","c(""NCBITaxon:80764"", ""NCBI:80764"", ""GBIF:2049562"", ""https://tree.opentreeoflife.org/opentree/ottol@1026470"")","SFWO:0000347","Hemiptera.all","NA","onto:implicit"
"6","Aphis","NA","Aphis","c(""NCBITaxon:80764"", ""NCBI:80764"", ""GBIF:2049562"", ""https://tree.opentreeoflife.org/opentree/ottol@1026470"")","SFWO:0000349","Hemiptera.Sternorrhyncha","NA","onto:implicit"
"7","Aphis","NA","Aphis <genus>","NCBITaxon:80764","SFWO:0000347","Hemiptera.all","NA","onto:implicit"
"8","Aphis","NA","Aphis <genus>","NCBITaxon:80764","SFWO:0000349","Hemiptera.Sternorrhyncha","NA","onto:implicit"
"9","Aphis","NA","Aphis rumicis","c(""NCBITaxon:345560"", ""NCBI:345560"", ""https://tree.opentreeoflife.org/opentree/ottol@902674"", ""GBIF:2072183"")","SFWO:0000347","Hemiptera.all","NA","onto:implicit"
"10","Aphis","NA","Aphis rumicis","c(""NCBITaxon:345560"", ""NCBI:345560"", ""https://tree.opentreeoflife.org/opentree/ottol@902674"", ""GBIF:2072183"")","SFWO:0000349","Hemiptera.Sternorrhyncha","NA","onto:implicit"
"11","Aphis","NA","Aphis rubifolii","c(""NCBITaxon:527583"", ""NCBI:527583"", ""GBIF:2072072"")","SFWO:0000347","Hemiptera.all","NA","onto:implicit"
"12","Aphis","NA","Aphis rubifolii","c(""NCBITaxon:527583"", ""NCBI:527583"", ""GBIF:2072072"")","SFWO:0000349","Hemiptera.Sternorrhyncha","NA","onto:implicit"
"13","Anaspis","NA","Anaspis","c(""NCBITaxon:295994"", ""NCBI:295994"", ""https://tree.opentreeoflife.org/opentree/ottol@621624"", ""GBIF:1046694"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"14","Anaspis","NA","Anaspis flava","c(""NCBITaxon:1553069"", ""NCBI:1553069"", ""https://tree.opentreeoflife.org/opentree/ottol@3357086"", ""GBIF:5750812"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"15","Anaspis","NA","Anaspis flava","c(""NCBITaxon:1553069"", ""NCBI:1553069"", ""https://tree.opentreeoflife.org/opentree/ottol@3357086"", ""GBIF:5750812"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"16","Anaspis","NA","Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"", ""GBIF:5750877"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"17","Anaspis","NA","Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"", ""GBIF:5750877"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"18","Anaspis","NA","Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"", ""GBIF:5750877"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"19","Anaspis","NA","Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"", ""GBIF:5750811"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"20","Anaspis","NA","Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"", ""GBIF:5750811"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"21","Anaspis","NA","Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"", ""GBIF:5750811"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"22","Ectopsocus","NA","Ectopsocus","c(""NCBITaxon:239222"", ""NCBI:239222"", ""https://tree.opentreeoflife.org/opentree/ottol@899850"", ""GBIF:1031392"")","SFWO:0000352","Psocoptera.all","NA","onto:implicit"
"23","Plagiolepis","NA","Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"", ""GBIF:1320777"")","SFWO:0000353","Formicidae.all","NA","onto:implicit"
"24","Plagiolepis","NA","Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"", ""GBIF:1320777"")","SFWO:0000407","Hymenoptera.all","NA","onto:implicit"
