"","queryName","queryId","matchName","matchId","dietId","dietName","reference","graph"
"1","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","SFWO:0000489","symbiotrophic","NA","onto:implicit"
"2","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","SFWO:0000520","parasitic","NA","onto:implicit"
"3","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","SFWO:0000521","plant-parasitic","NA","onto:implicit"
"4","Polymyxa","NA","Polymyxa","c(""NCBITaxon:41455"", ""NCBI:41455"", ""GBIF:3204287"", ""https://tree.opentreeoflife.org/opentree/ottol@459896"")","SFWO:0000489","symbiotrophic","NA","onto:implicit"
"5","Polymyxa","NA","Polymyxa","c(""NCBITaxon:41455"", ""NCBI:41455"", ""GBIF:3204287"", ""https://tree.opentreeoflife.org/opentree/ottol@459896"")","SFWO:0000520","parasitic","NA","onto:implicit"
"6","Polymyxa","NA","Polymyxa","c(""NCBITaxon:41455"", ""NCBI:41455"", ""GBIF:3204287"", ""https://tree.opentreeoflife.org/opentree/ottol@459896"")","SFWO:0000521","plant-parasitic","NA","onto:implicit"
"7","Polymyxa","NA","Polymyxa betae","c(""NCBITaxon:41456"", ""NCBI:41456"", ""https://tree.opentreeoflife.org/opentree/ottol@459900"", ""GBIF:3204288"")","SFWO:0000489","symbiotrophic","NA","onto:implicit"
"8","Polymyxa","NA","Polymyxa betae","c(""NCBITaxon:41456"", ""NCBI:41456"", ""https://tree.opentreeoflife.org/opentree/ottol@459900"", ""GBIF:3204288"")","SFWO:0000520","parasitic","NA","onto:implicit"
"9","Polymyxa","NA","Polymyxa betae","c(""NCBITaxon:41456"", ""NCBI:41456"", ""https://tree.opentreeoflife.org/opentree/ottol@459900"", ""GBIF:3204288"")","SFWO:0000521","plant-parasitic","NA","onto:implicit"
"10","Rhogostoma","NA","Rhogostoma","c(""NCBITaxon:981201"", ""NCBI:981201"", ""https://tree.opentreeoflife.org/opentree/ottol@530173"")","SFWO:0000477","carnivorous","NA","onto:implicit"
"11","Rhogostoma","NA","Rhogostoma","c(""NCBITaxon:981201"", ""NCBI:981201"", ""https://tree.opentreeoflife.org/opentree/ottol@530173"")","SFWO:0000491","predaceous","NA","onto:implicit"
"12","Rhogostoma","NA","Rhogostoma","c(""NCBITaxon:981201"", ""NCBI:981201"", ""https://tree.opentreeoflife.org/opentree/ottol@530173"")","SFWO:0000486","omnivorous","NA","onto:implicit"
"13","Rhogostoma","NA","Rhogostoma epiphylla","c(""NCBITaxon:2018479"", ""NCBI:2018479"", ""https://tree.opentreeoflife.org/opentree/ottol@7529859"")","SFWO:0000477","carnivorous","NA","onto:implicit"
"14","Rhogostoma","NA","Rhogostoma epiphylla","c(""NCBITaxon:2018479"", ""NCBI:2018479"", ""https://tree.opentreeoflife.org/opentree/ottol@7529859"")","SFWO:0000491","predaceous","NA","onto:implicit"
"15","Rhogostoma","NA","Rhogostoma epiphylla","c(""NCBITaxon:2018479"", ""NCBI:2018479"", ""https://tree.opentreeoflife.org/opentree/ottol@7529859"")","SFWO:0000486","omnivorous","NA","onto:implicit"
"16","Rhogostoma","NA","Rhogostoma schuessleri","c(""NCBITaxon:981202"", ""NCBI:981202"", ""https://tree.opentreeoflife.org/opentree/ottol@530174"")","SFWO:0000477","carnivorous","NA","onto:implicit"
"17","Rhogostoma","NA","Rhogostoma schuessleri","c(""NCBITaxon:981202"", ""NCBI:981202"", ""https://tree.opentreeoflife.org/opentree/ottol@530174"")","SFWO:0000491","predaceous","NA","onto:implicit"
"18","Rhogostoma","NA","Rhogostoma schuessleri","c(""NCBITaxon:981202"", ""NCBI:981202"", ""https://tree.opentreeoflife.org/opentree/ottol@530174"")","SFWO:0000486","omnivorous","NA","onto:implicit"
"19","Kraken","NA","Kraken","c(""NCBITaxon:1862315"", ""NCBI:1862315"", ""https://tree.opentreeoflife.org/opentree/ottol@5986974"")","SFWO:0000476","bacterivorous","NA","onto:implicit"
"20","Kraken","NA","Kraken","c(""NCBITaxon:1862315"", ""NCBI:1862315"", ""https://tree.opentreeoflife.org/opentree/ottol@5986974"")","SFWO:0000485","microbivorous","NA","onto:implicit"
"21","Kraken","NA","Kraken","c(""NCBITaxon:1862315"", ""NCBI:1862315"", ""https://tree.opentreeoflife.org/opentree/ottol@5986974"")","SFWO:0000513","microphytophagous","NA","onto:implicit"
"22","Heteromita","NA","Heteromita","c(""NCBITaxon:45106"", ""NCBI:45106"", ""https://tree.opentreeoflife.org/opentree/ottol@554901"")","SFWO:0000476","bacterivorous","NA","onto:implicit"
"23","Heteromita","NA","Heteromita","c(""NCBITaxon:45106"", ""NCBI:45106"", ""https://tree.opentreeoflife.org/opentree/ottol@554901"")","SFWO:0000485","microbivorous","NA","onto:implicit"
"24","Heteromita","NA","Heteromita","c(""NCBITaxon:45106"", ""NCBI:45106"", ""https://tree.opentreeoflife.org/opentree/ottol@554901"")","SFWO:0000513","microphytophagous","NA","onto:implicit"
"25","Heteromita","NA","Heteromita","c(""NCBITaxon:45106"", ""NCBI:45106"", ""https://tree.opentreeoflife.org/opentree/ottol@554901"")","SFWO:0000477","carnivorous","NA","onto:implicit"
"26","Heteromita","NA","Heteromita","c(""NCBITaxon:45106"", ""NCBI:45106"", ""https://tree.opentreeoflife.org/opentree/ottol@554901"")","SFWO:0000491","predaceous","NA","onto:implicit"
"27","Heteromita","NA","Heteromita","c(""NCBITaxon:45106"", ""NCBI:45106"", ""https://tree.opentreeoflife.org/opentree/ottol@554901"")","SFWO:0000486","omnivorous","NA","onto:implicit"
"28","Cercomonas","NA","Cercomonas longicauda","c(""NCBITaxon:100933"", ""NCBI:100933"", ""https://tree.opentreeoflife.org/opentree/ottol@513901"", ""GBIF:3210224"")","SFWO:0000477","carnivorous","NA","onto:implicit"
"29","Cercomonas","NA","Cercomonas longicauda","c(""NCBITaxon:100933"", ""NCBI:100933"", ""https://tree.opentreeoflife.org/opentree/ottol@513901"", ""GBIF:3210224"")","SFWO:0000491","predaceous","NA","onto:implicit"
"30","Cercomonas","NA","Cercomonas longicauda","c(""NCBITaxon:100933"", ""NCBI:100933"", ""https://tree.opentreeoflife.org/opentree/ottol@513901"", ""GBIF:3210224"")","SFWO:0000486","omnivorous","NA","onto:implicit"
"31","Cercomonas","NA","Cercomonas","c(""NCBITaxon:45109"", ""NCBI:45109"", ""https://tree.opentreeoflife.org/opentree/ottol@554897"")","SFWO:0000476","bacterivorous","NA","onto:implicit"
"32","Cercomonas","NA","Cercomonas","c(""NCBITaxon:45109"", ""NCBI:45109"", ""https://tree.opentreeoflife.org/opentree/ottol@554897"")","SFWO:0000485","microbivorous","NA","onto:implicit"
"33","Cercomonas","NA","Cercomonas","c(""NCBITaxon:45109"", ""NCBI:45109"", ""https://tree.opentreeoflife.org/opentree/ottol@554897"")","SFWO:0000513","microphytophagous","NA","onto:implicit"
"34","Cercomonas","NA","Cercomonas","c(""NCBITaxon:45109"", ""NCBI:45109"", ""https://tree.opentreeoflife.org/opentree/ottol@554897"")","SFWO:0000477","carnivorous","NA","onto:implicit"
