"","queryName","queryId","matchName","matchId","guildId","guildName","reference","graph"
"1","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"2","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","ECOCORE:00000045","symbiotroph","NA","onto:implicit"
"3","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","SFWO:0000062","microorganism","NA","onto:implicit"
"4","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","ECOCORE:00000146","parasite","NA","onto:implicit"
"5","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","SFWO:0000064","protist","NA","onto:implicit"
"6","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","SFWO:0000024","plant parasite","NA","gratin:fioredonno_cercozoa"
"7","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","SFWO:0000024","plant parasite","NA","onto:implicit"
"8","Polymyxa","NA","Polymyxa graminis","c(""NCBITaxon:70182"", ""GBIF:3204289"", ""https://tree.opentreeoflife.org/opentree/ottol@41882"", ""NCBI:70182"")","SFWO:0000024","plant parasite","NA","gratin:giachello_protista"
"9","Polymyxa","NA","Polymyxa","c(""NCBITaxon:41455"", ""NCBI:41455"", ""GBIF:3204287"", ""https://tree.opentreeoflife.org/opentree/ottol@459896"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"10","Polymyxa","NA","Polymyxa","c(""NCBITaxon:41455"", ""NCBI:41455"", ""GBIF:3204287"", ""https://tree.opentreeoflife.org/opentree/ottol@459896"")","ECOCORE:00000045","symbiotroph","NA","onto:implicit"
"11","Polymyxa","NA","Polymyxa","c(""NCBITaxon:41455"", ""NCBI:41455"", ""GBIF:3204287"", ""https://tree.opentreeoflife.org/opentree/ottol@459896"")","SFWO:0000062","microorganism","NA","onto:implicit"
"12","Polymyxa","NA","Polymyxa","c(""NCBITaxon:41455"", ""NCBI:41455"", ""GBIF:3204287"", ""https://tree.opentreeoflife.org/opentree/ottol@459896"")","ECOCORE:00000146","parasite","NA","onto:implicit"
"13","Polymyxa","NA","Polymyxa","c(""NCBITaxon:41455"", ""NCBI:41455"", ""GBIF:3204287"", ""https://tree.opentreeoflife.org/opentree/ottol@459896"")","SFWO:0000064","protist","NA","onto:implicit"
"14","Polymyxa","NA","Polymyxa","c(""NCBITaxon:41455"", ""NCBI:41455"", ""GBIF:3204287"", ""https://tree.opentreeoflife.org/opentree/ottol@459896"")","SFWO:0000024","plant parasite","NA","gratin:adl_protista"
"15","Polymyxa","NA","Polymyxa","c(""NCBITaxon:41455"", ""NCBI:41455"", ""GBIF:3204287"", ""https://tree.opentreeoflife.org/opentree/ottol@459896"")","SFWO:0000024","plant parasite","NA","gratin:giachello_protista"
"16","Polymyxa","NA","Polymyxa betae","c(""NCBITaxon:41456"", ""NCBI:41456"", ""https://tree.opentreeoflife.org/opentree/ottol@459900"", ""GBIF:3204288"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"17","Polymyxa","NA","Polymyxa betae","c(""NCBITaxon:41456"", ""NCBI:41456"", ""https://tree.opentreeoflife.org/opentree/ottol@459900"", ""GBIF:3204288"")","ECOCORE:00000045","symbiotroph","NA","onto:implicit"
"18","Polymyxa","NA","Polymyxa betae","c(""NCBITaxon:41456"", ""NCBI:41456"", ""https://tree.opentreeoflife.org/opentree/ottol@459900"", ""GBIF:3204288"")","SFWO:0000062","microorganism","NA","onto:implicit"
"19","Polymyxa","NA","Polymyxa betae","c(""NCBITaxon:41456"", ""NCBI:41456"", ""https://tree.opentreeoflife.org/opentree/ottol@459900"", ""GBIF:3204288"")","ECOCORE:00000146","parasite","NA","onto:implicit"
"20","Polymyxa","NA","Polymyxa betae","c(""NCBITaxon:41456"", ""NCBI:41456"", ""https://tree.opentreeoflife.org/opentree/ottol@459900"", ""GBIF:3204288"")","SFWO:0000064","protist","NA","onto:implicit"
"21","Polymyxa","NA","Polymyxa betae","c(""NCBITaxon:41456"", ""NCBI:41456"", ""https://tree.opentreeoflife.org/opentree/ottol@459900"", ""GBIF:3204288"")","SFWO:0000024","plant parasite","NA","gratin:giachello_protista"
"22","Rhogostoma","NA","Rhogostoma","c(""NCBITaxon:981201"", ""NCBI:981201"", ""https://tree.opentreeoflife.org/opentree/ottol@530173"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"23","Rhogostoma","NA","Rhogostoma","c(""NCBITaxon:981201"", ""NCBI:981201"", ""https://tree.opentreeoflife.org/opentree/ottol@530173"")","SFWO:0000062","microorganism","NA","onto:implicit"
"24","Rhogostoma","NA","Rhogostoma","c(""NCBITaxon:981201"", ""NCBI:981201"", ""https://tree.opentreeoflife.org/opentree/ottol@530173"")","ECOCORE:00000088","carnivore","NA","onto:implicit"
"25","Rhogostoma","NA","Rhogostoma","c(""NCBITaxon:981201"", ""NCBI:981201"", ""https://tree.opentreeoflife.org/opentree/ottol@530173"")","ECOCORE:00000089","predator","NA","onto:implicit"
"26","Rhogostoma","NA","Rhogostoma","c(""NCBITaxon:981201"", ""NCBI:981201"", ""https://tree.opentreeoflife.org/opentree/ottol@530173"")","SFWO:0000064","protist","NA","onto:implicit"
"27","Rhogostoma","NA","Rhogostoma","c(""NCBITaxon:981201"", ""NCBI:981201"", ""https://tree.opentreeoflife.org/opentree/ottol@530173"")","SFWO:0000063","omnivore","NA","gratin:giachello_protista"
