"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Sphingomonas::Cluster_2","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","unassigned","bacteria"
"Adhaeribacter::Cluster_60","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter","unassigned","bacteria"
"Sphingomonas::Cluster_61","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","unassigned","bacteria"
"Micrococcaceae::Cluster_3","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","unassigned","unassigned","bacteria"
"bacteriap25::Cluster_122","Bacteria","Myxococcota","bacteriap25","unassigned","unassigned","unassigned","unassigned","bacteria"
"Angustibacter::Cluster_62","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Angustibacter","unassigned","bacteria"
"Bacillus::Cluster_4","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unassigned","bacteria"
"Bacillus::Cluster_65","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unassigned","bacteria"
"Microvirga::Cluster_6","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","unassigned","bacteria"
"Bacillus::Cluster_123","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unassigned","bacteria"
"Xanthobacteraceae::Cluster_5","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","unassigned","unassigned","bacteria"
"RB41::Cluster_7","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","unassigned","bacteria"
"Gemmatimonadaceae::Cluster_73","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","unassigned","unassigned","bacteria"
"Acidibacter::Cluster_34","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","unassigned","Acidibacter","unassigned","bacteria"
"Sphingomonas::Cluster_119","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","unassigned","bacteria"
"Skermanella::Cluster_28","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","unassigned","bacteria"
"Bryobacter::Cluster_87","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","unassigned","bacteria"
"Microvirga::Cluster_9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","unassigned","bacteria"
"Candidatus Udaeobacter::Cluster_67","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","unassigned","bacteria"
"Cellvibrio::Cluster_35","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","unassigned","bacteria"
"Phenylobacterium::Cluster_100","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","unassigned","bacteria"
"Sphingomonas::Cluster_95","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","unassigned","bacteria"
"Luteimonas::Cluster_88","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas","unassigned","bacteria"
"Xanthobacteraceae::Cluster_40","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","unassigned","unassigned","bacteria"
"Blastocatellaceae::Cluster_24","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","unassigned","unassigned","bacteria"
"Skermanella::Cluster_17","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","unassigned","bacteria"
"Sphingomonas::Cluster_15","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","unassigned","bacteria"
"Brevundimonas::Cluster_101","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","unassigned","bacteria"
"Skermanella::Cluster_11","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","unassigned","bacteria"
"Lysobacter::Cluster_94","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","unassigned","bacteria"
"Candidatus Udaeobacter::Cluster_76","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","unassigned","bacteria"
"Microvirga::Cluster_42","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","unassigned","bacteria"
"Aliihoeflea::Cluster_37","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aliihoeflea","unassigned","bacteria"
"Sandaracinaceae::Cluster_31","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","unassigned","unassigned","bacteria"
"Bacilli::Cluster_23","Bacteria","Firmicutes","Bacilli","unassigned","unassigned","unassigned","unassigned","bacteria"
"Bryobacter::Cluster_19","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","unassigned","bacteria"
"Bacillus::Cluster_12","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unassigned","bacteria"
"Mycobacterium::Cluster_90","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","unassigned","bacteria"
"Rhizobacter::Cluster_77","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","unassigned","bacteria"
"Actinoplanes::Cluster_146","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","unassigned","bacteria"
"Flavisolibacter::Cluster_45","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","unassigned","bacteria"
"Tychonema CCAP 1459-11B::Cluster_38","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Tychonema CCAP 1459-11B","unassigned","bacteria"
"Massilia::Cluster_32","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unassigned","bacteria"
"Blastocatellaceae::Cluster_26","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","unassigned","unassigned","bacteria"
"Nitrospira::Cluster_20","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","unassigned","bacteria"
"Gaiella::Cluster_103","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","unassigned","bacteria"
"Ellin517::Cluster_85","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin517","unassigned","bacteria"
"Sphingomonas::Cluster_46","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","unassigned","bacteria"
"Chitinophagaceae::Cluster_129","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","unassigned","unassigned","bacteria"
"Sphingomonas::Cluster_39","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","unassigned","bacteria"
"Bryobacter::Cluster_21","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","unassigned","bacteria"
"RB41::Cluster_104","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","unassigned","bacteria"
"Streptomyces::Cluster_14","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","unassigned","bacteria"
"Bryobacter::Cluster_98","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","unassigned","bacteria"
"Flavitalea::Cluster_86","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","unassigned","bacteria"
"Steroidobacteraceae::Cluster_47","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","unassigned","unassigned","bacteria"
"Skermanella::Cluster_130","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","unassigned","bacteria"
"RB41::Cluster_150","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","unassigned","bacteria"
"Aridibacter::Cluster_50","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Aridibacter","unassigned","bacteria"
"Vicinamibacteraceae::Cluster_108","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","unassigned","unassigned","bacteria"
"Candidatus Udaeobacter::Cluster_153","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","unassigned","bacteria"
"Archangium gephyra::Cluster_51","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Archangium","Archangium gephyra","bacteria"
"Sphingomonadaceae::Cluster_53","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unassigned","unassigned","bacteria"
"Nitrospira::Cluster_52","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","unassigned","bacteria"
"Blastocatellaceae::Cluster_156","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","unassigned","unassigned","bacteria"
"Pseudomonas::Cluster_55","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","unassigned","bacteria"
"Gaiella::Cluster_113","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella","unassigned","bacteria"
"Sphingomonas::Cluster_114","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","unassigned","bacteria"
"Blastococcus::Cluster_58","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","unassigned","bacteria"
"Chelatococcus asaccharovorans::Cluster_59","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","Chelatococcus asaccharovorans","bacteria"
"Cellulomonas::Cluster_168","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","unassigned","bacteria"
"Steroidobacter::Cluster_172","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","unassigned","bacteria"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium::Cluster_173","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","unassigned","bacteria"
"Rubrobacter::Cluster_175","Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","unassigned","bacteria"
"Chitinophagaceae::Cluster_233","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","unassigned","unassigned","bacteria"
"Entotheonellaceae::Cluster_1025","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae","unassigned","unassigned","bacteria"
"Microscillaceae::Cluster_234","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","unassigned","unassigned","bacteria"
"Bryobacter::Cluster_289","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","unassigned","bacteria"
"Solirubrobacterales::Cluster_179","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","unassigned","unassigned","unassigned","bacteria"
"Ellin6055::Cluster_235","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055","unassigned","bacteria"
"Microscillaceae::Cluster_240","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","unassigned","unassigned","bacteria"
"JG30-KF-CM45::Cluster_186","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","unassigned","unassigned","bacteria"
"Actinoplanes italicus::Cluster_322","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes italicus","bacteria"
"Flavisolibacter::Cluster_193","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","unassigned","bacteria"
"Acidibacter::Cluster_250","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","unassigned","Acidibacter","unassigned","bacteria"
