"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Semifissispora natalis::Cluster_56","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Semifissispora","Semifissispora natalis","fungi"
"Nectriaceae::Cluster_38","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","unassigned","unassigned","fungi"
"Tylospora::Cluster_2","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Tylospora","unassigned","fungi"
"Neodendryphiella mali::Cluster_57","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Neodendryphiella","Neodendryphiella mali","fungi"
"Pleosporales::Cluster_21","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unassigned","unassigned","unassigned","fungi"
"Alternaria iridiaustralis::Cluster_3","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria iridiaustralis","fungi"
"Ascomycota::Cluster_75","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Acremonium furcatum::Cluster_58","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales fam_Incertae_sedis","Acremonium","Acremonium furcatum","fungi"
"Alternaria subcucurbitae::Cluster_22","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria subcucurbitae","fungi"
"Nectriaceae::Cluster_4","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","unassigned","unassigned","fungi"
"Pyronemataceae::Cluster_76","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","unassigned","unassigned","fungi"
"Dichotomophthora::Cluster_23","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Dichotomophthora","unassigned","fungi"
"Colletotrichum gloeosporioides::Cluster_5","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum gloeosporioides","fungi"
"Darksidea epsilon::Cluster_77","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","Darksidea epsilon","fungi"
"Fungi::Cluster_24","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Pleosporales::Cluster_6","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unassigned","unassigned","unassigned","fungi"
"Humicola::Cluster_7","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","unassigned","fungi"
"Coprinellus curtus::Cluster_101","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus curtus","fungi"
"Colletotrichum spaethianum::Cluster_27","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum spaethianum","fungi"
"Ascobolaceae::Cluster_102","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","unassigned","unassigned","fungi"
"Didymella::Cluster_9","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","unassigned","fungi"
"Didymella::Cluster_81","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","unassigned","fungi"
"Ascobolus::Cluster_46","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unassigned","fungi"
"Fungi::Cluster_103","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Hypocreales::Cluster_47","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unassigned","unassigned","unassigned","fungi"
"Laetisaria arvalis::Cluster_29","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Laetisaria arvalis","fungi"
"Didymellaceae::Cluster_11","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","unassigned","unassigned","fungi"
"Fungi::Cluster_85","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Fungi::Cluster_12","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Xylariales::Cluster_118","Fungi","Ascomycota","Sordariomycetes","Xylariales","unassigned","unassigned","unassigned","fungi"
"Paraphoma chrysanthemicola::Cluster_13","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma chrysanthemicola","fungi"
"Vishniacozyma heimaeyensis::Cluster_87","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma heimaeyensis","fungi"
"Ascomycota::Cluster_50","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Lectera longa::Cluster_32","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Lectera","Lectera longa","fungi"
"Setophoma terrestris::Cluster_15","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","Setophoma terrestris","fungi"
"Sordariales::Cluster_89","Fungi","Ascomycota","Sordariomycetes","Sordariales","unassigned","unassigned","unassigned","fungi"
"Macrophomina phaseolina::Cluster_109","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Macrophomina","Macrophomina phaseolina","fungi"
"Hypocreales::Cluster_54","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unassigned","unassigned","unassigned","fungi"
"Fungi::Cluster_18","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
