"","query","kingdom","phylum","class","order","family","genus","species","community"
"1","M03493:516:000000000-L4LRP:1:1101:16268:1503","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis_piscis","fungi"
"2","M03493:516:000000000-L4LRP:1:1101:16898:1444","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Tylospora","unassigned","fungi"
"3","M03493:516:000000000-L4LRP:1:1101:13380:5039","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_iridiaustralis","fungi"
"4","M03493:516:000000000-L4LRP:1:1101:17268:2152","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","unassigned","unassigned","fungi"
"5","M03493:516:000000000-L4LRP:1:1101:28000:9609","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_gloeosporioides","fungi"
"6","M03493:516:000000000-L4LRP:1:1101:10682:3367","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unassigned","unassigned","unassigned","fungi"
"7","M03493:516:000000000-L4LRP:1:1101:11033:5870","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","unassigned","fungi"
"8","M03493:516:000000000-L4LRP:1:1101:4983:19736","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Robillarda","Robillarda_sessilis","fungi"
"9","M03493:516:000000000-L4LRP:1:1102:10500:20160","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","unassigned","fungi"
"10","M03493:516:000000000-L4LRP:1:1102:12288:6020","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unassigned","unassigned","unassigned","fungi"
"11","M03493:516:000000000-L4LRP:1:1101:20929:6353","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","unassigned","unassigned","fungi"
"12","M03493:516:000000000-L4LRP:1:1103:18045:3065","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"13","M03493:516:000000000-L4LRP:1:1101:14865:4387","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_chrysanthemicola","fungi"
"14","M03493:516:000000000-L4LRP:1:1101:8511:10998","Fungi","Ascomycota","Dothideomycetes","unassigned","unassigned","unassigned","unassigned","fungi"
"15","M03493:516:000000000-L4LRP:1:1104:19209:27190","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","Setophoma_terrestris","fungi"
"16","M03493:516:000000000-L4LRP:1:1101:9791:23138","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Annulohypoxylon","unassigned","fungi"
"17","M03493:516:000000000-L4LRP:1:1101:11779:2202","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unassigned","unassigned","unassigned","fungi"
"18","M03493:516:000000000-L4LRP:1:1101:15313:7310","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"19","M03493:516:000000000-L4LRP:1:1101:18761:5755","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium_eturmiunum","fungi"
"20","M03493:516:000000000-L4LRP:1:1108:5571:19379","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Daldinia","unassigned","fungi"
"21","M03493:516:000000000-L4LRP:1:1101:22723:24041","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unassigned","unassigned","unassigned","fungi"
"22","M03493:516:000000000-L4LRP:1:1101:21272:12791","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_subcucurbitae","fungi"
"23","M03493:516:000000000-L4LRP:1:1101:11358:4656","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Dichotomophthora","unassigned","fungi"
"24","M03493:516:000000000-L4LRP:1:1105:14668:15493","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"25","M03493:516:000000000-L4LRP:1:1111:14106:23233","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","Darksidea_epsilon","fungi"
"26","M03493:516:000000000-L4LRP:1:2112:3201:9336","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unassigned","fungi"
"27","M03493:516:000000000-L4LRP:1:2110:9668:4893","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_spaethianum","fungi"
"28","M03493:516:000000000-L4LRP:1:1102:27221:22326","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Pestalotiopsis","unassigned","fungi"
"29","M03493:516:000000000-L4LRP:1:1101:26347:8567","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Laetisaria_arvalis","fungi"
"30","M03493:516:000000000-L4LRP:1:1101:21053:3237","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Daldinia","unassigned","fungi"
"31","M03493:516:000000000-L4LRP:1:2111:11242:26162","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Spegazzinia","Spegazzinia_tessarthra","fungi"
"32","M03493:516:000000000-L4LRP:1:1108:12435:11790","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Lectera","Lectera_longa","fungi"
"33","M03493:516:000000000-L4LRP:1:1107:8187:11207","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Polyschema","Polyschema_sclerotigenum","fungi"
"34","M03493:516:000000000-L4LRP:1:1101:3725:9421","Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Aureobasidium","Aureobasidium_pullulans","fungi"
