"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Abia nitens","Metazoa","Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia nitens","macrofauna_aerial"
"Acanthoscelides","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides","unassigned","macrofauna_aerial"
"Acrididae","Metazoa","Arthropoda","Insecta","Orthoptera","Acrididae","unassigned","unassigned","macrofauna_aerial"
"Aglaostigma aucupariae","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Aglaostigma","Aglaostigma aucupariae","macrofauna_aerial"
"Agriotes","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","Agriotes","unassigned","macrofauna_aerial"
"Allograpta","Metazoa","Arthropoda","Insecta","Diptera","Syrphidae","Allograpta","unassigned","macrofauna_aerial"
"Altica","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Altica","unassigned","macrofauna_aerial"
"Alticini","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","macrofauna_aerial"
"Alysiinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","unassigned","unassigned","macrofauna_aerial"
"Amara aenea","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Amara","Amara aenea","macrofauna_aerial"
"Ametastegia glabrata","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Ametastegia","Ametastegia glabrata","macrofauna_aerial"
"Anacharitinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Figitidae","unassigned","unassigned","macrofauna_aerial"
"Ancistrocerus","Metazoa","Arthropoda","Insecta","Hymenoptera","Vespidae","Ancistrocerus","unassigned","macrofauna_aerial"
"Andrenidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Andrenidae","unassigned","unassigned","macrofauna_aerial"
"Anogcodes","Metazoa","Arthropoda","Insecta","Coleoptera","Oedemeridae","Anogcodes","unassigned","macrofauna_aerial"
"Anthaxia","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia","unassigned","macrofauna_aerial"
"Anthaxia hungarica","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia","Anthaxia hungarica","macrofauna_aerial"
"Anthaxia manca","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia","Anthaxia manca","macrofauna_aerial"
"Anthrenus","Metazoa","Arthropoda","Insecta","Coleoptera","Dermestidae","Anthrenus","unassigned","macrofauna_aerial"
"Aphanogmus","Metazoa","Arthropoda","Insecta","Hymenoptera","Ceraphronidae","Aphanogmus","unassigned","macrofauna_aerial"
"Aphelinus","Metazoa","Arthropoda","Insecta","Hymenoptera","Aphelinidae","Aphelinus","unassigned","macrofauna_aerial"
"Aphididae","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","unassigned","unassigned","macrofauna_aerial"
"Aphidiinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","unassigned","unassigned","macrofauna_aerial"
"Apion","Metazoa","Arthropoda","Insecta","Coleoptera","Apionidae","Apion","unassigned","macrofauna_aerial"
"Apis mellifera","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis mellifera","macrofauna_aerial"
"Apocrita","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_aerial"
"Apoidea","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_aerial"
"Araneae","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","macrofauna_aerial"
"Araneidae","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","unassigned","unassigned","macrofauna_aerial"
"Araneomorphae","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","macrofauna_aerial"
