"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Thripinae","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae","unassigned","unassigned","macrofauna_foliar"
"Thrips","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae","Thrips","unassigned","macrofauna_foliar"
"Hemiptera","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"Omophlus","Metazoa","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Omophlus","unassigned","macrofauna_foliar"
"Macrosiphoniella","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","Macrosiphoniella","unassigned","macrofauna_foliar"
"Megabruchidius","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Megabruchidius","unassigned","macrofauna_foliar"
"Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"Dasytes","Metazoa","Arthropoda","Insecta","Coleoptera","Melyridae","Dasytes","unassigned","macrofauna_foliar"
"Aphis craccivora","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","Aphis","Aphis craccivora","macrofauna_foliar"
"Anaspis","Metazoa","Arthropoda","Insecta","Coleoptera","Scraptiidae","Anaspis","unassigned","macrofauna_foliar"
"Ectopsocus","Metazoa","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Ectopsocus","unassigned","macrofauna_foliar"
"Aphididae","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","unassigned","unassigned","macrofauna_foliar"
"Plagiolepis pygmaea","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Plagiolepis","Plagiolepis pygmaea","macrofauna_foliar"
"Chalcidoidea","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"Chloropidae","Metazoa","Arthropoda","Insecta","Diptera","Chloropidae","unassigned","unassigned","macrofauna_foliar"
"Cicadellidae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","macrofauna_foliar"
"Bruchinae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","macrofauna_foliar"
"Runcinia grammica","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Runcinia","Runcinia grammica","macrofauna_foliar"
"Mirini","Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","unassigned","unassigned","macrofauna_foliar"
"Cyclorrhapha","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"Piezodorus lituratus","Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Piezodorus","Piezodorus lituratus","macrofauna_foliar"
"Synema globosum","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Synema","Synema globosum","macrofauna_foliar"
