"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"1","ncbi","Thripinae","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae","unassigned","unassigned","macrofauna_foliar"
"2","ncbi","Thrips","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae","Thrips","unassigned","macrofauna_foliar"
"3","ncbi","Hemiptera","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"4","ncbi","Omophlus","Metazoa","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Omophlus","unassigned","macrofauna_foliar"
"5","ncbi","Macrosiphoniella","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","Macrosiphoniella","unassigned","macrofauna_foliar"
"6","ncbi","Megabruchidius","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Megabruchidius","unassigned","macrofauna_foliar"
"7","ncbi","Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"8","ncbi","Dasytes","Metazoa","Arthropoda","Insecta","Coleoptera","Melyridae","Dasytes","unassigned","macrofauna_foliar"
"9","ncbi","Aphis craccivora","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","Aphis","Aphis craccivora","macrofauna_foliar"
"10","ncbi","Anaspis","Metazoa","Arthropoda","Insecta","Coleoptera","Scraptiidae","Anaspis","unassigned","macrofauna_foliar"
"11","ncbi","Ectopsocus","Metazoa","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Ectopsocus","unassigned","macrofauna_foliar"
"12","ncbi","Aphididae","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","unassigned","unassigned","macrofauna_foliar"
"13","ncbi","Plagiolepis pygmaea","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Plagiolepis","Plagiolepis pygmaea","macrofauna_foliar"
"14","ncbi","Chalcidoidea","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"15","ncbi","Chloropidae","Metazoa","Arthropoda","Insecta","Diptera","Chloropidae","unassigned","unassigned","macrofauna_foliar"
"16","ncbi","Cicadellidae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","macrofauna_foliar"
"17","ncbi","Bruchinae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","macrofauna_foliar"
"18","ncbi","Runcinia grammica","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Runcinia","Runcinia grammica","macrofauna_foliar"
"19","ncbi","Mirini","Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","unassigned","unassigned","macrofauna_foliar"
"20","ncbi","Cyclorrhapha","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"21","ncbi","Piezodorus lituratus","Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Piezodorus","Piezodorus lituratus","macrofauna_foliar"
"22","ncbi","Synema globosum","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Synema","Synema globosum","macrofauna_foliar"
"23","ncbi","Berginus tamarisci","Metazoa","Arthropoda","Insecta","Coleoptera","Mycetophagidae","Berginus","Berginus tamarisci","macrofauna_foliar"
"24","ncbi","Psallus","Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","Psallus","unassigned","macrofauna_foliar"
"25","ncbi","Philodromidae","Metazoa","Arthropoda","Arachnida","Araneae","Philodromidae","unassigned","unassigned","macrofauna_foliar"
"26","ncbi","Phylloneta","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Phylloneta","unassigned","macrofauna_foliar"
"27","ncbi","Crematogaster scutellaris","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Crematogaster","Crematogaster scutellaris","macrofauna_foliar"
"28","ncbi","Psocidae","Metazoa","Arthropoda","Insecta","Psocoptera","Psocidae","unassigned","unassigned","macrofauna_foliar"
"29","ncbi","Platystoma","Metazoa","Arthropoda","Insecta","Diptera","Platystomatidae","Platystoma","unassigned","macrofauna_foliar"
"30","ncbi","Apis mellifera","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis mellifera","macrofauna_foliar"
"31","ncbi","Mordellidae","Metazoa","Arthropoda","Insecta","Coleoptera","Mordellidae","unassigned","unassigned","macrofauna_foliar"
"32","ncbi","Thomisus onustus","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Thomisus","Thomisus onustus","macrofauna_foliar"
"33","ncbi","Araniella cucurbitina","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","Araniella","Araniella cucurbitina","macrofauna_foliar"
"34","ncbi","Entedoninae","Metazoa","Arthropoda","Insecta","Hymenoptera","Eulophidae","unassigned","unassigned","macrofauna_foliar"
"35","ncbi","Mesostigmata","Metazoa","Arthropoda","Arachnida","Mesostigmata","unassigned","unassigned","unassigned","macrofauna_foliar"
"36","ncbi","Bibionidae","Metazoa","Arthropoda","Insecta","Diptera","Bibionidae","unassigned","unassigned","macrofauna_foliar"
"37","ncbi","Chironomidae","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","unassigned","unassigned","macrofauna_foliar"
"38","ncbi","Gastrancistrus","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Gastrancistrus","unassigned","macrofauna_foliar"
"39","ncbi","Thomisidae","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","unassigned","unassigned","macrofauna_foliar"
"40","ncbi","Ichneumonoidea","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"41","ncbi","Sciaroidea","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"42","ncbi","Nematocera","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"43","ncbi","Psocodea","Metazoa","Arthropoda","Insecta","unassigned","unassigned","unassigned","unassigned","macrofauna_foliar"
"44","ncbi","Chironomoidea","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"45","ncbi","Aphidoidea","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"46","ncbi","Formicinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","unassigned","unassigned","macrofauna_foliar"
"47","ncbi","Geometridae","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","unassigned","unassigned","macrofauna_foliar"
"48","ncbi","Thysanoptera","Metazoa","Arthropoda","Insecta","Thysanoptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"49","ncbi","Cheiracanthium","Metazoa","Arthropoda","Arachnida","Araneae","Cheiracanthiidae","Cheiracanthium","unassigned","macrofauna_foliar"
"50","ncbi","Philodromus","Metazoa","Arthropoda","Arachnida","Araneae","Philodromidae","Philodromus","unassigned","macrofauna_foliar"
"51","ncbi","Calliopum","Metazoa","Arthropoda","Insecta","Diptera","Lauxaniidae","Calliopum","unassigned","macrofauna_foliar"
"52","ncbi","Empidoidea","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"53","ncbi","Braconidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","unassigned","unassigned","macrofauna_foliar"
"54","ncbi","Lepidoptera","Metazoa","Arthropoda","Insecta","Lepidoptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"55","ncbi","Anotylus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Anotylus","unassigned","macrofauna_foliar"
"56","ncbi","Macrosaccus robiniella","Metazoa","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Macrosaccus","Macrosaccus robiniella","macrofauna_foliar"
"57","ncbi","Diptera","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"58","ncbi","Gracillariidae","Metazoa","Arthropoda","Insecta","Lepidoptera","Gracillariidae","unassigned","unassigned","macrofauna_foliar"
"59","ncbi","Araneae","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","macrofauna_foliar"
"60","ncbi","Coleoptera","Metazoa","Arthropoda","Insecta","Coleoptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"61","ncbi","Guanchia pubescens","Metazoa","Arthropoda","Insecta","Dermaptera","Forficulidae","Guanchia","Guanchia pubescens","macrofauna_foliar"
"62","ncbi","Gastropoda","Metazoa","Mollusca","Gastropoda","unassigned","unassigned","unassigned","unassigned","macrofauna_foliar"
"63","ncbi","Salticinae","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae","unassigned","unassigned","macrofauna_foliar"
"64","ncbi","Piezodorus","Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Piezodorus","unassigned","macrofauna_foliar"
"65","ncbi","Araneomorphae","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","macrofauna_foliar"
"66","ncbi","Entelegynae","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","macrofauna_foliar"
"67","ncbi","Scelionidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Scelionidae","unassigned","unassigned","macrofauna_foliar"
"68","ncbi","Pteromalidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","unassigned","unassigned","macrofauna_foliar"
"69","ncbi","Araniella","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","Araniella","unassigned","macrofauna_foliar"
"70","ncbi","Camponotus piceus","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus piceus","macrofauna_foliar"
"71","ncbi","Ceraphronidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Ceraphronidae","unassigned","unassigned","macrofauna_foliar"
"72","ncbi","Neoscona subfusca","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","Neoscona","Neoscona subfusca","macrofauna_foliar"
"73","ncbi","Obolodiplosis","Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae","Obolodiplosis","unassigned","macrofauna_foliar"
"74","ncbi","Phaneroptera nana","Metazoa","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Phaneroptera","Phaneroptera nana","macrofauna_foliar"
"75","ncbi","Euura","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Euura","unassigned","macrofauna_foliar"
