"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"1","ncbi","Harpalus distinguendus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus distinguendus","macrofauna_surface"
"2","ncbi","Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"3","ncbi","Messor","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Messor","unassigned","macrofauna_surface"
"4","ncbi","Phaeocedus braccatus","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","Phaeocedus","Phaeocedus braccatus","macrofauna_surface"
"5","ncbi","Oligota","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oligota","unassigned","macrofauna_surface"
"6","ncbi","Linyphiidae","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","unassigned","unassigned","macrofauna_surface"
"7","ncbi","Oxypoda","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oxypoda","unassigned","macrofauna_surface"
"8","ncbi","Carpophilus","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Carpophilus","unassigned","macrofauna_surface"
"9","ncbi","Araneae","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","macrofauna_surface"
"10","ncbi","Coleoptera","Metazoa","Arthropoda","Insecta","Coleoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"11","ncbi","Staphylinidae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"12","ncbi","Leptaleus rodriguesi","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","Leptaleus","Leptaleus rodriguesi","macrofauna_surface"
"13","ncbi","Atheta","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Atheta","unassigned","macrofauna_surface"
"14","ncbi","Aleocharinae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"15","ncbi","Pheidole pallidula","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole pallidula","macrofauna_surface"
"16","ncbi","Psocoptera","Metazoa","Arthropoda","Insecta","Psocoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"17","ncbi","Alaobia scapularis","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Alaobia","Alaobia scapularis","macrofauna_surface"
"18","ncbi","Cicadellidae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","macrofauna_surface"
"19","ncbi","Harpalus dispar","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus dispar","macrofauna_surface"
"20","ncbi","Atomaria","Metazoa","Arthropoda","Insecta","Coleoptera","Cryptophagidae","Atomaria","unassigned","macrofauna_surface"
"21","ncbi","Phalangiinae","Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","unassigned","unassigned","macrofauna_surface"
"22","ncbi","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","macrofauna_surface"
"23","ncbi","Calathus fuscipes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus fuscipes","macrofauna_surface"
"24","ncbi","Enchytraeidae","Metazoa","Annelida","Clitellata","Enchytraeida","Enchytraeidae","unassigned","unassigned","macrofauna_surface"
"25","ncbi","Athous","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","Athous","unassigned","macrofauna_surface"
"26","ncbi","Julidae","Metazoa","Arthropoda","Diplopoda","Julida","Julidae","unassigned","unassigned","macrofauna_surface"
"27","ncbi","Nitidulidae","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","unassigned","unassigned","macrofauna_surface"
"28","ncbi","Lycosidae","Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","unassigned","unassigned","macrofauna_surface"
"29","ncbi","Diptera","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_surface"
"30","ncbi","Zodarion","Metazoa","Arthropoda","Arachnida","Araneae","Zodariidae","Zodarion","unassigned","macrofauna_surface"
"31","ncbi","Gastropoda","Metazoa","Mollusca","Gastropoda","unassigned","unassigned","unassigned","unassigned","macrofauna_surface"
"32","ncbi","Epuraea ocularis","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Epuraea","Epuraea ocularis","macrofauna_surface"
"33","ncbi","Tachyporus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Tachyporus","unassigned","macrofauna_surface"
"34","ncbi","Armadillidium vulgare","Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium vulgare","macrofauna_surface"
"35","ncbi","Deroceras","Metazoa","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","Deroceras","unassigned","macrofauna_surface"
"36","ncbi","Rhyzobius","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Rhyzobius","unassigned","macrofauna_surface"
"37","ncbi","Gnaphosidae","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","unassigned","unassigned","macrofauna_surface"
"38","ncbi","Microlestes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Microlestes","unassigned","macrofauna_surface"
"39","ncbi","Licinus punctatulus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Licinus","Licinus punctatulus","macrofauna_surface"
"40","ncbi","Astenus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Astenus","unassigned","macrofauna_surface"
