"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Oribatida","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","unassigned","unassigned","unassigned","micro_arthropodes"
"Enchytraeidae","Metazoa","Annelida","Clitellata","Enchytraeida","Enchytraeidae","unassigned","unassigned","micro_arthropodes"
"Gnaphosidae","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","unassigned","unassigned","micro_arthropodes"
"Linyphiidae","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","unassigned","unassigned","micro_arthropodes"
"Microctenonyx subitaneus","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Microctenonyx","Microctenonyx subitaneus","micro_arthropodes"
"Asagena","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Asagena","unassigned","micro_arthropodes"
"Ozyptila","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Ozyptila","unassigned","micro_arthropodes"
"Xysticus","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Xysticus","unassigned","micro_arthropodes"
"Zodarion","Metazoa","Arthropoda","Arachnida","Araneae","Zodariidae","Zodarion","unassigned","micro_arthropodes"
"Geophilomorpha","Metazoa","Arthropoda","Chilopoda","Geophilomorpha","unassigned","unassigned","unassigned","micro_arthropodes"
"Lithobiomorpha","Metazoa","Arthropoda","Chilopoda","Lithobiomorpha","unassigned","unassigned","unassigned","micro_arthropodes"
"Anthicidae","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","unassigned","unassigned","micro_arthropodes"
"Carabidae","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","unassigned","unassigned","micro_arthropodes"
"Staphylinidae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","micro_arthropodes"
"Coleoptera","Metazoa","Arthropoda","Insecta","Coleoptera","unassigned","unassigned","unassigned","micro_arthropodes"
"Collembola","Metazoa","Arthropoda","Collembola","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"Dermaptera","Metazoa","Arthropoda","Insecta","Dermaptera","unassigned","unassigned","unassigned","micro_arthropodes"
"Diplopoda","Metazoa","Arthropoda","Diplopoda","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"Diptera","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","micro_arthropodes"
"Aphidiidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","unassigned","unassigned","micro_arthropodes"
"Auchenorrhyncha","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","micro_arthropodes"
"Pheidole pallidula","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole pallidula","micro_arthropodes"
"Tetramorium","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Tetramorium","unassigned","micro_arthropodes"
"Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","micro_arthropodes"
"Isopoda","Metazoa","Arthropoda","Malacostraca","Isopoda","unassigned","unassigned","unassigned","micro_arthropodes"
"Pauropoda","Metazoa","Arthropoda","Pauropoda","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"Protura","Metazoa","Arthropoda","Protura","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"Pseudoscorpiones","Metazoa","Arthropoda","Arachnida","Pseudoscorpiones","unassigned","unassigned","unassigned","micro_arthropodes"
"Psocoptera","Metazoa","Arthropoda","Insecta","Psocoptera","unassigned","unassigned","unassigned","micro_arthropodes"
"Symphyla","Metazoa","Arthropoda","Symphyla","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"Thysanoptera","Metazoa","Arthropoda","Insecta","Thysanoptera","unassigned","unassigned","unassigned","micro_arthropodes"
"Protaphorura armata","Metazoa","Arthropoda","Collembola","Poduromorpha","Onychiuridae","Protaphorura","Protaphorura armata","micro_arthropodes"
"Pseudosinella alba","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Pseudosinella","Pseudosinella alba","micro_arthropodes"
"Brachystomella parvula","Metazoa","Arthropoda","Collembola","Poduromorpha","Brachystomellidae","Brachystomella","Brachystomella parvula","micro_arthropodes"
"Entomobrya lanuginosa","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Entomobrya","Entomobrya lanuginosa","micro_arthropodes"
"Sminthurinus elegans","Metazoa","Arthropoda","Collembola","Symphypleona","Katiannidae","Sminthurinus","Sminthurinus elegans","micro_arthropodes"
"Sphaeridia pumilis","Metazoa","Arthropoda","Collembola","Symphypleona","Sminthuridae","Sphaeridia","Sphaeridia pumilis","micro_arthropodes"
"Parisotoma notabilis","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Parisotoma","Parisotoma notabilis","micro_arthropodes"
"SYMPHYPLEONA","Metazoa","Arthropoda","Collembola","Symphypleona","unassigned","unassigned","unassigned","micro_arthropodes"
"Neelidae","Metazoa","Arthropoda","Collembola","Neelipleona","Neelidae","unassigned","unassigned","micro_arthropodes"
