"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"1","ncbi","Oribatida","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","unassigned","unassigned","unassigned","micro_arthropodes"
"2","ncbi","Enchytraeidae","Metazoa","Annelida","Clitellata","Enchytraeida","Enchytraeidae","unassigned","unassigned","micro_arthropodes"
"3","ncbi","Gnaphosidae","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","unassigned","unassigned","micro_arthropodes"
"4","ncbi","Linyphiidae","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","unassigned","unassigned","micro_arthropodes"
"5","ncbi","Microctenonyx subitaneus","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Microctenonyx","Microctenonyx subitaneus","micro_arthropodes"
"6","ncbi","Asagena","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Asagena","unassigned","micro_arthropodes"
"7","ncbi","Ozyptila","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Ozyptila","unassigned","micro_arthropodes"
"8","ncbi","Xysticus","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Xysticus","unassigned","micro_arthropodes"
"9","ncbi","Zodarion","Metazoa","Arthropoda","Arachnida","Araneae","Zodariidae","Zodarion","unassigned","micro_arthropodes"
"10","ncbi","Geophilomorpha","Metazoa","Arthropoda","Chilopoda","Geophilomorpha","unassigned","unassigned","unassigned","micro_arthropodes"
"11","ncbi","Lithobiomorpha","Metazoa","Arthropoda","Chilopoda","Lithobiomorpha","unassigned","unassigned","unassigned","micro_arthropodes"
"12","ncbi","Anthicidae","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","unassigned","unassigned","micro_arthropodes"
"13","ncbi","Carabidae","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","unassigned","unassigned","micro_arthropodes"
"14","ncbi","Staphylinidae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","micro_arthropodes"
"15","ncbi","Coleoptera","Metazoa","Arthropoda","Insecta","Coleoptera","unassigned","unassigned","unassigned","micro_arthropodes"
"16","ncbi","Collembola","Metazoa","Arthropoda","Collembola","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"17","ncbi","Dermaptera","Metazoa","Arthropoda","Insecta","Dermaptera","unassigned","unassigned","unassigned","micro_arthropodes"
"18","ncbi","Diplopoda","Metazoa","Arthropoda","Diplopoda","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"19","ncbi","Diptera","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","micro_arthropodes"
"20","ncbi","Aphidiidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","unassigned","unassigned","micro_arthropodes"
"21","ncbi","Auchenorrhyncha","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","micro_arthropodes"
"22","ncbi","Pheidole pallidula","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole pallidula","micro_arthropodes"
"23","ncbi","Tetramorium","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Tetramorium","unassigned","micro_arthropodes"
"24","ncbi","Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","micro_arthropodes"
"25","ncbi","Isopoda","Metazoa","Arthropoda","Malacostraca","Isopoda","unassigned","unassigned","unassigned","micro_arthropodes"
"26","ncbi","Pauropoda","Metazoa","Arthropoda","Pauropoda","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"27","ncbi","Protura","Metazoa","Arthropoda","Protura","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"28","ncbi","Pseudoscorpiones","Metazoa","Arthropoda","Arachnida","Pseudoscorpiones","unassigned","unassigned","unassigned","micro_arthropodes"
"29","ncbi","Psocoptera","Metazoa","Arthropoda","Insecta","Psocoptera","unassigned","unassigned","unassigned","micro_arthropodes"
"30","ncbi","Symphyla","Metazoa","Arthropoda","Symphyla","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"31","ncbi","Thysanoptera","Metazoa","Arthropoda","Insecta","Thysanoptera","unassigned","unassigned","unassigned","micro_arthropodes"
"32","ncbi","Protaphorura armata","Metazoa","Arthropoda","Collembola","Poduromorpha","Onychiuridae","Protaphorura","Protaphorura armata","micro_arthropodes"
"33","ncbi","Pseudosinella alba","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Pseudosinella","Pseudosinella alba","micro_arthropodes"
"34","ncbi","Brachystomella parvula","Metazoa","Arthropoda","Collembola","Poduromorpha","Brachystomellidae","Brachystomella","Brachystomella parvula","micro_arthropodes"
"35","ncbi","Entomobrya lanuginosa","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Entomobrya","Entomobrya lanuginosa","micro_arthropodes"
"36","ncbi","Sminthurinus elegans","Metazoa","Arthropoda","Collembola","Symphypleona","Katiannidae","Sminthurinus","Sminthurinus elegans","micro_arthropodes"
"37","ncbi","Sphaeridia pumilis","Metazoa","Arthropoda","Collembola","Symphypleona","Sminthuridae","Sphaeridia","Sphaeridia pumilis","micro_arthropodes"
"38","ncbi","Parisotoma notabilis","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Parisotoma","Parisotoma notabilis","micro_arthropodes"
"39","ncbi","SYMPHYPLEONA","Metazoa","Arthropoda","Collembola","Symphypleona","unassigned","unassigned","unassigned","micro_arthropodes"
"40","ncbi","Neelidae","Metazoa","Arthropoda","Collembola","Neelipleona","Neelidae","unassigned","unassigned","micro_arthropodes"
"41","ncbi","Heteromurus major","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Heteromurus","Heteromurus major","micro_arthropodes"
"42","ncbi","Lepidocyrtus lanuginosus","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Lepidocyrtus","Lepidocyrtus lanuginosus","micro_arthropodes"
"43","ncbi","Pseudosinella octopunctata","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Pseudosinella","Pseudosinella octopunctata","micro_arthropodes"
"44","ncbi","Megalothorax minimus","Metazoa","Arthropoda","Collembola","Neelipleona","Neelidae","Megalothorax","Megalothorax minimus","micro_arthropodes"
"45","ncbi","Isotoma viridis","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Isotoma","Isotoma viridis","micro_arthropodes"
"46","ncbi","Proisotoma minuta","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Proisotoma","Proisotoma minuta","micro_arthropodes"
"47","ncbi","Sminthurinus aureus","Metazoa","Arthropoda","Collembola","Symphypleona","Katiannidae","Sminthurinus","Sminthurinus aureus","micro_arthropodes"
"48","ncbi","Hypogastrura vernalis","Metazoa","Arthropoda","Collembola","Poduromorpha","Hypogastruridae","Hypogastrura","Hypogastrura vernalis","micro_arthropodes"
"49","ncbi","Neanuridae","Metazoa","Arthropoda","Collembola","Poduromorpha","Neanuridae","unassigned","unassigned","micro_arthropodes"
"50","ncbi","Isotomiella paraminor","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Isotomiella","Isotomiella paraminor","micro_arthropodes"
"51","ncbi","Isotomiella minor","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Isotomiella","Isotomiella minor","micro_arthropodes"
"52","ncbi","Sminthurides signatus","Metazoa","Arthropoda","Collembola","Symphypleona","Sminthurididae","Sminthurides","Sminthurides signatus","micro_arthropodes"
"53","ncbi","Desoria trispinata","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Desoria","Desoria trispinata","micro_arthropodes"
"54","ncbi","Sminthurus viridis","Metazoa","Arthropoda","Collembola","Symphypleona","Sminthuridae","Sminthurus","Sminthurus viridis","micro_arthropodes"
"55","ncbi","Ceratophysella gibbosa","Metazoa","Arthropoda","Collembola","Poduromorpha","Hypogastruridae","Ceratophysella","Ceratophysella gibbosa","micro_arthropodes"
"56","itis","Gnaphosa alacris","Metazoa","Arthropoda","Euchelicerata","Araneae","Gnaphosidae","Gnaphosa","Gnaphosa alacris","micro_arthropodes"
"57","itis","Solenopsis","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","unassigned","micro_arthropodes"
"58","itis","Pseudosinella sexoculata","Metazoa","Arthropoda","Collembola","Collembola","Entomobryidae","Pseudosinella","Pseudosinella sexoculata","micro_arthropodes"
"59","itis","Cryptopygus thermophilus","Metazoa","Arthropoda","Collembola","Collembola","Isotomidae","Cryptopygus","Cryptopygus thermophilus","micro_arthropodes"
"60","itis","Xenylla xavieri","Metazoa","Arthropoda","Collembola","Collembola","Hypogastruridae","Xenylla","Xenylla xavieri","micro_arthropodes"
"61","itis","Hypogastrura manubrialis","Metazoa","Arthropoda","Collembola","Collembola","Hypogastruridae","Hypogastrura","Hypogastrura manubrialis","micro_arthropodes"
"62","itis","Isotomodes trisetosus","Metazoa","Arthropoda","Collembola","Collembola","Isotomidae","Isotomodes","Isotomodes trisetosus","micro_arthropodes"
"63","unassigned","Acaridida","Metazoa","Arthropoda","Arachnida","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"64","unassigned","Gamasidae","Metazoa","Arthropoda","Arachnida","Mesostigmata","Parasitidae","unassigned","unassigned","micro_arthropodes"
"65","unassigned","Mesaphorura sp","Metazoa","Arthropoda","Collembola","Poduromorpha","Tullbergiidae","Mesaphorura","unassigned","micro_arthropodes"
"66","unassigned","Pseudosinella decipiens","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Lepidocyrtidae","Pseudosinella","Pseudosinella decipiens","micro_arthropodes"
"67","unassigned","Pseudonorophorus isotoma","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Pseudonorophorus","Pseudonorophorus isotoma","micro_arthropodes"
"68","unassigned","Arrhopalites gr.caecus","Metazoa","Arthropoda","Collembola","Symphypleona","Arrhopalitidae","Arrhopalites","Arrhopalites gr.caecus","micro_arthropodes"
"69","unassigned","Seira sp","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Seira","unassigned","micro_arthropodes"
"70","unassigned","Isotomurus sp","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Isotomurus","unassigned","micro_arthropodes"
"71","unassigned","Tullbergidae","Metazoa","Arthropoda","Collembola","Poduromorpha","Tullbergiidae","unassigned","unassigned","micro_arthropodes"
"72","unassigned","Entomobrya aff.multifasciata","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Entomobrya","Entomobrya multifasciata","micro_arthropodes"
