"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Acrobeles","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeles","unassigned","nematodes"
"Acrobeloides","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides","unassigned","nematodes"
"Aporcelaimidae","Metazoa","Nematoda","Enoplea","Dorylaimida","Aporcelaimidae","unassigned","unassigned","nematodes"
"Aprutides","Metazoa","Nematoda","Chromadorea","Rhabditida","Seinuridae","Aprutides","unassigned","nematodes"
"Cervidellus","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Cervidellus","unassigned","nematodes"
"Chiloplacus","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Chiloplacus","unassigned","nematodes"
"Eumonhystera","Metazoa","Nematoda","Chromadorea","Monhysterida","Monhysteridae","Eumonhystera","unassigned","nematodes"
"Anaplectus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Anaplectus","unassigned","nematodes"
"Plectus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Plectus","unassigned","nematodes"
"Tylocephalus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Tylocephalus","unassigned","nematodes"
"Panagrolaimus","Metazoa","Nematoda","Chromadorea","Rhabditida","Panagrolaimidae","Panagrolaimus","unassigned","nematodes"
"Rhabditidae","Metazoa","Nematoda","Chromadorea","Rhabditida","Rhabditidae","unassigned","unassigned","nematodes"
"Rhabdolaimus","Metazoa","Nematoda","Enoplea","Enoplida","Rhabdolaimidae","Rhabdolaimus","unassigned","nematodes"
"Prismatolaimus","Metazoa","Nematoda","Enoplea","Triplonchida","Prismatolaimidae","Prismatolaimus","unassigned","nematodes"
"Aphelenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchidae","Aphelenchus","unassigned","nematodes"
"Aphelenchoides","Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Aphelenchoides","unassigned","nematodes"
"Diphtherophora","Metazoa","Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Diphtherophora","unassigned","nematodes"
"Mononchus","Metazoa","Nematoda","Enoplea","Mononchida","Mononchidae","Mononchus","unassigned","nematodes"
"Microdorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Microdorylaimus","unassigned","nematodes"
"Nygolaimidae","Metazoa","Nematoda","Enoplea","Dorylaimida","Nygolaimidae","unassigned","unassigned","nematodes"
"Discolaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Discolaimus","unassigned","nematodes"
"Oxydirus","Metazoa","Nematoda","Enoplea","Dorylaimida","Belondiridae","Oxydirus","unassigned","nematodes"
"Eudorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Eudorylaimus","unassigned","nematodes"
"Pratylenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Pratylenchidae","Pratylenchus","unassigned","nematodes"
"Prodorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Dorylaimidae","Prodorylaimus","unassigned","nematodes"
"Helicotylenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Hoplolaimidae","Helicotylenchus","unassigned","nematodes"
"Trichodorus","Metazoa","Nematoda","Enoplea","Triplonchida","Trichodoridae","Trichodorus","unassigned","nematodes"
"Tylenchorhynchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Telotylenchidae","Tylenchorhynchus","unassigned","nematodes"
"Tylenchidae","Metazoa","Nematoda","Chromadorea","Rhabditida","Tylenchidae","unassigned","unassigned","nematodes"
"Mylonchulus","Metazoa","Nematoda","Enoplea","Mononchida","Mylonchulidae","Mylonchulus","unassigned","nematodes"
