"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"2","ncbi","Acrobeles","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeles","unassigned","nematodes"
"4","ncbi","Acrobeloides","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides","unassigned","nematodes"
"6","ncbi","Aporcelaimidae","Metazoa","Nematoda","Enoplea","Dorylaimida","Aporcelaimidae","unassigned","unassigned","nematodes"
"8","ncbi","Aprutides","Metazoa","Nematoda","Chromadorea","Rhabditida","Seinuridae","Aprutides","unassigned","nematodes"
"10","ncbi","Cervidellus","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Cervidellus","unassigned","nematodes"
"12","ncbi","Chiloplacus","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Chiloplacus","unassigned","nematodes"
"14","ncbi","Eumonhystera","Metazoa","Nematoda","Chromadorea","Monhysterida","Monhysteridae","Eumonhystera","unassigned","nematodes"
"16","ncbi","Anaplectus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Anaplectus","unassigned","nematodes"
"18","ncbi","Plectus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Plectus","unassigned","nematodes"
"20","ncbi","Tylocephalus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Tylocephalus","unassigned","nematodes"
"22","ncbi","Panagrolaimus","Metazoa","Nematoda","Chromadorea","Rhabditida","Panagrolaimidae","Panagrolaimus","unassigned","nematodes"
"24","ncbi","Rhabditidae","Metazoa","Nematoda","Chromadorea","Rhabditida","Rhabditidae","unassigned","unassigned","nematodes"
"26","ncbi","Rhabdolaimus","Metazoa","Nematoda","Enoplea","Enoplida","Rhabdolaimidae","Rhabdolaimus","unassigned","nematodes"
"28","ncbi","Prismatolaimus","Metazoa","Nematoda","Enoplea","Triplonchida","Prismatolaimidae","Prismatolaimus","unassigned","nematodes"
"30","ncbi","Aphelenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchidae","Aphelenchus","unassigned","nematodes"
"32","ncbi","Aphelenchoides","Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Aphelenchoides","unassigned","nematodes"
"34","ncbi","Diphtherophora","Metazoa","Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Diphtherophora","unassigned","nematodes"
"36","ncbi","Mononchus","Metazoa","Nematoda","Enoplea","Mononchida","Mononchidae","Mononchus","unassigned","nematodes"
"38","ncbi","Microdorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Microdorylaimus","unassigned","nematodes"
"40","ncbi","Nygolaimidae","Metazoa","Nematoda","Enoplea","Dorylaimida","Nygolaimidae","unassigned","unassigned","nematodes"
"42","ncbi","Discolaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Discolaimus","unassigned","nematodes"
"44","ncbi","Oxydirus","Metazoa","Nematoda","Enoplea","Dorylaimida","Belondiridae","Oxydirus","unassigned","nematodes"
"46","ncbi","Eudorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Eudorylaimus","unassigned","nematodes"
"48","ncbi","Pratylenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Pratylenchidae","Pratylenchus","unassigned","nematodes"
"50","ncbi","Prodorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Dorylaimidae","Prodorylaimus","unassigned","nematodes"
"52","ncbi","Helicotylenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Hoplolaimidae","Helicotylenchus","unassigned","nematodes"
"54","ncbi","Trichodorus","Metazoa","Nematoda","Enoplea","Triplonchida","Trichodoridae","Trichodorus","unassigned","nematodes"
"56","ncbi","Tylenchorhynchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Telotylenchidae","Tylenchorhynchus","unassigned","nematodes"
"58","ncbi","Tylenchidae","Metazoa","Nematoda","Chromadorea","Rhabditida","Tylenchidae","unassigned","unassigned","nematodes"
"60","ncbi","Mylonchulus","Metazoa","Nematoda","Enoplea","Mononchida","Mylonchulidae","Mylonchulus","unassigned","nematodes"
