"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Thecofilosea::Cluster_552","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Polymyxa::Cluster_1","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","Polymyxa","unassigned","protists"
"Thecofilosea::Cluster_2","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Thaumatomonadida::Cluster_3","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"Rhogostoma::Cluster_4","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","unassigned","protists"
"Kraken::Cluster_5","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","Kraken","unassigned","protists"
"Spongospora sp.::Cluster_7","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","unassigned","Spongospora sp.","protists"
"Thecofilosea::Cluster_8","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Euglyphida::Cluster_9","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Heteromita globosa::Cluster_11","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Heteromita globosa","protists"
"Cercozoa::Cluster_12","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"Euglyphida::Cluster_14","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Heteromita::Cluster_15","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Thaumatomonadida::Cluster_16","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"Thecofilosea::Cluster_18","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Cercomonas::Cluster_19","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"Cercomonas::Cluster_728","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"Rhogostoma::Cluster_20","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","unassigned","protists"
"Rhogostoma::Cluster_21","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","unassigned","protists"
"Heteromita::Cluster_22","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Heteromita::Cluster_24","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Thaumatomonadida::Cluster_27","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"Proleptomonas faecicola::Cluster_28","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Proleptomonas","Proleptomonas faecicola","protists"
"Trinema::Cluster_30","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","unassigned","protists"
"Euglyphida::Cluster_31","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Heteromita::Cluster_34","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Cercomonadidae::Cluster_35","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"Trinema lineare::Cluster_36","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","Trinema lineare","protists"
"Cercozoa::Cluster_37","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"Heteromita::Cluster_38","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Euglyphida::Cluster_41","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Cercomonadidae::Cluster_42","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"Cercomonas parincurva::Cluster_43","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","Cercomonas parincurva","protists"
"Thecofilosea::Cluster_44","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Glissomonadida::Cluster_46","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"Novel Clade Gran-5::Cluster_815","Eukaryota","Cercozoa","Novel Clade Gran-5","unassigned","unassigned","unassigned","unassigned","protists"
"Euglyphida::Cluster_48","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Eocercomonas::Cluster_49","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Eocercomonas","unassigned","protists"
"Euglyphida::Cluster_1382","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Kraken::Cluster_52","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","Kraken","unassigned","protists"
"Bodomorpha sp.::Cluster_56","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Bodomorpha sp.","protists"
"Cercozoa::Cluster_57","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"Glissomonadida::Cluster_112","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"Glissomonadida::Cluster_58","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"Proleptomonas::Cluster_114","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Proleptomonas","unassigned","protists"
"Heteromita::Cluster_62","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Cercomonas plasmodialis::Cluster_63","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","Cercomonas plasmodialis","protists"
"Trinema lineare::Cluster_64","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","Trinema lineare","protists"
"Euglyphida::Cluster_123","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Cercomonadidae::Cluster_124","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"Athalamea environmental sample::Cluster_70","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","Athalamea environmental sample","protists"
"Cercomonadidae::Cluster_125","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"Heteromita::Cluster_71","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Heteromita::Cluster_126","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Euglyphida::Cluster_73","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Cercomonas directa::Cluster_128","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","Cercomonas directa","protists"
"Cercozoa::Cluster_74","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"Bodomorpha sp.::Cluster_129","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Bodomorpha sp.","protists"
