"","query","kingdom","phylum","class","order","family","genus","species","community"
"1","M03493:516:000000000-L4LRP:1:1103:14734:8311","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","Polymyxa","unassigned","protists"
"2","M03493:516:000000000-L4LRP:1:1101:11869:12741","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"3","M03493:516:000000000-L4LRP:1:1106:21255:5860","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"4","M03493:516:000000000-L4LRP:1:1101:8523:6973","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","unassigned","protists"
"5","M03493:516:000000000-L4LRP:1:1101:8623:4892","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","Kraken","unassigned","protists"
"6","M03493:516:000000000-L4LRP:1:1106:19796:15949","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","Polymyxa","unassigned","protists"
"7","M03493:516:000000000-L4LRP:1:1101:16596:2264","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","unassigned","Spongospora sp.","protists"
"8","M03493:516:000000000-L4LRP:1:1101:15623:3284","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"9","M03493:516:000000000-L4LRP:1:1101:17402:19991","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"10","M03493:516:000000000-L4LRP:1:1101:11733:3436","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"11","M03493:516:000000000-L4LRP:1:1101:19561:7534","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Heteromita globosa","protists"
"12","M03493:516:000000000-L4LRP:1:1101:18112:6638","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"13","M03493:516:000000000-L4LRP:1:1108:10550:24003","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","Polymyxa","Polymyxa graminis","protists"
"14","M03493:516:000000000-L4LRP:1:1101:22165:6490","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"15","M03493:516:000000000-L4LRP:1:1101:3060:11137","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"16","M03493:516:000000000-L4LRP:1:1101:18389:8594","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"17","M03493:516:000000000-L4LRP:1:1101:19555:25651","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"18","M03493:516:000000000-L4LRP:1:1103:12831:25353","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"19","M03493:516:000000000-L4LRP:1:1101:23511:4404","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","Cercomonas sp.","protists"
"20","M03493:516:000000000-L4LRP:1:1101:5308:8635","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","unassigned","protists"
"21","M03493:516:000000000-L4LRP:1:1105:18989:14806","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","unassigned","protists"
"22","M03493:516:000000000-L4LRP:1:1101:6894:20406","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"23","M03493:516:000000000-L4LRP:1:1109:19968:27401","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"24","M03493:516:000000000-L4LRP:1:1101:19579:10456","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"25","M03493:516:000000000-L4LRP:1:1101:18919:4674","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","unassigned","protists"
"26","M03493:516:000000000-L4LRP:1:1105:21357:3282","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"27","M03493:516:000000000-L4LRP:1:1101:11538:7669","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"28","M03493:516:000000000-L4LRP:1:1101:23898:7013","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Proleptomonas","Proleptomonas faecicola","protists"
"29","M03493:516:000000000-L4LRP:1:1101:17971:6953","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","Polymyxa","unassigned","protists"
"30","M03493:516:000000000-L4LRP:1:1101:13874:4896","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","unassigned","protists"
"31","M03493:516:000000000-L4LRP:1:1101:17692:23820","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"32","M03493:516:000000000-L4LRP:1:1101:23033:20043","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"33","M03493:516:000000000-L4LRP:1:1104:16687:22264","Eukaryota","Cercozoa","Vampyrellidae","unassigned","unassigned","unassigned","Arachnula impatiens","protists"
"34","M03493:516:000000000-L4LRP:1:1101:14422:6610","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"35","M03493:516:000000000-L4LRP:1:1101:4647:16623","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"36","M03493:516:000000000-L4LRP:1:1101:21951:21152","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","Trinema lineare","protists"
"37","M03493:516:000000000-L4LRP:1:1104:14609:3369","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"38","M03493:516:000000000-L4LRP:1:1106:17294:1938","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Cercozoa sp.","protists"
"39","M03493:516:000000000-L4LRP:1:1104:8284:20730","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"40","M03493:516:000000000-L4LRP:1:1101:14442:26607","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"41","M03493:516:000000000-L4LRP:1:1101:19568:11510","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"42","M03493:516:000000000-L4LRP:1:1101:13059:18759","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"43","M03493:516:000000000-L4LRP:1:1107:7362:5332","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","Cercomonas parincurva","protists"
"44","M03493:516:000000000-L4LRP:1:1101:14542:4146","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"45","M03493:516:000000000-L4LRP:1:1107:15268:11386","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"46","M03493:516:000000000-L4LRP:1:1101:12587:5026","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"47","M03493:516:000000000-L4LRP:1:1104:22873:15833","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"48","M03493:516:000000000-L4LRP:1:1107:24643:12765","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"49","M03493:516:000000000-L4LRP:1:1102:15751:19853","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Eocercomonas","Eocercomonas sp.","protists"
"50","M03493:516:000000000-L4LRP:1:1101:9900:3945","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"51","M03493:516:000000000-L4LRP:1:1101:12619:4487","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","Gyromitus","Thaumatomastigidae environmental sample","protists"
"52","M03493:516:000000000-L4LRP:1:1101:10489:13247","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","Kraken","unassigned","protists"
"53","M03493:516:000000000-L4LRP:1:2107:10305:22544","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"54","M03493:516:000000000-L4LRP:1:1101:7985:6277","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Euglypha","Euglypha rotunda","protists"
"55","M03493:516:000000000-L4LRP:1:1101:15759:3989","Eukaryota","Cercozoa","Vampyrellidae","unassigned","unassigned","unassigned","Leptophryidae sp.","protists"
"56","M03493:516:000000000-L4LRP:1:1101:22817:8506","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Bodomorpha sp.","protists"
"57","M03493:516:000000000-L4LRP:1:1113:9442:22692","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"58","M03493:516:000000000-L4LRP:1:1101:17754:27601","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"59","M03493:516:000000000-L4LRP:1:2103:13663:28011","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","Spongospora","Spongospora subterranea f. sp. nasturtii","protists"
"60","M03493:516:000000000-L4LRP:1:1101:13283:13953","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Corchorus olitorius","protists"
"61","M03493:516:000000000-L4LRP:1:1109:2705:19968","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"62","M03493:516:000000000-L4LRP:1:1102:17775:4415","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Cercozoa sp.","protists"
"63","M03493:516:000000000-L4LRP:1:1102:11411:18601","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","Cercomonas plasmodialis","protists"
"64","M03493:516:000000000-L4LRP:1:1109:13673:13365","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"65","M03493:516:000000000-L4LRP:1:1101:22697:11437","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","Trinema lineare","protists"
"66","M03493:516:000000000-L4LRP:1:1101:21633:9563","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Euglypha","Euglypha tuberculata","protists"
"67","M03493:516:000000000-L4LRP:1:1110:5962:18704","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Metabolomonas","Metabolomonas insania","protists"
"68","M03493:516:000000000-L4LRP:1:2102:5784:22028","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"69","M03493:516:000000000-L4LRP:1:2107:25963:12986","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Paracercomonas","unassigned","protists"
"70","M03493:516:000000000-L4LRP:1:1101:10421:12335","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","Athalamea environmental sample","protists"
