"","db","query","kingdom","phylum","class","order","family","genus","species"
"20","ncbi","Alysiini",NA,NA,NA,NA,NA,NA,NA
"38","ncbi","Anthaxia cyanescens",NA,NA,NA,NA,NA,NA,NA
"44","ncbi","Anthaxia nigritula",NA,NA,NA,NA,NA,NA,NA
"46","ncbi","Anthomalachius spinosus",NA,NA,NA,NA,NA,NA,NA
"48","ncbi","Anthophila",NA,NA,NA,NA,NA,NA,NA
"110","ncbi","Carcharodina",NA,NA,NA,NA,NA,NA,NA
"150","ncbi","Cirrospilini",NA,NA,NA,NA,NA,NA,NA
"168","ncbi","Cordicomus instabilis",NA,NA,NA,NA,NA,NA,NA
"184","ncbi","Dacnusini",NA,NA,NA,NA,NA,NA,NA
"188","ncbi","Dasytini",NA,NA,NA,NA,NA,NA,NA
"206","ncbi","Dipogon variegatus",NA,NA,NA,NA,NA,NA,NA
"218","ncbi","Endomia",NA,NA,NA,NA,NA,NA,NA
"220","ncbi","Epimeces",NA,NA,NA,NA,NA,NA,NA
"250","ncbi","Fenusini",NA,NA,NA,NA,NA,NA,NA
"262","ncbi","Haltichellini",NA,NA,NA,NA,NA,NA,NA
"348","ncbi","Onthophagus emarginatus",NA,NA,NA,NA,NA,NA,NA
"394","ncbi","Pieris",NA,NA,NA,NA,NA,NA,NA
"424","ncbi","Psilothrix viridicoerulea",NA,NA,NA,NA,NA,NA,NA
"434","ncbi","Pteromalini",NA,NA,NA,NA,NA,NA,NA
"538","ncbi","Xenomerus",NA,NA,NA,NA,NA,NA,NA
