query;kingdom;phylum;class;order;family;genus;species;reference;date
Alysiini;Animalia;Arthropoda;Insecta;Hymenoptera;Braconidae;NA;NA;wikispecies;25/04/2024
Anthaxia cyanescens;Animalia;Arthropoda;Insecta;Coleoptera;Buprestidae;Anthaxia;Anthaxia cyanescens;wikipedia;25/04/2024
Anthaxia nigritula;Animalia;Arthropoda;Insecta;Coleoptera;Buprestidae;Anthaxia;Anthaxia nigritula;wikipedia;25/04/2024
Anthomalachius spinosus;Animalia;Arthropoda;Insecta;Coleoptera;Malachiidae;Anthomalachius;Anthomalachius spinosus;wikipedia;25/04/2024
Anthophila;Animalia;Arthropoda;Insecta;Lepidoptera;Choreutidae;Anthophila;NA;wikipedia;25/04/2024
Carcharodina;Animalia;Arthropoda;Insecta;Lepidoptera;Hesperiidae;NA;NA;wikipedia;25/04/2024
Cirrospilini;Animalia;Arthropoda;Insecta;Hymenoptera;Eulophidae;NA;NA;wikispecies;25/04/2024
Cordicomus instabilis;Animalia;Arthropoda;Insecta;Coleoptera;Anthicidae;Cordicomus;Cordicomus instabilis;wikipedia;25/04/2024
Dacnusini;Animalia;Arthropoda;Insecta;Hymenoptera;Braconidae;NA;NA;wikimedia;25/04/2024
Dasytini;Animalia;Arthropoda;Insecta;Coleoptera;Melyridae;NA;NA;wikipedia;25/04/2024
Dipogon variegatus;Animalia;Arthropoda;Insecta;Hymenoptera;Pompilidae;Dipogon;Dipogon variegatus;wikipedia;25/04/2024
Endomia;Animalia;Arthropoda;Insecta;Coleoptera;Anthicidae;Endomia;NA;wikipedia;25/04/2024
Epimeces;Animalia;Arthropoda;Insecta;Lepidoptera;Geometridae;Epimecis;NA;wikipedia;25/04/2024
Fenusini;Animalia;Arthropoda;Insecta;Hymenoptera;Tenthredinidae;NA;NA;iNaturalist;25/04/2024
Haltichellini;Animalia;Arthropoda;Insecta;Hymenoptera;Chalcididae;NA;NA;wikispecies;25/04/2024
Onthophagus emarginatus;Animalia;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Onthophagus;Onthophagus emarginatus;wikipedia;25/04/2024
Pieris;Animalia;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;NA;wikipedia;25/04/2024
Psilothrix viridicoerulea;Animalia;Arthropoda;Insecta;Coleoptera;Melyridae;Psilothrix;Psilothrix viridicoerulea;wikipedia;25/04/2024
Pteromalini;Animalia;Arthropoda;Insecta;Hymenoptera;Pteromalidae;NA;NA;wikipedia;25/04/2024
Xenomerus;Animalia;Arthropoda;Insecta;Hymenoptera;Platygastridae;Xenomerus;NA;wikispecies;25/04/2024
