"","finest_name"
"1","Thripinae"
"2","Thrips"
"3","Hemiptera"
"4","Omophlus"
"5","Macrosiphoniella"
"6","Megabruchidius"
"7","Hymenoptera"
"8","Dasytes"
"9","Aphis craccivora"
"10","Anaspis"
"11","Pterygota"
"12","Ectopsocus"
"13","Aphididae"
"14","Plagiolepis pygmaea"
"15","Chalcidoidea"
"16","Chloropidae"
"17","Corticariinae"
"18","Anaspidinae"
"19","Cicadellidae"
"20","Bruchinae"
"21","Runcinia grammica"
"22","Apioninae"
"23","Mirini"
"24","Cyclorrhapha"
"25","Piezodorus lituratus"
"26","Synema globosum"
"27","Berginus tamarisci"
"28","Psallus"
"29","Philodromidae"
"30","Phylloneta"
"31","Crematogaster scutellaris"
"32","Psocidae"
"33","Platystoma"
"34","Apis mellifera"
"35","Mordellidae"
"36","Thomisus onustus"
"37","Araniella cucurbitina"
"38","Entedoninae"
"39","Mesostigmata"
"40","Bibionidae"
"41","Chironomidae"
"42","Gastrancistrus"
"43","Drapetini"
"44","Thomisidae"
"45","Ichneumonoidea"
"46","Sciaroidea"
"47","Nematocera"
"48","Tanaemyrmex"
"49","Psocodea"
"50","Chironomoidea"
"51","Dasytini"
"52","Acaridia"
"53","Aphidoidea"
"54","Formicinae"
"55","Geometridae"
"56","Thysanoptera"
"57","Cheiracanthium"
"58","Philodromus"
"59","Calliopum"
"60","Empidoidea"
"61","Braconidae"
"62","Lepidoptera"
"63","Anotylus"
"64","Macrosaccus robiniella"
"65","Parmulini"
"66","Diptera"
"67","Gracillariidae"
"68","Araneae"
"69","Coleoptera"
"70","Guanchia pubescens"
"71","Gastropoda"
"72","Salticinae"
"73","Piezodorus"
"74","Araneomorphae"
"75","Entelegynae"
"76","Scelionidae"
"77","Pteromalidae"
"78","Araniella"
"79","Camponotus piceus"
"80","Ceraphronidae"
"81","Neoscona subfusca"
"82","Obolodiplosis"
"83","Conoidasida"
"84","Phaneroptera nana"
"85","Euura"
"86","Xysticus"
"87","Larinioides"
"88","Araneinae"
"89","Coccinellini"
"90","Phonognathinae"
"91","Clubionidae"
"92","Halyomorpha halys"
"93","Lebiinae"
"94","Coreoidea"
"95","Sphaeroderma"
"96","Scymnus"
"97","Heteroptera"
"98","Theridiidae"
"99","Psylloidea"
"100","Phaneroptera"
