"","db","query","kingdom","phylum","class","order","family","genus","species"
"1","itis","Thripinae","Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae",NA,NA
"2","ncbi","Thripinae","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae",NA,NA
"3","itis","Thrips","Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae","Thrips",NA
"4","ncbi","Thrips","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae","Thrips",NA
"5","itis","Hemiptera","Animalia","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"6","ncbi","Hemiptera","Metazoa","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"7","itis","Omophlus",NA,NA,NA,NA,NA,NA,NA
"8","ncbi","Omophlus","Metazoa","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Omophlus",NA
"9","itis","Macrosiphoniella","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","Macrosiphoniella",NA
"10","ncbi","Macrosiphoniella","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","Macrosiphoniella",NA
"11","itis","Megabruchidius",NA,NA,NA,NA,NA,NA,NA
"12","ncbi","Megabruchidius","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Megabruchidius",NA
"13","itis","Hymenoptera","Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"14","ncbi","Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"15","itis","Dasytes",NA,NA,NA,NA,NA,NA,NA
"16","ncbi","Dasytes","Metazoa","Arthropoda","Insecta","Coleoptera","Melyridae","Dasytes",NA
"17","itis","Aphis craccivora","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","Aphis","Aphis craccivora"
"18","ncbi","Aphis craccivora","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","Aphis","Aphis craccivora"
"19","itis","Anaspis","Animalia","Arthropoda","Insecta","Coleoptera","Scraptiidae","Anaspis",NA
"20","ncbi","Anaspis","Metazoa","Arthropoda","Insecta","Coleoptera","Scraptiidae","Anaspis",NA
"21","itis","Pterygota",NA,NA,NA,NA,NA,NA,NA
"22","ncbi","Pterygota",NA,NA,NA,NA,NA,NA,NA
"23","itis","Ectopsocus","Animalia","Arthropoda","Insecta","Psocodea","Ectopsocidae","Ectopsocus",NA
"24","ncbi","Ectopsocus","Metazoa","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Ectopsocus",NA
"25","itis","Aphididae","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae",NA,NA
"26","ncbi","Aphididae","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae",NA,NA
"27","itis","Plagiolepis pygmaea","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Plagiolepis","Plagiolepis pygmaea"
"28","ncbi","Plagiolepis pygmaea","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Plagiolepis","Plagiolepis pygmaea"
"29","itis","Chalcidoidea","Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"30","ncbi","Chalcidoidea","Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"31","itis","Chloropidae","Animalia","Arthropoda","Insecta","Diptera","Chloropidae",NA,NA
"32","ncbi","Chloropidae","Metazoa","Arthropoda","Insecta","Diptera","Chloropidae",NA,NA
"33","itis","Corticariinae","Animalia","Arthropoda","Insecta","Coleoptera","Latridiidae",NA,NA
"34","ncbi","Corticariinae",NA,NA,NA,NA,NA,NA,NA
"35","itis","Anaspidinae","Animalia","Arthropoda","Insecta","Coleoptera","Scraptiidae",NA,NA
"36","ncbi","Anaspidinae",NA,NA,NA,NA,NA,NA,NA
"37","itis","Cicadellidae","Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae",NA,NA
"38","ncbi","Cicadellidae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae",NA,NA
"39","itis","Bruchinae","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"40","ncbi","Bruchinae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"41","itis","Runcinia grammica","Animalia","Arthropoda","Euchelicerata","Araneae","Thomisidae","Runcinia","Runcinia grammica"
"42","ncbi","Runcinia grammica","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Runcinia","Runcinia grammica"
"43","itis","Apioninae",NA,NA,NA,NA,NA,NA,NA
"44","ncbi","Apioninae",NA,NA,NA,NA,NA,NA,NA
"45","itis","Mirini","Animalia","Arthropoda","Insecta","Hemiptera","Miridae",NA,NA
"46","ncbi","Mirini","Metazoa","Arthropoda","Insecta","Hemiptera","Miridae",NA,NA
"47","itis","Cyclorrhapha",NA,NA,NA,NA,NA,NA,NA
"48","ncbi","Cyclorrhapha","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"49","itis","Piezodorus lituratus","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Piezodorus","Piezodorus lituratus"
"50","ncbi","Piezodorus lituratus","Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Piezodorus","Piezodorus lituratus"
"51","itis","Synema globosum","Animalia","Arthropoda","Euchelicerata","Araneae","Thomisidae","Synema","Synema globosum"
"52","ncbi","Synema globosum","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Synema","Synema globosum"
"53","itis","Berginus tamarisci",NA,NA,NA,NA,NA,NA,NA
"54","ncbi","Berginus tamarisci","Metazoa","Arthropoda","Insecta","Coleoptera","Mycetophagidae","Berginus","Berginus tamarisci"
"55","itis","Psallus","Animalia","Arthropoda","Insecta","Hemiptera","Miridae","Psallus",NA
"56","ncbi","Psallus","Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","Psallus",NA
"57","itis","Philodromidae","Animalia","Arthropoda","Euchelicerata","Araneae","Philodromidae",NA,NA
"58","ncbi","Philodromidae","Metazoa","Arthropoda","Arachnida","Araneae","Philodromidae",NA,NA
"59","itis","Phylloneta","Animalia","Arthropoda","Euchelicerata","Araneae","Theridiidae","Phylloneta",NA
"60","ncbi","Phylloneta","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Phylloneta",NA
"61","itis","Crematogaster scutellaris","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Crematogaster","Crematogaster scutellaris"
"62","ncbi","Crematogaster scutellaris","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Crematogaster","Crematogaster scutellaris"
"63","itis","Psocidae","Animalia","Arthropoda","Insecta","Psocodea","Psocidae",NA,NA
"64","ncbi","Psocidae","Metazoa","Arthropoda","Insecta","Psocoptera","Psocidae",NA,NA
"65","itis","Platystoma",NA,NA,NA,NA,NA,NA,NA
"66","ncbi","Platystoma","Metazoa","Arthropoda","Insecta","Diptera","Platystomatidae","Platystoma",NA
"67","itis","Apis mellifera","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis mellifera"
"68","ncbi","Apis mellifera","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis mellifera"
"69","itis","Mordellidae","Animalia","Arthropoda","Insecta","Coleoptera","Mordellidae",NA,NA
"70","ncbi","Mordellidae","Metazoa","Arthropoda","Insecta","Coleoptera","Mordellidae",NA,NA
"71","itis","Thomisus onustus","Animalia","Arthropoda","Euchelicerata","Araneae","Thomisidae","Thomisus","Thomisus onustus"
"72","ncbi","Thomisus onustus","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Thomisus","Thomisus onustus"
"73","itis","Araniella cucurbitina","Animalia","Arthropoda","Euchelicerata","Araneae","Araneidae","Araniella","Araniella cucurbitina"
"74","ncbi","Araniella cucurbitina","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","Araniella","Araniella cucurbitina"
"75","itis","Entedoninae",NA,NA,NA,NA,NA,NA,NA
"76","ncbi","Entedoninae","Metazoa","Arthropoda","Insecta","Hymenoptera","Eulophidae",NA,NA
"77","itis","Mesostigmata","Animalia","Arthropoda","Euchelicerata","Mesostigmata",NA,NA,NA
"78","ncbi","Mesostigmata","Metazoa","Arthropoda","Arachnida","Mesostigmata",NA,NA,NA
"79","itis","Bibionidae","Animalia","Arthropoda","Insecta","Diptera","Bibionidae",NA,NA
"80","ncbi","Bibionidae","Metazoa","Arthropoda","Insecta","Diptera","Bibionidae",NA,NA
"81","itis","Chironomidae","Animalia","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"82","ncbi","Chironomidae","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"83","itis","Gastrancistrus",NA,NA,NA,NA,NA,NA,NA
"84","ncbi","Gastrancistrus","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Gastrancistrus",NA
"85","itis","Drapetini",NA,NA,NA,NA,NA,NA,NA
"86","ncbi","Drapetini",NA,NA,NA,NA,NA,NA,NA
"87","itis","Thomisidae","Animalia","Arthropoda","Euchelicerata","Araneae","Thomisidae",NA,NA
"88","ncbi","Thomisidae","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae",NA,NA
"89","itis","Ichneumonoidea","Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"90","ncbi","Ichneumonoidea","Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"91","itis","Sciaroidea",NA,NA,NA,NA,NA,NA,NA
"92","ncbi","Sciaroidea","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"93","itis","Nematocera","Animalia","Arthropoda","Insecta","Diptera",NA,NA,NA
"94","ncbi","Nematocera","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"95","itis","Tanaemyrmex",NA,NA,NA,NA,NA,NA,NA
"96","ncbi","Tanaemyrmex",NA,NA,NA,NA,NA,NA,NA
"97","itis","Psocodea","Animalia","Arthropoda","Insecta","Psocodea",NA,NA,NA
"98","ncbi","Psocodea","Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"99","itis","Chironomoidea",NA,NA,NA,NA,NA,NA,NA
"100","ncbi","Chironomoidea","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"101","itis","Dasytini",NA,NA,NA,NA,NA,NA,NA
"102","ncbi","Dasytini",NA,NA,NA,NA,NA,NA,NA
"103","itis","Acaridia",NA,NA,NA,NA,NA,NA,NA
"104","ncbi","Acaridia",NA,NA,NA,NA,NA,NA,NA
"105","itis","Aphidoidea","Animalia","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"106","ncbi","Aphidoidea","Metazoa","Arthropoda","Insecta","Hemiptera",NA,NA,NA
"107","itis","Formicinae","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",NA,NA
"108","ncbi","Formicinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae",NA,NA
"109","itis","Geometridae","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae",NA,NA
"110","ncbi","Geometridae","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae",NA,NA
"111","itis","Thysanoptera","Animalia","Arthropoda","Insecta","Thysanoptera",NA,NA,NA
"112","ncbi","Thysanoptera","Metazoa","Arthropoda","Insecta","Thysanoptera",NA,NA,NA
"113","itis","Cheiracanthium","Animalia","Arthropoda","Euchelicerata","Araneae","Miturgidae","Cheiracanthium",NA
"114","ncbi","Cheiracanthium","Metazoa","Arthropoda","Arachnida","Araneae","Cheiracanthiidae","Cheiracanthium",NA
"115","itis","Philodromus","Animalia","Arthropoda","Euchelicerata","Araneae","Philodromidae","Philodromus",NA
"116","ncbi","Philodromus","Metazoa","Arthropoda","Arachnida","Araneae","Philodromidae","Philodromus",NA
"117","itis","Calliopum","Animalia","Arthropoda","Insecta","Diptera","Lauxaniidae","Calliopum",NA
"118","ncbi","Calliopum","Metazoa","Arthropoda","Insecta","Diptera","Lauxaniidae","Calliopum",NA
"119","itis","Empidoidea",NA,NA,NA,NA,NA,NA,NA
"120","ncbi","Empidoidea","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"121","itis","Braconidae","Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"122","ncbi","Braconidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"123","itis","Lepidoptera","Animalia","Arthropoda","Insecta","Lepidoptera",NA,NA,NA
"124","ncbi","Lepidoptera","Metazoa","Arthropoda","Insecta","Lepidoptera",NA,NA,NA
"125","itis","Anotylus","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Anotylus",NA
"126","ncbi","Anotylus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Anotylus",NA
"127","itis","Macrosaccus robiniella",NA,NA,NA,NA,NA,NA,NA
"128","ncbi","Macrosaccus robiniella","Metazoa","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Macrosaccus","Macrosaccus robiniella"
"129","itis","Parmulini","Animalia","Arthropoda","Insecta","Coleoptera","Corylophidae",NA,NA
"130","ncbi","Parmulini",NA,NA,NA,NA,NA,NA,NA
"131","itis","Diptera","Animalia","Arthropoda","Insecta","Diptera",NA,NA,NA
"132","ncbi","Diptera","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"133","itis","Gracillariidae","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae",NA,NA
"134","ncbi","Gracillariidae","Metazoa","Arthropoda","Insecta","Lepidoptera","Gracillariidae",NA,NA
"135","itis","Araneae","Animalia","Arthropoda","Euchelicerata","Araneae",NA,NA,NA
"136","ncbi","Araneae","Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA
"137","itis","Coleoptera","Animalia","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"138","ncbi","Coleoptera","Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"139","itis","Guanchia pubescens",NA,NA,NA,NA,NA,NA,NA
"140","ncbi","Guanchia pubescens","Metazoa","Arthropoda","Insecta","Dermaptera","Forficulidae","Guanchia","Guanchia pubescens"
"141","itis","Gastropoda","Animalia","Mollusca","Gastropoda",NA,NA,NA,NA
"142","ncbi","Gastropoda","Metazoa","Mollusca","Gastropoda",NA,NA,NA,NA
"143","itis","Salticinae",NA,NA,NA,NA,NA,NA,NA
"144","ncbi","Salticinae","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae",NA,NA
"145","itis","Piezodorus","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Piezodorus",NA
"146","ncbi","Piezodorus","Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Piezodorus",NA
"147","itis","Araneomorphae",NA,NA,NA,NA,NA,NA,NA
"148","ncbi","Araneomorphae","Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA
"149","itis","Entelegynae",NA,NA,NA,NA,NA,NA,NA
"150","ncbi","Entelegynae","Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA
"151","itis","Scelionidae","Animalia","Arthropoda","Insecta","Hymenoptera","Scelionidae",NA,NA
"152","ncbi","Scelionidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Scelionidae",NA,NA
"153","itis","Pteromalidae","Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae",NA,NA
"154","ncbi","Pteromalidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae",NA,NA
"155","itis","Araniella","Animalia","Arthropoda","Euchelicerata","Araneae","Araneidae","Araniella",NA
"156","ncbi","Araniella","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","Araniella",NA
"157","itis","Camponotus piceus","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus piceus"
"158","ncbi","Camponotus piceus","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus piceus"
"159","itis","Ceraphronidae","Animalia","Arthropoda","Insecta","Hymenoptera","Ceraphronidae",NA,NA
"160","ncbi","Ceraphronidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Ceraphronidae",NA,NA
"161","itis","Neoscona subfusca","Animalia","Arthropoda","Euchelicerata","Araneae","Araneidae","Neoscona","Neoscona subfusca"
"162","ncbi","Neoscona subfusca","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae","Neoscona","Neoscona subfusca"
"163","itis","Obolodiplosis","Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","Obolodiplosis",NA
"164","ncbi","Obolodiplosis","Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae","Obolodiplosis",NA
"165","itis","Conoidasida","Protozoa","Apicomplexa","Conoidasida",NA,NA,NA,NA
"166","ncbi","Conoidasida",NA,"Apicomplexa","Conoidasida",NA,NA,NA,NA
"167","itis","Phaneroptera nana","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Phaneroptera","Phaneroptera nana"
