"","name"
"1","Harpalus distinguendus"
"2","Hymenoptera"
"3","Messor"
"4","Phaeocedus braccatus"
"5","Oxytelini"
"6","Oligota"
"7","Linyphiidae"
"8","Oxypoda"
"9","Carpophilus"
"10","Araneae"
"11","Coleoptera"
"12","Staphylinidae"
"13","Leptaleus rodriguesi"
"14","Atheta"
"15","Aleocharinae"
"16","Pheidole pallidula"
"17","Psocoptera"
"18","Coprochara"
"19","Alaobia scapularis"
"20","Cicadellidae"
"21","Philonthina"
"22","Harpalus dispar"
"23","Atomaria"
"24","Phalangiinae"
"25","Aphodius"
"26","Chrysomelidae"
"27","Calathus fuscipes"
"28","Enchytraeidae"
"29","Gnaphosoidea"
"30","Athous"
"31","Lathrobiina"
"32","Julidae"
"33","Nitidulidae"
"34","Lycosidae"
"35","Diptera"
"36","Zodarion"
"37","Gastropoda"
"38","Epuraea ocularis"
"39","Hirticomus"
"40","Tachyporus"
"41","Armadillidium vulgare"
"42","Deroceras"
"43","Rhyzobius"
"44","Gnaphosidae"
"45","Microlestes"
"46","Licinus punctatulus"
"47","Solenopsis"
"48","Astenus"
"49","Harpalus attenuatus"
"50","Cryptophagidae"
"51","Salticidae"
"52","Aphidoidea"
"53","Pyrrhocoris apterus"
"54","Apion"
"55","Arionidae"
"56","Asagena"
"57","Lepidoptera"
"58","Histeridae"
"59","Arion"
"60","Thomisidae"
"61","Dermestidae"
"62","Thysanoptera"
"63","Pisaura mirabilis"
"64","Plagiolepis pygmaea"
"65","Hemiptera"
"66","Phalangioidea"
"67","Acari"
"68","Elateridae"
"69","Synema globosum"
"70","Calathus melanocephalus"
"71","Corticariinae"
"72","Polyphaga"
"73","Psylloidea"
"74","Xysticus"
"75","Porcellio laevis"
"76","Alopecosa albofasciata"
"77","Isopoda"
"78","Stygnocoris"
"79","Harpalus affinis"
"80","Rhyzobius litura"
"81","Corylophidae"
"82","Cercidia prominens"
"83","Anotylus"
"84","Anthicinae"
"85","Tapinoma"
"86","Haploembia"
"87","Onthophagus"
"88","Poecilus sericeus"
"89","thripidae"
"90","Cataglyphis pallidula"
"91","Coccinella septempunctata"
"92","Coccinellidae"
"93","Brachinus crepitans"
"94","Apidae"
"95","Anchicera"
"96","Euscelis"
"97","Cucujoidea"
"98","Anthicidae"
"99","Geophilomorpha"
"100","Latridiidae"
"101","Erigone"
"102","Armadillidium"
"103","Rhyzobius chrysomeloides"
"104","Euborellia moesta"
"105","Typhlocybinae"
"106","Plagiolepis"
"107","Alopecosa"
"108","Formicidae"
"109","Apoidea"
"110","Eucinetus haemorrhoidalis"
"111","Tychius medicaginis"
"112","Himacerus mirmicoides"
"113","Harpalus serripes"
"114","Pangus scaritides"
"115","Harpalus decipiens"
"116","Insecta"
"117","Agriolimacidae"
"118","Dermaptera"
"119","Sepedophilus"
"120","Odiellus troguloides"
"121","Opiliones"
"122","Orthoptera"
"123","Priocnemis propinqua"
"124","Harpalus luteicornis"
"125","Scymnus frontalis"
"126","Gastrophysa"
"127","Camarota"
"128","Nomisia"
"129","Deltocephalinae"
"130","Alticini"
"131","Cataglyphis piliscapa"
"132","Hippodamia variegata"
"133","Chalcoscirtus"
"134","Hypurus bertrandi"
"135","Chorthippus brunneus"
"136","Xantholinus"
"137","Omocestus rufipes"
"138","Philodromidae"
"139","Phalangium"
"140","Pseudoophonus rufipes"
"141","Agalliina"
"142","Paralimnina"
"143","Tachyporinae"
"144","Harpalus atratus"
"145","Armadillidium arcangelii"
"146","Drasterius"
"147","Omophlus"
"148","Trechus quadristriatus"
"149","Parmulini"
"150","Amara montivaga"
"151","Dermestes"
"152","Cryptocephalinae"
"153","Athetini"
"154","Aleochara"
"155","Nitidulini"
"156","Pezotettix giornae"
"157","Diplopoda"
"158","Messor structor"
"159","Pseudoscorpiones"
"160","Entelegynae"
"161","Camponotus"
"162","Pachytychius"
"163","Macrosiphini"
"164","Malvaevora"
"165","Himacerus"
"166","Loboptera canariensis"
"167","Stelidota geminata"
"168","Ophonus cribricollis"
"169","Plinthisus"
"170","Zyras"
"171","Entiminae"
"172","Kalama tricornis"
"173","Xantholinini"
"174","Tachys bistriatus"
"175","Lycosoidea"
"176","Epuraea"
"177","Berytidae"
"178","Geotomini"
"179","Lasius"
"180","Lucasius pallidus"
"181","Camponotus piceus"
"182","Thomisinae"
"183","Basalys"
"184","Pteromalini"
"185","Myrmicinae"
"186","Ocypus"
"187","Pezotettix"
"188","Pheidole"
"189","Runcinia grammica"
"190","Curculionidae"
"191","Olibrus"
"192","Camponotus fallax"
"193","Lucasius"
"194","Hogna radiata"
"195","Saitis"
"196","Macroscytus brunneus"
"197","Trichoptera"
"198","Aphrodes"
"199","Athysanini"
"200","Staphylinini"
"201","Carterus fulvipes"
"202","Guanchia pubescens"
"203","Ceraphronidae"
"204","Enicopus"
"205","Euophrys sulphurea"
"206","Calathus ambiguus"
"207","Phalangiidae"
"208","Nala lividipes"
"209","Dysdera"
"210","Tachydromiinae"
"211","Onthophagini"
"212","Salticinae"
"213","Thanatus"
"214","Lepismatidae"
"215","Messor barbarus"
"216","Rhipicephalus"
"217","Chlaenius decipiens"
"218","Rhyssemina"
"219","Thomisoidea"
