"","db","query","kingdom","phylum","class","order","family","genus","species"
"10","ncbi","Oxytelini",NA,NA,NA,NA,NA,NA,NA
"42","ncbi","Philonthina",NA,NA,NA,NA,NA,NA,NA
"58","ncbi","Gnaphosoidea",NA,NA,NA,NA,NA,NA,NA
"62","ncbi","Lathrobiina",NA,NA,NA,NA,NA,NA,NA
"78","ncbi","Hirticomus",NA,NA,NA,NA,NA,NA,NA
"180","ncbi","Cataglyphis pallidula",NA,NA,NA,NA,NA,NA,NA
"190","ncbi","Anchicera",NA,NA,NA,NA,NA,NA,NA
"226","ncbi","Pangus scaritides",NA,NA,NA,NA,NA,NA,NA
"244","ncbi","Priocnemis propinqua",NA,NA,NA,NA,NA,NA,NA
"280","ncbi","Agalliina",NA,NA,NA,NA,NA,NA,NA
"282","ncbi","Paralimnina",NA,NA,NA,NA,NA,NA,NA
"308","ncbi","Nitidulini",NA,NA,NA,NA,NA,NA,NA
"354","ncbi","Geotomini",NA,NA,NA,NA,NA,NA,NA
"362","ncbi","Thomisinae",NA,NA,NA,NA,NA,NA,NA
"366","ncbi","Pteromalini",NA,NA,NA,NA,NA,NA,NA
"432","ncbi","Chlaenius decipiens",NA,NA,NA,NA,NA,NA,NA
"434","ncbi","Rhyssemina",NA,NA,NA,NA,NA,NA,NA
"436","ncbi","Thomisoidea",NA,NA,NA,NA,NA,NA,NA
