"","db","query","kingdom","phylum","class","order","family","genus","species"
"2","ncbi","Acaridida",NA,NA,NA,NA,NA,NA,NA
"4","ncbi","Gamasidae",NA,NA,NA,NA,NA,NA,NA
"82","ncbi","Mesaphorura sp",NA,NA,NA,NA,NA,NA,NA
"98","ncbi","Pseudosinella decipiens",NA,NA,NA,NA,NA,NA,NA
"100","ncbi","Pseudanorophorus isotoma",NA,NA,NA,NA,NA,NA,NA
"110","ncbi","Arrhopalites gr.caecus",NA,NA,NA,NA,NA,NA,NA
"114","ncbi","Seira sp",NA,NA,NA,NA,NA,NA,NA
"116","ncbi","Isotomurus sp",NA,NA,NA,NA,NA,NA,NA
"120","ncbi","Tullbergidae",NA,NA,NA,NA,NA,NA,NA
"140","ncbi","Entomobrya aff.multifasciata",NA,NA,NA,NA,NA,NA,NA
