query;kingdom;phylum;class;order;family;genus;species;reference;date
Acaridida;Animalia;Arthropoda;Arachnida;NA;NA;NA;NA;wikipedia;25/04/2024
Gamasidae;Animalia;Arthropoda;Arachnida;Mesostigmata;Parasitidae;NA;NA;wikipedia;25/04/2024
Mesaphorura sp;Animalia;Arthropoda;Collembola;Poduromorpha;Tullbergiidae;Mesaphorura;NA;wikipedia;25/04/2024
Pseudosinella decipiens;Animalia;Arthropoda;Collembola;Entomobryomorpha;Lepidocyrtidae;Pseudosinella;Pseudosinella decipiens;wikipedia;25/04/2024
Pseudonorophorus isotoma;Animalia;Arthropoda;Collembola;Entomobryomorpha;Isotomidae;Pseudonorophorus;Pseudonorophorus isotoma;GBIF;25/04/2024
Arrhopalites gr.caecus;Animalia;Arthropoda;Collembola;Symphypleona;Arrhopalitidae;Arrhopalites;Arrhopalites gr.caecus;GBIF;25/04/2024
Seira sp;Animalia;Arthropoda;Collembola;Entomobryomorpha;Entomobryidae;Seira;NA;boldsystems;25/04/2024
Isotomurus sp;Animalia;Arthropoda;Collembola;Entomobryomorpha;Isotomidae;Isotomurus;NA;wikipedia;25/04/2024
Tullbergidae;Animalia;Arthropoda;Collembola;Poduromorpha;Tullbergiidae;NA;NA;wikipedia;25/04/2024
Entomobrya aff.multifasciata;Animalia;Arthropoda;Collembola;Entomobryomorpha;Entomobryidae;Entomobrya;Entomobrya multifasciata;GBIF;25/04/2024
