"","name"
"1","Acrobeles"
"2","Acrobeloides"
"3","Aporcelaimidae"
"4","Aprutides"
"5","Cervidellus"
"6","Chiloplacus"
"7","Eumonhystera"
"8","Anaplectus"
"9","Plectus"
"10","Tylocephalus"
"11","Panagrolaimus"
"12","Rhabditidae"
"13","Rhabdolaimus"
"14","Prismatolaimus"
"15","Aphelenchus"
"16","Aphelenchoides"
"17","Diphtherophora"
"18","Mononchus"
"19","Microdorylaimus"
"20","Nygolaimidae"
"21","Discolaimus"
"22","Oxydirus"
"23","Eudorylaimus"
"24","Pratylenchus"
"25","Prodorylaimus"
"26","Helicotylenchus"
"27","Trichodorus"
"28","Tylenchorhynchus"
"29","Tylenchidae"
"30","Mylonchulus"
