"code_uhbr","finest_name","date","method","community","abundance"
"AF_C_B2_R5","11-24::Cluster_1722","17/04/2023","metabarcoding","bacteria",77
"AF_T_B2_R5","11-24::Cluster_1722","17/04/2023","metabarcoding","bacteria",96
"TP_T_B3_R1","11-24::Cluster_1722","17/04/2023","metabarcoding","bacteria",121
"TP_T_B2_R5","11-24::Cluster_1867","17/04/2023","metabarcoding","bacteria",62
"AF_T_B3_R4","11-24::Cluster_2936","17/04/2023","metabarcoding","bacteria",80
"TP_T_B3_R1","11-24::Cluster_4657","17/04/2023","metabarcoding","bacteria",95
"AF_T_B1_R5","11-24::Cluster_784","17/04/2023","metabarcoding","bacteria",59
"MC_C_B1_R1","11-24::Cluster_784","17/04/2023","metabarcoding","bacteria",93
"MC_C_B1_R3","11-24::Cluster_784","17/04/2023","metabarcoding","bacteria",96
"MC_C_B1_R5","11-24::Cluster_784","17/04/2023","metabarcoding","bacteria",57
"TP_T_B1_R1","11-24::Cluster_784","17/04/2023","metabarcoding","bacteria",67
"TP_T_B2_R3","11-24::Cluster_784","17/04/2023","metabarcoding","bacteria",78
"TP_T_B2_R4","11-24::Cluster_784","17/04/2023","metabarcoding","bacteria",63
"TP_T_B3_R3","67-14::Cluster_1073","17/04/2023","metabarcoding","bacteria",120
"MC_C_B3_R5","67-14::Cluster_1352","17/04/2023","metabarcoding","bacteria",61
"TP_T_B1_R2","67-14::Cluster_1352","17/04/2023","metabarcoding","bacteria",70
"TP_T_B1_R4","67-14::Cluster_1352","17/04/2023","metabarcoding","bacteria",94
"AF_T_B1_R1","67-14::Cluster_1544","17/04/2023","metabarcoding","bacteria",108
"TP_T_B1_R2","67-14::Cluster_1544","17/04/2023","metabarcoding","bacteria",56
"TP_T_B1_R4","67-14::Cluster_1544","17/04/2023","metabarcoding","bacteria",91
"TP_T_B1_R2","67-14::Cluster_1631","17/04/2023","metabarcoding","bacteria",92
"TP_T_B1_R3","67-14::Cluster_1631","17/04/2023","metabarcoding","bacteria",65
"TP_T_B1_R4","67-14::Cluster_1631","17/04/2023","metabarcoding","bacteria",153
"TP_T_B3_R2","67-14::Cluster_1724","17/04/2023","metabarcoding","bacteria",101
"MC_C_B2_R2","67-14::Cluster_2273","17/04/2023","metabarcoding","bacteria",128
"MC_C_B2_R5","67-14::Cluster_2273","17/04/2023","metabarcoding","bacteria",95
"AF_C_B3_R1","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",601
"AF_C_B3_R2","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",381
"AF_C_B3_R3","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",299
"AF_C_B3_R4","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",389
"AF_C_B3_R5","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",74
"AF_T_B1_R3","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",78
"AF_T_B2_R2","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",153
"AF_T_B2_R5","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",76
"AF_T_B3_R1","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",594
"AF_T_B3_R2","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",571
"AF_T_B3_R3","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",284
"AF_T_B3_R4","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",186
"AF_T_B3_R5","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",77
"MC_C_B2_R1","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",83
"MC_C_B2_R2","67-14::Cluster_25","17/04/2023","metabarcoding","bacteria",211
