"code_uhbr","finest_name","abundance","date","method","community"
"AF_C_B1_R1","Sphingomonas::Cluster_2",685,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Adhaeribacter::Cluster_60",207,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Sphingomonas::Cluster_61",99,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Micrococcaceae::Cluster_3",1282,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","bacteriap25::Cluster_122",87,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Angustibacter::Cluster_62",86,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Bacillus::Cluster_4",374,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Bacillus::Cluster_65",83,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Microvirga::Cluster_6",584,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Bacillus::Cluster_123",313,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Xanthobacteraceae::Cluster_5",394,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","RB41::Cluster_7",404,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Gemmatimonadaceae::Cluster_73",106,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Acidibacter::Cluster_34",107,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Sphingomonas::Cluster_119",106,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Skermanella::Cluster_28",202,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Bryobacter::Cluster_87",119,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Microvirga::Cluster_9",347,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Candidatus Udaeobacter::Cluster_67",69,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Cellvibrio::Cluster_35",106,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Phenylobacterium::Cluster_100",75,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Sphingomonas::Cluster_95",176,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Luteimonas::Cluster_88",81,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Xanthobacteraceae::Cluster_40",118,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Blastocatellaceae::Cluster_24",209,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Skermanella::Cluster_17",365,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Sphingomonas::Cluster_15",286,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Brevundimonas::Cluster_101",129,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Skermanella::Cluster_11",311,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Lysobacter::Cluster_94",136,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Candidatus Udaeobacter::Cluster_76",150,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Microvirga::Cluster_42",68,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Aliihoeflea::Cluster_37",280,"17/04/2023","metabarcoding","bacteria"
"AF_C_B1_R1","Sandaracinaceae::Cluster_31",136,"17/04/2023","metabarcoding","bacteria"
