"code_uhbr","finest_name","abundance","date","method","community"
"AF_C_B1_R1","Semifissispora natalis::Cluster_56",45,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Nectriaceae::Cluster_38",23,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Tylospora::Cluster_2",1432,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Neodendryphiella mali::Cluster_57",27,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Pleosporales::Cluster_21",41,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Alternaria iridiaustralis::Cluster_3",448,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Ascomycota::Cluster_75",107,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Acremonium furcatum::Cluster_58",148,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Alternaria subcucurbitae::Cluster_22",52,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Nectriaceae::Cluster_4",1894,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Pyronemataceae::Cluster_76",27,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Dichotomophthora::Cluster_23",146,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Colletotrichum gloeosporioides::Cluster_5",667,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Darksidea epsilon::Cluster_77",41,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Fungi::Cluster_24",41,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Pleosporales::Cluster_6",473,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Humicola::Cluster_7",83,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Coprinellus curtus::Cluster_101",24,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Colletotrichum spaethianum::Cluster_27",270,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Ascobolaceae::Cluster_102",31,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Didymella::Cluster_9",220,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Didymella::Cluster_81",94,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Ascobolus::Cluster_46",332,"17/04/2023","metabarcoding","fungi"
"AF_C_B1_R1","Fungi::Cluster_103",21,"17/04/2023","metabarcoding","fungi"
