"code_uhbr","finest_name","abundance","date","method","community"
"MC_C_B3_R3","Abia nitens",1,"17/04/2023","pan_trap","macrofauna_aerial"
"AF_T_B3_R5","Acanthoscelides",1,"14/03/2023","pan_trap","macrofauna_aerial"
"TP_T_B3_R2","Acrididae",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B1_R5","Aglaostigma aucupariae",1,"14/03/2023","pan_trap","macrofauna_aerial"
"TP_T_B2_R2","Aglaostigma aucupariae",2,"14/03/2023","pan_trap","macrofauna_aerial"
"AF_C_B2_R3","Aglaostigma aucupariae",1,"14/03/2023","pan_trap","macrofauna_aerial"
"MC_C_B2_R2","Agriotes",1,"17/04/2023","pan_trap","macrofauna_aerial"
"MC_C_B3_R1","Agriotes",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B1_R1","Agriotes",1,"17/04/2023","pan_trap","macrofauna_aerial"
"AF_T_B1_R2","Agriotes",1,"17/04/2023","pan_trap","macrofauna_aerial"
"AF_T_B2_R5","Agriotes",1,"17/04/2023","pan_trap","macrofauna_aerial"
"AF_C_B3_R4","Allograpta",1,"17/04/2023","pan_trap","macrofauna_aerial"
"AF_C_B1_R3","Altica",1,"14/03/2023","pan_trap","macrofauna_aerial"
"AF_C_B3_R5","Alticini",1,"14/03/2023","pan_trap","macrofauna_aerial"
"MC_C_B1_R4","Alticini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"MC_C_B1_R5","Alticini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"AF_T_B3_R4","Alticini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B3_R4","Alysiinae",1,"14/03/2023","pan_trap","macrofauna_aerial"
"TP_T_B1_R2","Alysiini",1,"14/03/2023","pan_trap","macrofauna_aerial"
"TP_T_B1_R4","Alysiini",1,"14/03/2023","pan_trap","macrofauna_aerial"
"TP_T_B2_R3","Alysiini",1,"14/03/2023","pan_trap","macrofauna_aerial"
"TP_T_B2_R4","Alysiini",1,"14/03/2023","pan_trap","macrofauna_aerial"
"TP_T_B2_R5","Alysiini",1,"14/03/2023","pan_trap","macrofauna_aerial"
"AF_C_B1_R4","Alysiini",1,"14/03/2023","pan_trap","macrofauna_aerial"
"AF_T_B1_R5","Alysiini",1,"14/03/2023","pan_trap","macrofauna_aerial"
"TP_T_B2_R5","Alysiini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B2_R5","Alysiini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B2_R5","Alysiini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B3_R1","Alysiini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B3_R1","Alysiini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B3_R2","Alysiini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B3_R3","Alysiini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B3_R3","Alysiini",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B2_R2","Amara aenea",1,"14/03/2023","pan_trap","macrofauna_aerial"
"MC_C_B2_R5","Amara aenea",1,"17/04/2023","pan_trap","macrofauna_aerial"
"TP_T_B2_R1","Amara aenea",1,"17/04/2023","pan_trap","macrofauna_aerial"
"AF_T_B2_R3","Ametastegia glabrata",1,"14/03/2023","pan_trap","macrofauna_aerial"
"AF_C_B3_R5","Ametastegia glabrata",1,"14/03/2023","pan_trap","macrofauna_aerial"
"TP_T_B2_R1","Ametastegia glabrata",1,"17/04/2023","pan_trap","macrofauna_aerial"
"AF_T_B2_R3","Ametastegia glabrata",1,"17/04/2023","pan_trap","macrofauna_aerial"
"AF_T_B3_R3","Ametastegia glabrata",1,"17/04/2023","pan_trap","macrofauna_aerial"
