"code_uhbr","finest_name","abundance","date","method","community"
"AF_T_B1_R2","Thripinae",121,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Thrips",17,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Hemiptera",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Omophlus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Thripinae",91,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Thrips",2,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Macrosiphoniella",2,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Megabruchidius",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Hymenoptera",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Dasytes",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Aphis craccivora",20,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Thripinae",63,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Thrips",17,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R2","Anaspis",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Aphis craccivora",26,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Thripinae",9,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Macrosiphoniella",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Hymenoptera",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Ectopsocus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Aphididae",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Aphis craccivora",5,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Thripinae",59,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Thrips",11,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Megabruchidius",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Omophlus",3,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Ectopsocus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Thripinae",17,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Thrips",3,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Ectopsocus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R3","Plagiolepis pygmaea",1,"02/05/2023","inflorescence","macrofauna_foliar"
"AF_T_B1_R4","Aphis craccivora",4,"02/05/2023","inflorescence","macrofauna_foliar"
