"","code_uhbr","name","abundance","date","method","community"
"1","AF_T_B1_R1","Thripinae",121,"02/05/2023","inflorescence","macrofauna_foliar"
"2","AF_T_B1_R1","Thrips",17,"02/05/2023","inflorescence","macrofauna_foliar"
"3","AF_T_B1_R1","Hemiptera",1,"02/05/2023","inflorescence","macrofauna_foliar"
"4","AF_T_B1_R1","Omophlus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"5","AF_T_B1_R1","Thripinae",91,"02/05/2023","inflorescence","macrofauna_foliar"
"6","AF_T_B1_R1","Thrips",2,"02/05/2023","inflorescence","macrofauna_foliar"
"7","AF_T_B1_R1","Macrosiphoniella",2,"02/05/2023","inflorescence","macrofauna_foliar"
"8","AF_T_B1_R1","Megabruchidius",1,"02/05/2023","inflorescence","macrofauna_foliar"
"9","AF_T_B1_R1","Hymenoptera",1,"02/05/2023","inflorescence","macrofauna_foliar"
"10","AF_T_B1_R1","Dasytes",1,"02/05/2023","inflorescence","macrofauna_foliar"
"11","AF_T_B1_R1","Aphis craccivora",20,"02/05/2023","inflorescence","macrofauna_foliar"
"12","AF_T_B1_R1","Thripinae",63,"02/05/2023","inflorescence","macrofauna_foliar"
"13","AF_T_B1_R1","Thrips",17,"02/05/2023","inflorescence","macrofauna_foliar"
"14","AF_T_B1_R1","Anaspis",1,"02/05/2023","inflorescence","macrofauna_foliar"
"15","AF_T_B1_R2","Aphis craccivora",26,"02/05/2023","inflorescence","macrofauna_foliar"
"16","AF_T_B1_R2","Thripinae",9,"02/05/2023","inflorescence","macrofauna_foliar"
"17","AF_T_B1_R2","Macrosiphoniella",1,"02/05/2023","inflorescence","macrofauna_foliar"
"18","AF_T_B1_R2","Hymenoptera",1,"02/05/2023","inflorescence","macrofauna_foliar"
"19","AF_T_B1_R2","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"20","AF_T_B1_R2","Ectopsocus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"21","AF_T_B1_R2","Aphididae",1,"02/05/2023","inflorescence","macrofauna_foliar"
"22","AF_T_B1_R2","Aphis craccivora",5,"02/05/2023","inflorescence","macrofauna_foliar"
"23","AF_T_B1_R2","Thripinae",59,"02/05/2023","inflorescence","macrofauna_foliar"
"24","AF_T_B1_R2","Thrips",11,"02/05/2023","inflorescence","macrofauna_foliar"
"25","AF_T_B1_R2","Megabruchidius",1,"02/05/2023","inflorescence","macrofauna_foliar"
"26","AF_T_B1_R2","Omophlus",3,"02/05/2023","inflorescence","macrofauna_foliar"
"27","AF_T_B1_R2","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"28","AF_T_B1_R2","Ectopsocus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"29","AF_T_B1_R2","Thripinae",17,"02/05/2023","inflorescence","macrofauna_foliar"
"30","AF_T_B1_R2","Thrips",3,"02/05/2023","inflorescence","macrofauna_foliar"
"31","AF_T_B1_R2","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"32","AF_T_B1_R2","Ectopsocus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"33","AF_T_B1_R2","Plagiolepis pygmaea",1,"02/05/2023","inflorescence","macrofauna_foliar"
"34","AF_T_B1_R3","Aphis craccivora",4,"02/05/2023","inflorescence","macrofauna_foliar"
"35","AF_T_B1_R3","Thripinae",60,"02/05/2023","inflorescence","macrofauna_foliar"
"36","AF_T_B1_R3","Thrips",10,"02/05/2023","inflorescence","macrofauna_foliar"
"37","AF_T_B1_R3","Chalcidoidea",1,"02/05/2023","inflorescence","macrofauna_foliar"
"38","AF_T_B1_R3","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"39","AF_T_B1_R3","Ectopsocus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"40","AF_T_B1_R3","Dasytes",1,"02/05/2023","inflorescence","macrofauna_foliar"
"41","AF_T_B1_R3","Thripinae",115,"02/05/2023","inflorescence","macrofauna_foliar"
"42","AF_T_B1_R3","Thrips",10,"02/05/2023","inflorescence","macrofauna_foliar"
"43","AF_T_B1_R3","Chloropidae",1,"02/05/2023","inflorescence","macrofauna_foliar"
"44","AF_T_B1_R3","Corticariinae",1,"02/05/2023","inflorescence","macrofauna_foliar"
"45","AF_T_B1_R3","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"46","AF_T_B1_R3","Ectopsocus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"47","AF_T_B1_R3","Dasytes",1,"02/05/2023","inflorescence","macrofauna_foliar"
"48","AF_T_B1_R3","Thripinae",43,"02/05/2023","inflorescence","macrofauna_foliar"
"49","AF_T_B1_R3","Thrips",5,"02/05/2023","inflorescence","macrofauna_foliar"
"50","AF_T_B1_R3","Anaspidinae",1,"02/05/2023","inflorescence","macrofauna_foliar"
"51","AF_T_B1_R3","Chalcidoidea",1,"02/05/2023","inflorescence","macrofauna_foliar"
"52","AF_T_B1_R4","Thripinae",98,"02/05/2023","inflorescence","macrofauna_foliar"
"53","AF_T_B1_R4","Thrips",12,"02/05/2023","inflorescence","macrofauna_foliar"
"54","AF_T_B1_R4","Thripinae",68,"02/05/2023","inflorescence","macrofauna_foliar"
"55","AF_T_B1_R4","Hemiptera",1,"02/05/2023","inflorescence","macrofauna_foliar"
"56","AF_T_B1_R4","Dasytes",1,"02/05/2023","inflorescence","macrofauna_foliar"
"57","AF_T_B1_R4","Thripinae",123,"02/05/2023","inflorescence","macrofauna_foliar"
"58","AF_T_B1_R4","Thrips",20,"02/05/2023","inflorescence","macrofauna_foliar"
"59","AF_T_B1_R4","Cicadellidae",1,"02/05/2023","inflorescence","macrofauna_foliar"
"60","AF_T_B1_R4","Bruchinae",1,"02/05/2023","inflorescence","macrofauna_foliar"
"61","AF_T_B1_R4","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"62","AF_T_B1_R4","Ectopsocus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"63","AF_T_B1_R5","Thripinae",93,"02/05/2023","inflorescence","macrofauna_foliar"
"64","AF_T_B1_R5","Thrips",10,"02/05/2023","inflorescence","macrofauna_foliar"
"65","AF_T_B1_R5","Thripinae",66,"02/05/2023","inflorescence","macrofauna_foliar"
"66","AF_T_B1_R5","Thrips",6,"02/05/2023","inflorescence","macrofauna_foliar"
"67","AF_T_B1_R5","Macrosiphoniella",4,"02/05/2023","inflorescence","macrofauna_foliar"
"68","AF_T_B1_R5","Thripinae",76,"02/05/2023","inflorescence","macrofauna_foliar"
"69","AF_T_B1_R5","Thrips",1,"02/05/2023","inflorescence","macrofauna_foliar"
"70","AF_T_B2_R1","Aphis craccivora",43,"02/05/2023","inflorescence","macrofauna_foliar"
"71","AF_T_B2_R1","Thripinae",122,"02/05/2023","inflorescence","macrofauna_foliar"
"72","AF_T_B2_R1","Thrips",27,"02/05/2023","inflorescence","macrofauna_foliar"
"73","AF_T_B2_R1","Macrosiphoniella",1,"02/05/2023","inflorescence","macrofauna_foliar"
"74","AF_T_B2_R1","Thripinae",44,"02/05/2023","inflorescence","macrofauna_foliar"
"75","AF_T_B2_R1","Thrips",11,"02/05/2023","inflorescence","macrofauna_foliar"
"76","AF_T_B2_R1","Chalcidoidea",1,"02/05/2023","inflorescence","macrofauna_foliar"
"77","AF_T_B2_R1","Aphididae",1,"02/05/2023","inflorescence","macrofauna_foliar"
"78","AF_T_B2_R1","Runcinia grammica",1,"02/05/2023","inflorescence","macrofauna_foliar"
"79","AF_T_B2_R1","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"80","AF_T_B2_R1","Ectopsocus",1,"02/05/2023","inflorescence","macrofauna_foliar"
"81","AF_T_B2_R1","Aphis craccivora",6,"02/05/2023","inflorescence","macrofauna_foliar"
"82","AF_T_B2_R1","Thripinae",99,"02/05/2023","inflorescence","macrofauna_foliar"
"83","AF_T_B2_R1","Thrips",22,"02/05/2023","inflorescence","macrofauna_foliar"
"84","AF_T_B2_R1","Apioninae",1,"02/05/2023","inflorescence","macrofauna_foliar"
"85","AF_T_B2_R1","Pterygota",1,"02/05/2023","inflorescence","macrofauna_foliar"
"86","AF_T_B2_R2","Thripinae",147,"02/05/2023","inflorescence","macrofauna_foliar"
"87","AF_T_B2_R2","Thrips",34,"02/05/2023","inflorescence","macrofauna_foliar"
"88","AF_T_B2_R2","Bruchinae",1,"02/05/2023","inflorescence","macrofauna_foliar"
"89","AF_T_B2_R2","Mirini",1,"02/05/2023","inflorescence","macrofauna_foliar"
"90","AF_T_B2_R2","Runcinia grammica",1,"02/05/2023","inflorescence","macrofauna_foliar"
"91","AF_T_B2_R2","Thripinae",87,"02/05/2023","inflorescence","macrofauna_foliar"
"92","AF_T_B2_R2","Thrips",14,"02/05/2023","inflorescence","macrofauna_foliar"
"93","AF_T_B2_R2","Macrosiphoniella",3,"02/05/2023","inflorescence","macrofauna_foliar"
"94","AF_T_B2_R2","Cyclorrhapha",1,"02/05/2023","inflorescence","macrofauna_foliar"
"95","AF_T_B2_R2","Thripinae",88,"02/05/2023","inflorescence","macrofauna_foliar"
