"code_uhbr","finest_name","abundance","date","method","community"
"MC_C_B1_R1","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R1","Hymenoptera",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R1","Messor",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R1","Phaeocedus braccatus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R1","Oxytelini",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R1","Oligota",5,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R1","Linyphiidae",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R1","Oxypoda",2,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R1","Carpophilus",4,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R2","Araneae",2,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R2","Coleoptera",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R2","Hymenoptera",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R2","Staphylinidae",3,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R3","Messor",2,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R3","Oxytelini",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R3","Leptaleus rodriguesi",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R3","Linyphiidae",3,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R3","Carpophilus",2,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R4","Hymenoptera",3,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R4","Messor",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R4","Atheta",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R4","Oligota",2,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R4","Leptaleus rodriguesi",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R4","Linyphiidae",3,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R4","Aleocharinae",2,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R4","Carpophilus",3,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R5","Hymenoptera",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R5","Messor",3,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R5","Pheidole pallidula",2,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R5","Psocoptera",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R5","Coprochara",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R5","Alaobia scapularis",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R5","Leptaleus rodriguesi",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R5","Linyphiidae",2,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B1_R5","Carpophilus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Araneae",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Coleoptera",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Cicadellidae",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Philonthina",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Atheta",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Linyphiidae",2,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R1","Aleocharinae",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Messor",2,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Coprochara",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Atheta",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R2","Linyphiidae",3,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Harpalus dispar",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Messor",3,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Pheidole pallidula",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Coprochara",1,"14/03/2023","barber_trap","macrofauna_surface"
"MC_C_B2_R3","Atomaria",1,"14/03/2023","barber_trap","macrofauna_surface"
