"","code_uhbr","name","abundance","date","method","community"
"1","MC_C_B1_R1","Harpalus distinguendus",1,"14/03/2023","barber_trap","macrofauna_surface"
"2","MC_C_B1_R1","Hymenoptera",1,"14/03/2023","barber_trap","macrofauna_surface"
"3","MC_C_B1_R1","Messor",1,"14/03/2023","barber_trap","macrofauna_surface"
"4","MC_C_B1_R1","Phaeocedus braccatus",1,"14/03/2023","barber_trap","macrofauna_surface"
"5","MC_C_B1_R1","Oxytelini",1,"14/03/2023","barber_trap","macrofauna_surface"
"6","MC_C_B1_R1","Oligota",5,"14/03/2023","barber_trap","macrofauna_surface"
"7","MC_C_B1_R1","Linyphiidae",1,"14/03/2023","barber_trap","macrofauna_surface"
"8","MC_C_B1_R1","Oxypoda",2,"14/03/2023","barber_trap","macrofauna_surface"
"9","MC_C_B1_R1","Carpophilus",4,"14/03/2023","barber_trap","macrofauna_surface"
"10","MC_C_B1_R2","Araneae",2,"14/03/2023","barber_trap","macrofauna_surface"
"11","MC_C_B1_R2","Coleoptera",1,"14/03/2023","barber_trap","macrofauna_surface"
"12","MC_C_B1_R2","Hymenoptera",1,"14/03/2023","barber_trap","macrofauna_surface"
"13","MC_C_B1_R2","Staphylinidae",3,"14/03/2023","barber_trap","macrofauna_surface"
"14","MC_C_B1_R3","Messor",2,"14/03/2023","barber_trap","macrofauna_surface"
"15","MC_C_B1_R3","Oxytelini",1,"14/03/2023","barber_trap","macrofauna_surface"
"16","MC_C_B1_R3","Leptaleus rodriguesi",1,"14/03/2023","barber_trap","macrofauna_surface"
"17","MC_C_B1_R3","Linyphiidae",3,"14/03/2023","barber_trap","macrofauna_surface"
"18","MC_C_B1_R3","Carpophilus",2,"14/03/2023","barber_trap","macrofauna_surface"
"19","MC_C_B1_R4","Hymenoptera",3,"14/03/2023","barber_trap","macrofauna_surface"
"20","MC_C_B1_R4","Messor",1,"14/03/2023","barber_trap","macrofauna_surface"
"21","MC_C_B1_R4","Atheta",1,"14/03/2023","barber_trap","macrofauna_surface"
"22","MC_C_B1_R4","Oligota",2,"14/03/2023","barber_trap","macrofauna_surface"
"23","MC_C_B1_R4","Leptaleus rodriguesi",1,"14/03/2023","barber_trap","macrofauna_surface"
"24","MC_C_B1_R4","Linyphiidae",3,"14/03/2023","barber_trap","macrofauna_surface"
"25","MC_C_B1_R4","Aleocharinae",2,"14/03/2023","barber_trap","macrofauna_surface"
"26","MC_C_B1_R4","Carpophilus",3,"14/03/2023","barber_trap","macrofauna_surface"
