"code_uhbr","finest_name","abundance","date","method","community"
"TP_T_B3_R1","Acaridida",2,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B3_R3","Acaridida",2,"17/04/2023","macfayden","micro_arthropodes"
"TP_T_B2_R5","Acaridida",2,"17/04/2023","macfayden","micro_arthropodes"
"MC_C_B1_R1","Acaridida",73,"17/04/2023","macfayden","micro_arthropodes"
"MC_C_B1_R2","Acaridida",57,"17/04/2023","macfayden","micro_arthropodes"
"MC_C_B1_R3","Acaridida",89,"17/04/2023","macfayden","micro_arthropodes"
"MC_C_B1_R4","Acaridida",60,"17/04/2023","macfayden","micro_arthropodes"
"MC_C_B1_R5","Acaridida",70,"17/04/2023","macfayden","micro_arthropodes"
"TP_T_B1_R2","Acaridida",1,"17/04/2023","macfayden","micro_arthropodes"
"TP_T_B1_R4","Acaridida",3,"17/04/2023","macfayden","micro_arthropodes"
"TP_T_B1_R5","Acaridida",1,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B2_R1","Acaridida",37,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B2_R3","Acaridida",217,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B2_R4","Acaridida",97,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B2_R5","Acaridida",100,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B1_R2","Acaridida",17,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B1_R2","Acaridida",56,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B1_R2","Acaridida",1,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B1_R3","Acaridida",27,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B1_R4","Acaridida",18,"17/04/2023","macfayden","micro_arthropodes"
"AF_C_B1_R5","Acaridida",83,"17/04/2023","macfayden","micro_arthropodes"
"MC_C_B2_R2","Acaridida",4,"17/04/2023","macfayden","micro_arthropodes"
"MC_C_B3_R1","Acaridida",1,"17/04/2023","macfayden","micro_arthropodes"
"MC_C_B3_R3","Acaridida",12,"17/04/2023","macfayden","micro_arthropodes"
